"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 강남구 (1168000000)","540,148","234,024","          2.31","258,407","281,741","          0.92"
"서울특별시 강남구 신사동(1168051000)","16,915","7,416","          2.28","7,851","9,064","          0.87"
"서울특별시 강남구 논현1동(1168052100)","23,153","14,469","          1.60","10,818","12,335","          0.88"
"서울특별시 강남구 논현2동(1168053100)","21,722","11,570","          1.88","10,097","11,625","          0.87"
"서울특별시 강남구 압구정동(1168054500)","27,574","10,718","          2.57","12,698","14,876","          0.85"
"서울특별시 강남구 청담동(1168056500)","27,201","11,844","          2.30","12,723","14,478","          0.88"
"서울특별시 강남구 삼성1동(1168058000)","14,280","5,947","          2.40","7,074","7,206","          0.98"
"서울특별시 강남구 삼성2동(1168059000)","30,229","13,486","          2.24","14,365","15,864","          0.91"
"서울특별시 강남구 대치1동(1168060000)","25,125","7,404","          3.39","12,610","12,515","          1.01"
"서울특별시 강남구 대치2동(1168061000)","38,130","13,056","          2.92","19,377","18,753","          1.03"
"서울특별시 강남구 대치4동(1168063000)","20,540","10,280","          2.00","9,698","10,842","          0.89"
"서울특별시 강남구 역삼1동(1168064000)","36,239","24,152","          1.50","17,569","18,670","          0.94"
"서울특별시 강남구 역삼2동(1168065000)","37,150","15,717","          2.36","17,420","19,730","          0.88"
"서울특별시 강남구 도곡1동(1168065500)","22,264","8,670","          2.57","10,547","11,717","          0.90"
"서울특별시 강남구 도곡2동(1168065600)","34,250","11,856","          2.89","15,907","18,343","          0.87"
"서울특별시 강남구 개포1동(1168066000)","6,785","2,691","          2.52","3,283","3,502","          0.94"
"서울특별시 강남구 개포2동(1168067000)","22,438","8,091","          2.77","10,836","11,602","          0.93"
"서울특별시 강남구 개포4동(1168069000)","18,027","7,780","          2.32","8,843","9,184","          0.96"
"서울특별시 강남구 세곡동(1168070000)","44,728","17,973","          2.49","21,282","23,446","          0.91"
"서울특별시 강남구 일원본동(1168072000)","24,053","8,143","          2.95","11,857","12,196","          0.97"
"서울특별시 강남구 일원1동(1168073000)","15,924","7,486","          2.13","7,807","8,117","          0.96"
"서울특별시 강남구 일원2동(1168074000)","17,904","7,397","          2.42","8,667","9,237","          0.94"
"서울특별시 강남구 수서동(1168075000)","15,517","7,878","          1.97","7,078","8,439","          0.84"
