"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 강북구 (1130500000)","310,555","145,706","          2.13","151,376","159,179","          0.95"
"서울특별시 강북구 삼양동(1130553400)","24,831","11,402","          2.18","12,393","12,438","          1.00"
"서울특별시 강북구 미아동(1130553500)","22,247","11,647","          1.91","10,724","11,523","          0.93"
"서울특별시 강북구 송중동(1130554500)","30,628","14,094","          2.17","14,714","15,914","          0.92"
"서울특별시 강북구 송천동(1130555500)","27,749","13,818","          2.01","13,818","13,931","          0.99"
"서울특별시 강북구 삼각산동(1130557500)","32,290","11,777","          2.74","15,502","16,788","          0.92"
"서울특별시 강북구 번1동(1130559500)","19,177","10,430","          1.84","9,573","9,604","          1.00"
"서울특별시 강북구 번2동(1130560300)","16,652","7,658","          2.17","8,087","8,565","          0.94"
"서울특별시 강북구 번3동(1130560800)","17,715","7,596","          2.33","8,361","9,354","          0.89"
"서울특별시 강북구 수유1동(1130561500)","21,393","10,453","          2.05","10,575","10,818","          0.98"
"서울특별시 강북구 수유2동(1130562500)","21,517","9,685","          2.22","10,308","11,209","          0.92"
"서울특별시 강북구 수유3동(1130563500)","23,581","12,939","          1.82","11,726","11,855","          0.99"
"서울특별시 강북구 우이동(1130564500)","21,033","9,573","          2.20","10,246","10,787","          0.95"
"서울특별시 강북구 인수동(1130566000)","31,742","14,634","          2.17","15,349","16,393","          0.94"
