"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 강서구 (1150000000)","584,920","266,197","          2.20","282,647","302,273","          0.94"
"서울특별시 강서구 염창동(1150051000)","42,061","15,785","          2.66","20,474","21,587","          0.95"
"서울특별시 강서구 등촌제1동(1150052000)","23,829","12,750","          1.87","11,193","12,636","          0.89"
"서울특별시 강서구 등촌제2동(1150053000)","21,425","8,790","          2.44","10,499","10,926","          0.96"
"서울특별시 강서구 등촌제3동(1150053500)","31,834","15,026","          2.12","15,199","16,635","          0.91"
"서울특별시 강서구 화곡제1동(1150054000)","52,857","26,791","          1.97","25,742","27,115","          0.95"
"서울특별시 강서구 화곡제2동(1150055000)","18,642","8,227","          2.27","9,075","9,567","          0.95"
"서울특별시 강서구 화곡제3동(1150056000)","22,060","9,467","          2.33","10,602","11,458","          0.93"
"서울특별시 강서구 화곡제4동(1150057000)","21,305","9,710","          2.19","10,422","10,883","          0.96"
"서울특별시 강서구 화곡본동(1150059000)","34,948","16,739","          2.09","17,092","17,856","          0.96"
"서울특별시 강서구 화곡제6동(1150059100)","25,141","12,226","          2.06","12,319","12,822","          0.96"
"서울특별시 강서구 화곡제8동(1150059300)","25,528","11,813","          2.16","12,266","13,262","          0.92"
"서울특별시 강서구 가양제1동(1150060300)","34,075","19,813","          1.72","15,725","18,350","          0.86"
"서울특별시 강서구 가양제2동(1150060400)","14,751","8,089","          1.82","6,996","7,755","          0.90"
"서울특별시 강서구 가양제3동(1150060500)","15,756","7,928","          1.99","7,402","8,354","          0.89"
"서울특별시 강서구 발산제1동(1150061100)","37,851","13,618","          2.78","17,974","19,877","          0.90"
"서울특별시 강서구 우장산동(1150061500)","44,021","16,187","          2.72","21,071","22,950","          0.92"
"서울특별시 강서구 공항동(1150062000)","27,087","12,783","          2.12","13,754","13,333","          1.03"
"서울특별시 강서구 방화제1동(1150063000)","44,785","17,512","          2.56","21,848","22,937","          0.95"
"서울특별시 강서구 방화제2동(1150064000)","23,219","11,611","          2.00","11,468","11,751","          0.98"
"서울특별시 강서구 방화제3동(1150064100)","23,745","11,332","          2.10","11,526","12,219","          0.94"
