"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 광진구 (1121500000)","348,647","166,703","          2.09","168,472","180,175","          0.94"
"서울특별시 광진구 화양동(1121571000)","22,416","16,747","          1.34","10,641","11,775","          0.90"
"서울특별시 광진구 군자동(1121573000)","19,940","11,042","          1.81","9,852","10,088","          0.98"
"서울특별시 광진구 중곡제1동(1121574000)","15,722","8,177","          1.92","7,687","8,035","          0.96"
"서울특별시 광진구 중곡제2동(1121575000)","22,051","10,605","          2.08","10,482","11,569","          0.91"
"서울특별시 광진구 중곡제3동(1121576000)","16,848","8,553","          1.97","8,383","8,465","          0.99"
"서울특별시 광진구 중곡제4동(1121577000)","29,756","13,277","          2.24","14,580","15,176","          0.96"
"서울특별시 광진구 능동(1121578000)","11,646","6,490","          1.79","5,368","6,278","          0.86"
"서울특별시 광진구 광장동(1121581000)","35,704","12,094","          2.95","17,252","18,452","          0.93"
"서울특별시 광진구 자양제1동(1121582000)","22,882","11,725","          1.95","11,029","11,853","          0.93"
"서울특별시 광진구 자양제2동(1121583000)","26,032","11,272","          2.31","12,679","13,353","          0.95"
"서울특별시 광진구 자양제3동(1121584000)","28,853","11,151","          2.59","13,881","14,972","          0.93"
"서울특별시 광진구 자양제4동(1121584700)","18,049","9,564","          1.89","9,008","9,041","          1.00"
"서울특별시 광진구 구의제1동(1121585000)","22,220","12,125","          1.83","10,622","11,598","          0.92"
"서울특별시 광진구 구의제2동(1121586000)","27,143","11,688","          2.32","13,040","14,103","          0.92"
"서울특별시 광진구 구의제3동(1121587000)","29,385","12,193","          2.41","13,968","15,417","          0.91"
