"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 구로구 (1153000000)","405,495","179,392","          2.26","200,251","205,244","          0.98"
"서울특별시 구로구 신도림동(1153051000)","36,395","13,502","          2.70","17,785","18,610","          0.96"
"서울특별시 구로구 구로제1동(1153052000)","21,428","8,363","          2.56","10,527","10,901","          0.97"
"서울특별시 구로구 구로제2동(1153053000)","24,750","12,749","          1.94","12,463","12,287","          1.01"
"서울특별시 구로구 구로제3동(1153054000)","23,941","13,169","          1.82","12,195","11,746","          1.04"
"서울특별시 구로구 구로제4동(1153055000)","20,574","10,662","          1.93","9,996","10,578","          0.94"
"서울특별시 구로구 구로제5동(1153056000)","29,623","14,686","          2.02","14,353","15,270","          0.94"
"서울특별시 구로구 가리봉동(1153059500)","9,353","6,017","          1.55","5,087","4,266","          1.19"
"서울특별시 구로구 고척제1동(1153072000)","23,379","9,598","          2.44","11,677","11,702","          1.00"
"서울특별시 구로구 고척제2동(1153073000)","27,673","11,616","          2.38","13,716","13,957","          0.98"
"서울특별시 구로구 개봉제1동(1153074000)","33,237","14,390","          2.31","16,630","16,607","          1.00"
"서울특별시 구로구 개봉제2동(1153075000)","31,946","12,622","          2.53","15,605","16,341","          0.95"
"서울특별시 구로구 개봉제3동(1153076000)","21,175","8,859","          2.39","10,356","10,819","          0.96"
"서울특별시 구로구 오류제1동(1153077000)","22,609","11,616","          1.95","11,072","11,537","          0.96"
"서울특별시 구로구 오류제2동(1153078000)","39,275","15,551","          2.53","18,973","20,302","          0.93"
"서울특별시 구로구 수궁동(1153079000)","23,995","9,910","          2.42","11,858","12,137","          0.98"
"서울특별시 구로구 항동(1153080000)","16,142","6,082","          2.65","7,958","8,184","          0.97"
