"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 금천구 (1154500000)","232,013","113,347","          2.05","117,497","114,516","          1.03"
"서울특별시 금천구 가산동(1154551000)","22,186","15,093","          1.47","12,173","10,013","          1.22"
"서울특별시 금천구 독산제1동(1154561000)","42,404","21,056","          2.01","21,879","20,525","          1.07"
"서울특별시 금천구 독산제2동(1154562000)","19,110","9,361","          2.04","9,683","9,427","          1.03"
"서울특별시 금천구 독산제3동(1154563000)","24,643","12,461","          1.98","12,405","12,238","          1.01"
"서울특별시 금천구 독산제4동(1154564000)","15,705","7,672","          2.05","7,906","7,799","          1.01"
"서울특별시 금천구 시흥제1동(1154567000)","33,858","16,011","          2.11","16,919","16,939","          1.00"
"서울특별시 금천구 시흥제2동(1154568000)","22,101","8,430","          2.62","10,694","11,407","          0.94"
"서울특별시 금천구 시흥제3동(1154569000)","11,241","4,769","          2.36","5,607","5,634","          1.00"
"서울특별시 금천구 시흥제4동(1154570000)","20,971","9,125","          2.30","10,399","10,572","          0.98"
"서울특별시 금천구 시흥제5동(1154571000)","19,794","9,369","          2.11","9,832","9,962","          0.99"
