"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 도봉구 (1132000000)","328,014","139,015","          2.36","160,089","167,925","          0.95"
"서울특별시 도봉구 창제1동(1132051100)","25,539","10,925","          2.34","12,185","13,354","          0.91"
"서울특별시 도봉구 창제2동(1132051200)","29,846","12,429","          2.40","14,616","15,230","          0.96"
"서울특별시 도봉구 창제3동(1132051300)","14,424","6,656","          2.17","7,212","7,212","          1.00"
"서울특별시 도봉구 창제4동(1132051400)","27,423","10,699","          2.56","13,181","14,242","          0.93"
"서울특별시 도봉구 창제5동(1132051500)","25,321","10,191","          2.48","12,159","13,162","          0.92"
"서울특별시 도봉구 도봉제1동(1132052100)","21,738","10,366","          2.10","11,016","10,722","          1.03"
"서울특별시 도봉구 도봉제2동(1132052200)","28,050","12,129","          2.31","13,736","14,314","          0.96"
"서울특별시 도봉구 쌍문제1동(1132066000)","21,952","9,463","          2.32","10,592","11,360","          0.93"
"서울특별시 도봉구 쌍문제2동(1132067000)","19,506","8,687","          2.25","9,403","10,103","          0.93"
"서울특별시 도봉구 쌍문제3동(1132068000)","16,894","7,885","          2.14","8,202","8,692","          0.94"
"서울특별시 도봉구 쌍문제4동(1132068100)","19,458","7,188","          2.71","9,237","10,221","          0.90"
"서울특별시 도봉구 방학제1동(1132069000)","29,285","12,763","          2.29","14,536","14,749","          0.99"
"서울특별시 도봉구 방학제2동(1132070000)","20,488","9,568","          2.14","10,350","10,138","          1.02"
"서울특별시 도봉구 방학제3동(1132071000)","28,090","10,066","          2.79","13,664","14,426","          0.95"
