"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 동대문구 (1123000000)","344,650","166,933","          2.06","170,926","173,724","          0.98"
"서울특별시 동대문구 용신동(1123053600)","31,044","18,151","          1.71","15,812","15,232","          1.04"
"서울특별시 동대문구 제기동(1123054500)","25,059","13,284","          1.89","12,858","12,201","          1.05"
"서울특별시 동대문구 전농제1동(1123056000)","30,276","15,158","          2.00","15,191","15,085","          1.01"
"서울특별시 동대문구 전농제2동(1123057000)","19,337","7,765","          2.49","9,321","10,016","          0.93"
"서울특별시 동대문구 답십리제1동(1123060000)","29,213","12,838","          2.28","14,178","15,035","          0.94"
"서울특별시 동대문구 답십리제2동(1123061000)","29,640","12,943","          2.29","14,423","15,217","          0.95"
"서울특별시 동대문구 장안제1동(1123065000)","38,561","18,027","          2.14","19,185","19,376","          0.99"
"서울특별시 동대문구 장안제2동(1123066000)","33,095","13,953","          2.37","16,590","16,505","          1.01"
"서울특별시 동대문구 청량리동(1123070500)","20,838","10,491","          1.99","10,414","10,424","          1.00"
"서울특별시 동대문구 회기동(1123071000)","10,392","6,233","          1.67","4,951","5,441","          0.91"
"서울특별시 동대문구 휘경제1동(1123072000)","13,645","7,110","          1.92","6,662","6,983","          0.95"
"서울특별시 동대문구 휘경제2동(1123073000)","24,420","11,825","          2.07","12,138","12,282","          0.99"
"서울특별시 동대문구 이문제1동(1123074000)","18,524","10,496","          1.76","9,200","9,324","          0.99"
"서울특별시 동대문구 이문제2동(1123075000)","20,606","8,659","          2.38","10,003","10,603","          0.94"
