"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 동작구 (1159000000)","394,118","184,030","          2.14","190,754","203,364","          0.94"
"서울특별시 동작구 노량진제1동(1159051000)","32,312","15,710","          2.06","16,082","16,230","          0.99"
"서울특별시 동작구 노량진제2동(1159052000)","12,609","7,279","          1.73","6,509","6,100","          1.07"
"서울특별시 동작구 상도제1동(1159053000)","45,492","21,593","          2.11","22,070","23,422","          0.94"
"서울특별시 동작구 상도제2동(1159054000)","28,296","12,721","          2.22","13,622","14,674","          0.93"
"서울특별시 동작구 상도제3동(1159055000)","25,257","12,050","          2.10","12,090","13,167","          0.92"
"서울특별시 동작구 상도제4동(1159056000)","29,171","13,760","          2.12","14,160","15,011","          0.94"
"서울특별시 동작구 흑석동(1159060500)","32,612","14,378","          2.27","15,899","16,713","          0.95"
"서울특별시 동작구 사당제1동(1159062000)","23,183","13,254","          1.75","11,011","12,172","          0.90"
"서울특별시 동작구 사당제2동(1159063000)","27,543","12,001","          2.30","13,254","14,289","          0.93"
"서울특별시 동작구 사당제3동(1159064000)","25,204","10,555","          2.39","12,211","12,993","          0.94"
"서울특별시 동작구 사당제4동(1159065000)","14,536","7,165","          2.03","6,949","7,587","          0.92"
"서울특별시 동작구 사당제5동(1159065100)","14,756","6,616","          2.23","7,172","7,584","          0.95"
"서울특별시 동작구 대방동(1159066000)","39,120","17,284","          2.26","18,601","20,519","          0.91"
"서울특별시 동작구 신대방제1동(1159067000)","23,762","10,193","          2.33","11,454","12,308","          0.93"
"서울특별시 동작구 신대방제2동(1159068000)","20,265","9,471","          2.14","9,670","10,595","          0.91"
