"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 서초구 (1165000000)","427,237","173,827","          2.46","204,280","222,957","          0.92"
"서울특별시 서초구 서초1동(1165051000)","21,110","9,361","          2.26","10,177","10,933","          0.93"
"서울특별시 서초구 서초2동(1165052000)","18,795","8,666","          2.17","8,906","9,889","          0.90"
"서울특별시 서초구 서초3동(1165053000)","30,930","14,016","          2.21","15,038","15,892","          0.95"
"서울특별시 서초구 서초4동(1165053100)","31,689","11,074","          2.86","15,425","16,264","          0.95"
"서울특별시 서초구 잠원동(1165054000)","31,942","13,028","          2.45","15,234","16,708","          0.91"
"서울특별시 서초구 반포본동(1165055000)","12,011","4,117","          2.92","5,687","6,324","          0.90"
"서울특별시 서초구 반포1동(1165056000)","32,550","14,379","          2.26","15,730","16,820","          0.94"
"서울특별시 서초구 반포2동(1165057000)","16,153","5,126","          3.15","7,723","8,430","          0.92"
"서울특별시 서초구 반포3동(1165058000)","22,185","7,697","          2.88","10,482","11,703","          0.90"
"서울특별시 서초구 반포4동(1165058100)","19,473","7,306","          2.67","9,204","10,269","          0.90"
"서울특별시 서초구 방배본동(1165059000)","21,216","8,012","          2.65","9,836","11,380","          0.86"
"서울특별시 서초구 방배1동(1165060000)","17,398","7,682","          2.26","8,139","9,259","          0.88"
"서울특별시 서초구 방배2동(1165061000)","20,403","8,693","          2.35","9,584","10,819","          0.89"
"서울특별시 서초구 방배3동(1165062000)","21,792","8,378","          2.60","10,502","11,290","          0.93"
"서울특별시 서초구 방배4동(1165062100)","23,774","9,821","          2.42","10,877","12,897","          0.84"
"서울특별시 서초구 양재1동(1165065100)","44,939","18,302","          2.46","21,498","23,441","          0.92"
"서울특별시 서초구 양재2동(1165065200)","22,560","10,816","          2.09","11,337","11,223","          1.01"
"서울특별시 서초구 내곡동(1165066000)","18,317","7,353","          2.49","8,901","9,416","          0.95"
