"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 성동구 (1120000000)","296,183","136,094","          2.18","144,701","151,482","          0.96"
"서울특별시 성동구 왕십리제2동(1120052000)","17,212","7,621","          2.26","8,390","8,822","          0.95"
"서울특별시 성동구 왕십리도선동(1120053500)","27,298","12,014","          2.27","13,011","14,287","          0.91"
"서울특별시 성동구 마장동(1120054000)","23,003","10,914","          2.11","11,335","11,668","          0.97"
"서울특별시 성동구 사근동(1120055000)","11,898","7,737","          1.54","6,108","5,790","          1.05"
"서울특별시 성동구 행당제1동(1120056000)","14,302","6,540","          2.19","6,887","7,415","          0.93"
"서울특별시 성동구 행당제2동(1120057000)","24,261","9,493","          2.56","11,399","12,862","          0.89"
"서울특별시 성동구 응봉동(1120058000)","15,839","6,142","          2.58","7,490","8,349","          0.90"
"서울특별시 성동구 금호1가동(1120059000)","15,801","6,706","          2.36","7,568","8,233","          0.92"
"서울특별시 성동구 금호2.3가동(1120061500)","23,609","10,358","          2.28","11,239","12,370","          0.91"
"서울특별시 성동구 금호4가동(1120062000)","14,838","6,475","          2.29","7,095","7,743","          0.92"
"서울특별시 성동구 옥수동(1120064500)","26,821","11,100","          2.42","12,501","14,320","          0.87"
"서울특별시 성동구 성수1가제1동(1120065000)","16,688","7,629","          2.19","8,344","8,344","          1.00"
"서울특별시 성동구 성수1가제2동(1120066000)","13,701","6,613","          2.07","6,741","6,960","          0.97"
"서울특별시 성동구 성수2가제1동(1120067000)","16,834","8,510","          1.98","8,809","8,025","          1.10"
"서울특별시 성동구 성수2가제3동(1120069000)","11,247","5,743","          1.96","5,701","5,546","          1.03"
"서울특별시 성동구 송정동(1120072000)","10,850","5,578","          1.95","5,727","5,123","          1.12"
"서울특별시 성동구 용답동(1120079000)","11,981","6,921","          1.73","6,356","5,625","          1.13"
