"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 성북구 (1129000000)","440,395","195,325","          2.25","212,559","227,836","          0.93"
"서울특별시 성북구 성북동(1129052500)","16,981","8,215","          2.07","7,944","9,037","          0.88"
"서울특별시 성북구 삼선동(1129055500)","23,863","11,776","          2.03","11,367","12,496","          0.91"
"서울특별시 성북구 동선동(1129057500)","15,624","9,351","          1.67","6,585","9,039","          0.73"
"서울특별시 성북구 돈암제1동(1129058000)","15,402","6,219","          2.48","7,186","8,216","          0.87"
"서울특별시 성북구 돈암제2동(1129059000)","24,675","8,717","          2.83","11,773","12,902","          0.91"
"서울특별시 성북구 안암동(1129060000)","15,356","9,417","          1.63","7,770","7,586","          1.02"
"서울특별시 성북구 보문동(1129061000)","16,108","7,957","          2.02","7,788","8,320","          0.94"
"서울특별시 성북구 정릉제1동(1129062000)","18,886","7,531","          2.51","9,114","9,772","          0.93"
"서울특별시 성북구 정릉제2동(1129063000)","23,480","9,777","          2.40","11,386","12,094","          0.94"
"서울특별시 성북구 정릉제3동(1129064000)","15,554","7,930","          1.96","7,719","7,835","          0.99"
"서울특별시 성북구 정릉제4동(1129065000)","25,813","10,970","          2.35","12,481","13,332","          0.94"
"서울특별시 성북구 길음제1동(1129066000)","36,533","12,823","          2.85","17,387","19,146","          0.91"
"서울특별시 성북구 길음제2동(1129068500)","17,211","7,143","          2.41","8,326","8,885","          0.94"
"서울특별시 성북구 종암동(1129070500)","39,949","17,364","          2.30","19,688","20,261","          0.97"
"서울특별시 성북구 월곡제1동(1129071500)","27,049","10,863","          2.49","13,082","13,967","          0.94"
"서울특별시 성북구 월곡제2동(1129072500)","20,067","9,590","          2.09","9,631","10,436","          0.92"
"서울특별시 성북구 장위제1동(1129076000)","20,312","9,128","          2.23","9,911","10,401","          0.95"
"서울특별시 성북구 장위제2동(1129077000)","13,991","6,580","          2.13","6,912","7,079","          0.98"
"서울특별시 성북구 장위제3동(1129078000)","17,865","7,388","          2.42","8,868","8,997","          0.99"
"서울특별시 성북구 석관동(1129081000)","35,676","16,586","          2.15","17,641","18,035","          0.98"
