"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 양천구 (1147000000)","456,980","180,185","          2.54","224,271","232,709","          0.96"
"서울특별시 양천구 목1동(1147051000)","31,664","10,569","          3.00","15,171","16,493","          0.92"
"서울특별시 양천구 목2동(1147052000)","30,720","13,235","          2.32","14,935","15,785","          0.95"
"서울특별시 양천구 목3동(1147053000)","22,576","10,037","          2.25","10,822","11,754","          0.92"
"서울특별시 양천구 목4동(1147054000)","26,123","10,129","          2.58","12,769","13,354","          0.96"
"서울특별시 양천구 목5동(1147055000)","42,415","13,566","          3.13","20,986","21,429","          0.98"
"서울특별시 양천구 신월1동(1147056000)","21,039","10,164","          2.07","10,788","10,251","          1.05"
"서울특별시 양천구 신월2동(1147057000)","21,461","8,558","          2.51","10,539","10,922","          0.96"
"서울특별시 양천구 신월3동(1147058000)","16,028","8,137","          1.97","8,462","7,566","          1.12"
"서울특별시 양천구 신월4동(1147059000)","18,510","6,931","          2.67","9,088","9,422","          0.96"
"서울특별시 양천구 신월5동(1147060000)","15,217","6,476","          2.35","7,555","7,662","          0.99"
"서울특별시 양천구 신월6동(1147061000)","13,335","5,039","          2.65","6,590","6,745","          0.98"
"서울특별시 양천구 신월7동(1147061100)","20,755","9,228","          2.25","10,189","10,566","          0.96"
"서울특별시 양천구 신정1동(1147062000)","21,033","7,206","          2.92","10,269","10,764","          0.95"
"서울특별시 양천구 신정2동(1147063000)","20,204","7,141","          2.83","9,913","10,291","          0.96"
"서울특별시 양천구 신정3동(1147064000)","46,791","17,874","          2.62","22,816","23,975","          0.95"
"서울특별시 양천구 신정4동(1147065000)","33,866","16,072","          2.11","16,594","17,272","          0.96"
"서울특별시 양천구 신정6동(1147067000)","25,132","8,237","          3.05","12,216","12,916","          0.95"
"서울특별시 양천구 신정7동(1147068000)","30,111","11,586","          2.60","14,569","15,542","          0.94"
