"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 영등포구 (1156000000)","375,133","181,469","          2.07","185,603","189,530","          0.98"
"서울특별시 영등포구 영등포본동(1156051500)","21,634","10,280","          2.10","11,062","10,572","          1.05"
"서울특별시 영등포구 영등포동(1156053500)","27,239","18,254","          1.49","14,695","12,544","          1.17"
"서울특별시 영등포구 여의동(1156054000)","34,332","13,787","          2.49","16,111","18,221","          0.88"
"서울특별시 영등포구 당산제1동(1156055000)","20,885","10,793","          1.94","10,245","10,640","          0.96"
"서울특별시 영등포구 당산제2동(1156056000)","37,509","18,382","          2.04","17,590","19,919","          0.88"
"서울특별시 영등포구 도림동(1156058500)","18,424","9,433","          1.95","9,259","9,165","          1.01"
"서울특별시 영등포구 문래동(1156060500)","32,599","13,107","          2.49","16,043","16,556","          0.97"
"서울특별시 영등포구 양평제1동(1156061000)","17,554","9,073","          1.93","8,665","8,889","          0.97"
"서울특별시 영등포구 양평제2동(1156062000)","22,411","10,237","          2.19","11,136","11,275","          0.99"
"서울특별시 영등포구 신길제1동(1156063000)","17,589","10,429","          1.69","8,935","8,654","          1.03"
"서울특별시 영등포구 신길제3동(1156065000)","17,012","7,640","          2.23","8,404","8,608","          0.98"
"서울특별시 영등포구 신길제4동(1156066000)","8,868","4,350","          2.04","4,449","4,419","          1.01"
"서울특별시 영등포구 신길제5동(1156067000)","11,181","4,965","          2.25","5,411","5,770","          0.94"
"서울특별시 영등포구 신길제6동(1156068000)","17,921","8,593","          2.09","8,771","9,150","          0.96"
"서울특별시 영등포구 신길제7동(1156069000)","20,335","7,893","          2.58","10,133","10,202","          0.99"
"서울특별시 영등포구 대림제1동(1156070000)","14,088","6,918","          2.04","7,008","7,080","          0.99"
"서울특별시 영등포구 대림제2동(1156071000)","12,381","6,878","          1.80","6,062","6,319","          0.96"
"서울특별시 영등포구 대림제3동(1156072000)","23,171","10,457","          2.22","11,624","11,547","          1.01"
