"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 은평구 (1138000000)","481,729","212,632","          2.27","231,508","250,221","          0.93"
"서울특별시 은평구 녹번동(1138051000)","37,404","17,307","          2.16","17,848","19,556","          0.91"
"서울특별시 은평구 불광제1동(1138052000)","39,937","17,952","          2.22","18,928","21,009","          0.90"
"서울특별시 은평구 불광제2동(1138053000)","28,638","13,886","          2.06","13,909","14,729","          0.94"
"서울특별시 은평구 갈현제1동(1138055100)","23,525","11,226","          2.10","11,486","12,039","          0.95"
"서울특별시 은평구 갈현제2동(1138055200)","29,124","12,603","          2.31","13,857","15,267","          0.91"
"서울특별시 은평구 구산동(1138056000)","33,080","13,362","          2.48","16,481","16,599","          0.99"
"서울특별시 은평구 대조동(1138057000)","27,364","14,204","          1.93","12,783","14,581","          0.88"
"서울특별시 은평구 응암제1동(1138058000)","30,386","13,667","          2.22","14,442","15,944","          0.91"
"서울특별시 은평구 응암제2동(1138059000)","27,459","10,906","          2.52","13,337","14,122","          0.94"
"서울특별시 은평구 응암제3동(1138060000)","25,383","12,732","          1.99","12,412","12,971","          0.96"
"서울특별시 은평구 역촌동(1138062500)","47,013","20,805","          2.26","22,265","24,748","          0.90"
"서울특별시 은평구 신사제1동(1138063100)","27,787","11,816","          2.35","13,430","14,357","          0.94"
"서울특별시 은평구 신사제2동(1138063200)","21,042","9,070","          2.32","10,496","10,546","          1.00"
"서울특별시 은평구 증산동(1138064000)","15,516","6,887","          2.25","7,603","7,913","          0.96"
"서울특별시 은평구 수색동(1138065000)","10,721","4,555","          2.35","5,321","5,400","          0.99"
"서울특별시 은평구 진관동(1138069000)","57,350","21,654","          2.65","26,910","30,440","          0.88"
