"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 종로구 (1111000000)","149,962","74,700","          2.01","73,062","76,900","          0.95"
"서울특별시 종로구 청운효자동(1111051500)","12,550","5,399","          2.32","5,851","6,699","          0.87"
"서울특별시 종로구 사직동(1111053000)","9,484","4,729","          2.01","4,250","5,234","          0.81"
"서울특별시 종로구 삼청동(1111054000)","2,689","1,368","          1.97","1,297","1,392","          0.93"
"서울특별시 종로구 부암동(1111055000)","10,040","4,347","          2.31","4,766","5,274","          0.90"
"서울특별시 종로구 평창동(1111056000)","18,443","7,512","          2.46","8,625","9,818","          0.88"
"서울특별시 종로구 무악동(1111057000)","8,615","3,203","          2.69","4,018","4,597","          0.87"
"서울특별시 종로구 교남동(1111058000)","10,501","4,587","          2.29","4,885","5,616","          0.87"
"서울특별시 종로구 가회동(1111060000)","4,331","2,072","          2.09","2,004","2,327","          0.86"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","7,203","5,221","          1.38","4,327","2,876","          1.50"
"서울특별시 종로구 종로5.6가동(1111063000)","5,321","3,437","          1.55","2,888","2,433","          1.19"
"서울특별시 종로구 이화동(1111064000)","7,725","4,461","          1.73","3,640","4,085","          0.89"
"서울특별시 종로구 혜화동(1111065000)","16,841","9,339","          1.80","8,141","8,700","          0.94"
"서울특별시 종로구 창신제1동(1111067000)","5,173","2,978","          1.74","2,801","2,372","          1.18"
"서울특별시 종로구 창신제2동(1111068000)","8,339","4,135","          2.02","4,295","4,044","          1.06"
"서울특별시 종로구 창신제3동(1111069000)","6,967","2,910","          2.39","3,408","3,559","          0.96"
"서울특별시 종로구 숭인제1동(1111070000)","6,143","3,010","          2.04","2,990","3,153","          0.95"
"서울특별시 종로구 숭인제2동(1111071000)","9,597","5,992","          1.60","4,876","4,721","          1.03"
