"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시  (1100000000)","9,708,247","4,400,154","          2.21","4,724,585","4,983,662","          0.95"
"서울특별시 종로구 (1111000000)","149,962","74,700","          2.01","73,062","76,900","          0.95"
"서울특별시 중구 (1114000000)","125,990","63,540","          1.98","61,651","64,339","          0.96"
"서울특별시 용산구 (1117000000)","229,362","112,059","          2.05","110,403","118,959","          0.93"
"서울특별시 성동구 (1120000000)","296,183","136,094","          2.18","144,701","151,482","          0.96"
"서울특별시 광진구 (1121500000)","348,647","166,703","          2.09","168,472","180,175","          0.94"
"서울특별시 동대문구 (1123000000)","344,650","166,933","          2.06","170,926","173,724","          0.98"
"서울특별시 중랑구 (1126000000)","395,788","184,597","          2.14","195,931","199,857","          0.98"
"서울특별시 성북구 (1129000000)","440,395","195,325","          2.25","212,559","227,836","          0.93"
"서울특별시 강북구 (1130500000)","310,555","145,706","          2.13","151,376","159,179","          0.95"
"서울특별시 도봉구 (1132000000)","328,014","139,015","          2.36","160,089","167,925","          0.95"
"서울특별시 노원구 (1135000000)","526,718","217,940","          2.42","254,463","272,255","          0.93"
"서울특별시 은평구 (1138000000)","481,729","212,632","          2.27","231,508","250,221","          0.93"
"서울특별시 서대문구 (1141000000)","312,632","144,024","          2.17","149,803","162,829","          0.92"
"서울특별시 마포구 (1144000000)","373,620","178,114","          2.10","176,174","197,446","          0.89"
"서울특별시 양천구 (1147000000)","456,980","180,185","          2.54","224,271","232,709","          0.96"
"서울특별시 강서구 (1150000000)","584,920","266,197","          2.20","282,647","302,273","          0.94"
"서울특별시 구로구 (1153000000)","405,495","179,392","          2.26","200,251","205,244","          0.98"
"서울특별시 금천구 (1154500000)","232,013","113,347","          2.05","117,497","114,516","          1.03"
"서울특별시 영등포구 (1156000000)","375,133","181,469","          2.07","185,603","189,530","          0.98"
"서울특별시 동작구 (1159000000)","394,118","184,030","          2.14","190,754","203,364","          0.94"
"서울특별시 관악구 (1162000000)","499,316","275,016","          1.82","250,520","248,796","          1.01"
"서울특별시 서초구 (1165000000)","427,237","173,827","          2.46","204,280","222,957","          0.92"
"서울특별시 강남구 (1168000000)","540,148","234,024","          2.31","258,407","281,741","          0.92"
"서울특별시 송파구 (1171000000)","671,312","281,361","          2.39","324,134","347,178","          0.93"
"서울특별시 강동구 (1174000000)","457,330","193,924","          2.36","225,103","232,227","          0.97"
