"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 관악구 (1162000000)","499,316","275,016","          1.82","250,520","248,796","          1.01"
"서울특별시 관악구 보라매동(1162052500)","24,754","12,492","          1.98","12,134","12,620","          0.96"
"서울특별시 관악구 청림동(1162054500)","15,804","6,591","          2.40","7,743","8,061","          0.96"
"서울특별시 관악구 성현동(1162056500)","30,435","12,547","          2.43","14,730","15,705","          0.94"
"서울특별시 관악구 행운동(1162057500)","29,589","17,446","          1.70","14,359","15,230","          0.94"
"서울특별시 관악구 낙성대동(1162058500)","17,185","11,181","          1.54","8,676","8,509","          1.02"
"서울특별시 관악구 청룡동(1162059500)","34,975","22,446","          1.56","16,786","18,189","          0.92"
"서울특별시 관악구 은천동(1162060500)","34,249","16,089","          2.13","16,760","17,489","          0.96"
"서울특별시 관악구 중앙동(1162061500)","15,626","9,794","          1.60","7,452","8,174","          0.91"
"서울특별시 관악구 인헌동(1162062500)","26,438","14,204","          1.86","12,917","13,521","          0.96"
"서울특별시 관악구 남현동(1162063000)","18,513","9,501","          1.95","8,947","9,566","          0.94"
"서울특별시 관악구 서원동(1162064500)","23,131","14,215","          1.63","11,904","11,227","          1.06"
"서울특별시 관악구 신원동(1162065500)","18,518","10,920","          1.70","9,263","9,255","          1.00"
"서울특별시 관악구 서림동(1162066500)","23,952","14,575","          1.64","13,158","10,794","          1.22"
"서울특별시 관악구 신사동(1162068500)","22,990","13,713","          1.68","11,505","11,485","          1.00"
"서울특별시 관악구 신림동(1162069500)","21,962","17,294","          1.27","11,420","10,542","          1.08"
"서울특별시 관악구 난향동(1162071500)","15,964","6,442","          2.48","7,867","8,097","          0.97"
"서울특별시 관악구 조원동(1162072500)","17,645","10,630","          1.66","8,923","8,722","          1.02"
"서울특별시 관악구 대학동(1162073500)","23,824","16,286","          1.46","14,385","9,439","          1.52"
"서울특별시 관악구 삼성동(1162074500)","24,554","11,426","          2.15","12,281","12,273","          1.00"
"서울특별시 관악구 미성동(1162076500)","31,456","14,199","          2.22","15,399","16,057","          0.96"
"서울특별시 관악구 난곡동(1162077500)","27,752","13,025","          2.13","13,911","13,841","          1.01"
