"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 용산구 (1117000000)","229,362","112,059","          2.05","110,403","118,959","          0.93"
"서울특별시 용산구 후암동(1117051000)","17,818","8,651","          2.06","8,672","9,146","          0.95"
"서울특별시 용산구 용산2가동(1117052000)","10,173","5,430","          1.87","4,898","5,275","          0.93"
"서울특별시 용산구 남영동(1117053000)","7,713","5,454","          1.41","4,722","2,991","          1.58"
"서울특별시 용산구 청파동(1117055500)","19,921","11,062","          1.80","9,329","10,592","          0.88"
"서울특별시 용산구 원효로제1동(1117056000)","16,126","7,979","          2.02","7,770","8,356","          0.93"
"서울특별시 용산구 원효로제2동(1117057000)","14,366","6,070","          2.37","6,759","7,607","          0.89"
"서울특별시 용산구 효창동(1117058000)","10,254","4,345","          2.36","4,859","5,395","          0.90"
"서울특별시 용산구 용문동(1117059000)","12,365","5,419","          2.28","5,891","6,474","          0.91"
"서울특별시 용산구 한강로동(1117062500)","18,499","10,113","          1.83","8,929","9,570","          0.93"
"서울특별시 용산구 이촌제1동(1117063000)","28,334","10,344","          2.74","13,229","15,105","          0.88"
"서울특별시 용산구 이촌제2동(1117064000)","8,770","3,857","          2.27","4,124","4,646","          0.89"
"서울특별시 용산구 이태원제1동(1117065000)","6,925","3,883","          1.78","3,275","3,650","          0.90"
"서울특별시 용산구 이태원제2동(1117066000)","9,262","4,991","          1.86","4,275","4,987","          0.86"
"서울특별시 용산구 한남동(1117068500)","21,265","11,384","          1.87","10,234","11,031","          0.93"
"서울특별시 용산구 서빙고동(1117069000)","13,309","5,319","          2.50","6,386","6,923","          0.92"
"서울특별시 용산구 보광동(1117070000)","14,262","7,758","          1.84","7,051","7,211","          0.98"
