"행정구역","2020년08월_총인구수","2020년08월_세대수","2020년08월_세대당 인구","2020년08월_남자 인구수","2020년08월_여자 인구수","2020년08월_남여 비율"
"서울특별시 중랑구 (1126000000)","395,788","184,597","          2.14","195,931","199,857","          0.98"
"서울특별시 중랑구 면목제2동(1126052000)","25,088","12,305","          2.04","12,516","12,572","          1.00"
"서울특별시 중랑구 면목제4동(1126054000)","19,111","9,063","          2.11","9,554","9,557","          1.00"
"서울특별시 중랑구 면목제5동(1126055000)","13,016","5,734","          2.27","6,561","6,455","          1.02"
"서울특별시 중랑구 면목본동(1126056500)","34,707","17,668","          1.96","17,284","17,423","          0.99"
"서울특별시 중랑구 면목제7동(1126057000)","22,386","10,617","          2.11","11,235","11,151","          1.01"
"서울특별시 중랑구 면목제3.8동(1126057500)","25,837","12,760","          2.02","12,848","12,989","          0.99"
"서울특별시 중랑구 상봉제1동(1126058000)","24,949","10,287","          2.43","12,232","12,717","          0.96"
"서울특별시 중랑구 상봉제2동(1126059000)","19,742","11,512","          1.71","9,609","10,133","          0.95"
"서울특별시 중랑구 중화제1동(1126060000)","20,384","9,092","          2.24","9,982","10,402","          0.96"
"서울특별시 중랑구 중화제2동(1126061000)","26,026","13,994","          1.86","13,378","12,648","          1.06"
"서울특별시 중랑구 묵제1동(1126062000)","35,629","14,923","          2.39","17,290","18,339","          0.94"
"서울특별시 중랑구 묵제2동(1126063000)","19,489","9,287","          2.10","9,598","9,891","          0.97"
"서울특별시 중랑구 망우본동(1126065500)","30,427","14,941","          2.04","15,310","15,117","          1.01"
"서울특별시 중랑구 망우제3동(1126066000)","17,320","8,449","          2.05","8,717","8,603","          1.01"
"서울특별시 중랑구 신내1동(1126068000)","40,225","14,873","          2.70","19,585","20,640","          0.95"
"서울특별시 중랑구 신내2동(1126069000)","21,452","9,092","          2.36","10,232","11,220","          0.91"
