코드,2018폐업률,2019폐업률,2020폐업률
11110515,9.1,0,8.3
11110530,3.8,3.7,3.3
11110540,0,33.3,0
11110550,0,0,8.3
11110560,0,0,0
11110570,0,0.00E+00,0.00E+00
11110580,0,6.7,0
11110600,0,0,0
11110615,3.8,3.6,8.5
11110630,4,3.8,0
11110640,11.1,0.00E+00,5.30E+00
11110650,0,0,0
11110670,0,0,0
11110680,0,0,0
11110690,0,0,0
11110700,0,0,0
11110710,0,3.7,0
11110,2.70060423,2.877521614,4.01556196
11140520,1.9,2,0
11140540,4.7,2.2,8.3
11140550,9.1,1.2,0
11140570,0,3.1,0
11140580,0,5.9,18.8
11140590,4.3,0,1.8
11140605,6.5,3.4,2.9
11140615,2.6,5.9,3.1
11140625,6.3,11.8,0
11140635,0,0,0
11140645,14.3,16.7,0
11140650,14.3,0,14.3
11140665,7.7,0,0
11140670,0,7.7,0
11140680,7.1,0,0
11140,4.866203704,2.819203747,2.657111111
11170510,0,5.9,0
11170520,5.9,5.6,0
11170530,0,0,3
11170555,3.6,7.4,7.4
11170560,0,4.8,0
11170570,0,6.7,6.7
11170580,10,0,0
11170590,14.3,0,0
11170625,6.5,2.2,2.1
11170630,0,0,0
11170640,0,0,0
11170650,0,4,0
11170660,13.3,7.1,0
11170685,0,0,0
11170690,0,0,0
11170700,9.1,0,0
11170,3.389152542,3.116262976,1.643564356
11200520,0,0,10
11200535,0,9.4,3.6
11200540,7.1,0,0
11200550,2.9,0.00E+00,2.9
11200560,11.1,0,0
11200570,0,0,0
11200580,0,0,0
11200590,9.1,25,11.1
11200615,0,0,0
11200620,0,0,0
11200645,0,36.4,0.00E+00
11200650,0,0,0
11200660,0,6.9,0
11200670,0,4.3,4.5
11200690,0,7.5,1.8
11200720,0,0,0
11200790,5.6,6.7,0
11200,1.842153846,5.460450161,1.883962264
11215710,3.2,6.3,3.3
11215730,0,0,0
11215740,0,0,6.7
11215750,15.4,4.2,3.7
11215760,10,5,5.9
11215770,8,9.1,5
11215780,10,0,4.8
11215810,7.1,4,5
11215820,0,4.2,9.1
11215830,4.8,4.8,5
11215840,7.1,0,3.6
11215847,3,0,3.30E+00
11215850,3.6,13.8,3.6
11215860,0,0,5.6
11215870,6.5,6.7,6.3
11215,5.138630807,4.29469697,4.388402062
11230536,1.6,3.7,2
11230545,3.7,0,3.3
11230560,0,6.9,10.3
11230570,0,0,0
11230600,9.4,0,9.1
11230610,0,5.9,0
11230650,5.6,0,3.7
11230660,2.9,0,2.6
11230705,0,12.5,0
11230710,8,0,4.3
11230720,0,6.3,5.6
11230730,6.3,0,0
11230740,0,6.1,0
11230750,0,8.3,7.7
11230,3.045939086,2.907387863,3.622797927
11260520,4.8,4.8,0
11260540,0,0,0
11260550,0,16.7,0
11260565,0,0,3.3
11260570,5.9,0,0
11260575,0,0,5
11260580,0,0,7.1
11260590,2.9,0,0
11260600,0,0,11.1
11260610,6.7,0,5
11260620,0,4.5,4.5
11260630,15.4,7.1,0
11260655,0,0,6.5
11260660,0,0,0
11260680,15,0,10
11260690,0,0,0
11260,3.051689189,1.322516556,3.532797428
11290525,5.6,0,0
11290555,5.6,2.8,0
11290575,4.9,4.8,2.7
11290580,0,0,0
11290590,0,20,20
11290600,6.1,6.1,0
11290610,0,5.6,5.9
11290620,18.2,0.00E+00,0
11290630,0,7.1,0
11290640,0,6.7,0
11290650,0,6.7,0
11290660,16.7,0,0
11290685,14.3,0.00E+00,0
11290705,10.7,0,0
11290715,0,0,23.1
11290725,8,4.3,8.3
11290760,0,0,0
11290770,9.1,0,0
11290780,0,33.3,0
11290810,8.3,7.4,4.3
11290,5.544598338,4.204761905,2.524157303
11305534,0,7.7,0
11305535,0,2.9,3.1
11305545,8,3.8,0
11305555,3.7,3.8,13
11305575,0,0,22.2
11305590,6.1,6.1,6.7
11305600,0,0,0
11305606,12.5,0,0
11305610,5.3,0,4.3
11305620,0,5.3,11.8
11305630,3,2.9,0
11305645,0,10.5,0
11305660,0,14.8,3.7
11305,2.999625468,5.124175824,4.405882353
11320511,0,0,13.3
11320512,0,0,4.5
11320513,9.1,0,0
11320514,5.9,0,0
11320515,0,0,5.3
11320521,0,10,0
11320522,7.7,7.1,0
11320660,5.6,5.9,0
11320670,28.6,16.7,0
11320680,0,0,0
11320681,0,0,0
11320690,0,0,0
11320700,8.3,0,0
11320710,0,0,0
11320,4.115525114,2.727727273,1.720689655
11350560,0,2.7,3
11350570,0,0,0
11350580,0,0,0
11350595,2.1,4.4,0
11350600,7.3,2.7,2.6
11350611,0,0,5
11350612,0,0,0
11350619,0,8.3,0
11350621,0,0,7.7
11350624,9.1,0,0
11350625,0,0,0
11350630,14.8,0,4
11350640,4,15.6,0
11350665,6.7,6.3,0
11350670,8.3,7.7,0
11350695,7.1,0,3.6
11350700,0,0,20
11350710,0,11.1,0
11350720,0,0,0
11350,3.996285714,3.654647887,1.962640449
11380510,0,0,3.2
11380520,15.4,0,21.4
11380530,0,0,6.9
11380551,4.8,0,10
11380552,5.9,0,0
11380560,0,4.5,4.3
11380570,6.1,2.9,8.3
11380580,3.7,4,4
11380590,25,0,0
11380600,7.1,0,5.9
11380625,4.9,0,2.4
11380631,10,5,5.3
11380632,0,8.3,10
11380640,0,13.3,8.3
11380650,0,0,0
11380690,3.1,2.9,0
11380,4.486554622,2.215320334,5.075668449
11410520,0,0,0
11410555,0,0,0
11410565,7.4,0,3.1
11410585,2.4,6,0
11410615,2.7,5.1,2.4
11410620,0,0,0
11410640,9.1,0,0
11410655,0,0,0
11410660,0,0,0
11410685,0,0,0
11410690,0,0,11.1
11410700,0,0,4.3
11410710,10,0,0
11410720,3.1,3.2,9.7
11410,2.706802721,2.579099678,2.138343558
11440555,4.5,4.3,4
11440565,6.7,0,3.6
11440585,0,0,4.2
11440590,3.4,0,0
11440600,4.9,2.5,5
11440610,0,10,0
11440630,0,0,11.8
11440655,7.3,0,2.9
11440660,6.1,4,4
11440680,3.4,10.7,3.4
11440690,0,0,0
11440700,0,0,5.6
11440710,3.8,3.8,4
11440720,3.2,3.6,7.1
11440730,10,3.1,0
11440740,1.9,1.9,5.9
11440,4.326666667,2.751381215,3.867219153
11470510,5.6,0,2.9
11470520,4,7.1,7.4
11470530,0,0,0
11470540,4.8,5,0
11470550,5.3,15.8,5.3
11470560,0,0,7.1
11470570,0,11.1,11.1
11470580,0,0,0
11470590,6.7,0,6.3
11470600,6.3,0,5.3
11470610,0,0,0
11470611,0,7.7,0
11470620,0,0,0
11470630,8.3,0,0
11470640,5.3,0,0
11470650,4.2,9.3,2.4
11470670,0,0,0
11470680,9.1,9.1,22.2
11470,3.817721519,4.110759494,3.469811321
11500510,8,3.7,0
11500520,0,2.9,5.6
11500530,0,0,11.1
11500535,0,10.7,3.7
11500540,1.7,3.4,1.7
11500550,0,9.1,0
11500560,0,0,0
11500570,0,5.9,0
11500590,0,0,3.6
11500591,0,3.1,3.2
11500593,0,0,0
11500603,5.7,9.8,1.2
11500604,0,0.00E+00,0.00E+00
11500605,0,0,0
11500611,4.2,2.9,7
11500615,3.3,3.7,4.2
11500620,0,8.9,0
11500630,2.8,6.3,0
11500640,3.7,3.7,3.7
11500641,0,0,0
11500,2.186861314,4.842114695,2.284265734
11530510,3.2,3.2,0
11530520,9.1,0,0
11530530,0,0,0
11530540,2.8,2.8,2.9
11530550,0,0,0
11530560,0,0,0
11530595,5.9,14.3,0
11530720,8.3,6.7,7.1
11530730,4.3,0,0
11530740,4.8,4.8,4.5
11530750,0,0,8.3
11530760,0,0,2.22E+01
11530770,0,4.3,0
11530780,4,13.3,2.9
11530790,0,0,0
11530,2.514565826,3.333888889,2.150677507
11545510,3.8,3.6,0.8
11545610,3,2.4,0
11545620,7.1,0,0
11545630,5.9,0,4.3
11545640,15.4,0,0
11545670,5.1,7.3,4.8
11545680,0,0,0
11545690,0,11.1,0
11545700,9.1,8.3,0
11545710,0,8.3,0
11545,4.678823529,3.937142857,1.319141914
11560515,13,10,0
11560535,1.4,9,1.5
11560540,4.2,1,1.9
11560550,6.1,3,0
11560560,7.5,2.6,0
11560585,0,0,8.3
11560605,2.5,2.6,0
11560610,5,11.1,0
11560620,7.7,8.1,0
11560630,5.6,25,5.9
11560650,10,0,0
11560660,16.7,0,0
11560670,0,0,0
11560680,0,0,0
11560690,0,0,0
11560700,0,6.7,0
11560710,0,0,5
11560720,0,0,3.3
11560,4.153057199,4.515811088,1.332264151
11590510,0,2.3,2.5
11590520,4.5,5.3,5.6
11590530,2.1,6.3,2
11590540,9.1,5.3,0
11590550,0,8.3,0
11590560,0,7.1,7.1
11590605,0,3.6,3.4
11590620,10,3.6,3.7
11590630,0,14.8,0
11590640,7.7,0,0
11590650,0,11.1,11.1
11590651,0,0,11.1
11590660,8.3,2.8,2.8
11590670,0,0,0
11590680,0,7.1,0
11590,3.188372093,5.301176471,2.637243402
11620525,6.3,0,5.9
11620545,0,0,0
11620565,0,0,11.1
11620575,2.9,0,9.7
11620585,0,0,0
11620595,7,2.4,0
11620605,0,4.2,0
11620615,5,5.3,0
11620625,0,0,4.5
11620630,0,0,0
11620645,0,0,3.7
11620655,10,0,0
11620665,4.5,0,4.5
11620685,3.7,0,8.3
11620695,4.5,10.3,2.7
11620715,0,0,0
11620725,8.7,0,0
11620735,4.7,2.3,0
11620745,0,0,0
11620765,9.5,0,0
11620775,9.5,0,5.3
11620,4.036942675,1.690315789,2.611328976
11650510,8.6,8.8,2.9
11650520,4.5,0,0
11650530,3.5,4.9,1.3
11650531,2.7,0.00E+00,8.6
11650540,2.7,12.5,3.60E+00
11650550,0,0,14.3
11650560,7.1,3.4,3.7
11650570,0,14.3,0
11650580,0,0,0
11650581,0,2.50E+00,0
11650590,12.5,5,0
11650600,5.9,0,0
11650610,0,12,0
11650620,0,0,0
11650621,0,0,4.5
11650651,0,2.2,9.3
11650652,0,8.7,2.3
11650660,0,7.7,0
11650,2.865412186,4.555703422,2.699420849
11680510,6,6.8,7.1
11680521,3.6,1.3,1.3
11680531,2.6,5.2,6.8
11680545,5.4,3.5,0
11680565,0,1.8,9.3
11680580,3.5,5.5,10.3
11680590,5.5,3.9,5.8
11680600,8.7,0,0
11680610,2,0,4.3
11680630,6.1,8.2,1.6
11680640,3.1,2.5,4.7
11680650,5.4,0,5.6
11680655,3.6,0,11.5
11680656,4.2,0,0
11680660,0,0,0
11680670,8.3,9.1,10
11680690,3.4,3.1,0
11680700,0,9.1,0
11680720,0,1.00E+01,0.00E+00
11680730,8.3,8.3,0
11680740,0,0,0
11680750,0,0,0
11680,3.736226034,3.281557377,4.425657203
11710510,0,0,12.5
11710520,0,0,0
11710531,7.1,0,0
11710532,0,0,0
11710540,9.1,20,0
11710550,11.1,10,9.1
11710561,0,4.5,0
11710562,2.6,5.3,7.1
11710566,0,0,0
11710570,2.8,0,2.3
11710580,3.8,4.2,3.7
11710590,8.3,0,0
11710600,4.3,0,2.2
11710610,2.8,2.8,2.7
11710620,2.3,4.7,4.9
11710631,0,0.00E+00,0.00E+00
11710632,0,0,5
11710641,5,6.7,15.4
11710642,5.8,4.7,0
11710646,8.3,4,15
11710647,12.5,7.1,13.3
11710650,4.8,9.1,7.3
11710670,0,0.00E+00,0
11710680,0,0,0
11710690,0,33.3,0
11710710,0,0,8.3
11710720,0,0,0
11710,3.558049536,3.705948553,3.877795031
11740515,8.7,4.8,8.7
11740520,9.1,0,0
11740530,0,5.6,0
11740540,0,5.6,0
11740550,0,0,0
11740560,0,0,0
11740570,0,3.1,0
11740580,10,0,9.1
11740590,0,0,0
11740600,0,0,4
11740610,7.8,6.3,2
11740620,3.3,3.4,0
11740640,11.5,8.7,19
11740650,12,3.8,0
11740660,2.9,9.7,9.7
11740685,0,4.8,5.2
11740690,0,0,0
11740700,0,4.5,5
11740,3.830935252,4.508270677,4.00877193
11,3.642340942,3.595513323,3.076152807
