코드,2018월매출,2019월매출,2020월매출
11110515,74717455,58056517,32006332
11110530,82239199,48355905,44629471
11110540,72501266,35726802,20644838
11110550,50518431,46730211,36622411
11110560,21683974,18922506,24478622
11110570,282000000,1.75E+08,1.59E+08
11110580,18078925,16375300,15189186
11110600,62993164,46870888,46916698
11110615,65246898,51234956,44199419
11110630,60300882,54911801,54752791
11110640,135000000,1.22E+08,1.50E+08
11110650,46167608,34424043,30640744
11110670,67553378,59940757,64242900
11110680,86576723,58587808,61860647
11110690,54519959,61788073,12048044
11110700,81415561,67737708,63671322
11110710,65861194,55499124,63447943
11110,66131506.89,53100653.49,49730464.06
11140520,76910347,60376099,53499882
11140540,63988517,52264589,31178842
11140550,74186210,68759841,48529243
11140570,75734321,47776249,39023219
11140580,59902075,48751219,34236275
11140590,76746925,63958695,46045293
11140605,51832757,51038574,40839318
11140615,60394851,50838733,55381230
11140625,78461799,55521349,36943084
11140635,62816550,34386407,50351495
11140645,63489359,75200311,77566455
11140650,81474640,63726698,50151971
11140665,40036474,39639834,49268261
11140670,87215483,80646247,66455474
11140680,41288743,38811975,35637841
11140,68506413.12,57454297.1,45386354.25
11170510,57597457,37253645,44619103
11170520,33918425,19921019,16518912
11170530,64131041,37026882,42827723
11170555,65837384,46916145,42032788
11170560,72469145,49413041,53390330
11170570,57211911,60163168,55655841
11170580,55540082,52213771,35912843
11170590,30214018,25756737,21991442
11170625,99934004,93487189,63867253
11170630,74653804,41459226,42450245
11170640,65880495,84565506,85694440
11170650,108000000,98282185,59929899
11170660,93592090,67588808,76459724
11170685,90797206,73013155,64423436
11170690,72299563,39585793,45095689
11170700,72200848,67345273,93185622
11170,75278389.55,59672998.79,52259915.29
11200520,46417981,20687061,15302530
11200535,49985042,50690539,44020071
11200540,74588530,58983771,57043998
11200550,85067398,1.13E+08,57207452
11200560,48718586,48955365,46659716
11200570,51862070,51291781,55512354
11200580,6666667,6666667,0
11200590,40382745,6209688,14872903
11200615,70164679,33194624,31498366
11200620,15038580,11203197,14542557
11200645,81480033,80773150,1.75E+08
11200650,74661891,52226851,41927823
11200660,51548788,42323574,43976311
11200670,68713476,54968109,51330766
11200690,67476364,53434899,63179364
11200720,67001447,53042630,41011283
11200790,50984445,42259641,44994326
11200,61771834.32,54243271.79,52166276.06
11215710,101000000,75762823,60226005
11215730,42107278,32746282,35202797
11215740,79262380,72541145,83985705
11215750,35192447,39841891,35672981
11215760,48675931,44741668,69082665
11215770,39592054,35608315,34920187
11215780,41527628,42874406,33783080
11215810,67761771,37985825,51579789
11215820,72560926,66151509,72106884
11215830,52464265,30948333,44863911
11215840,114000000,73645292,68310189
11215847,76593672,52167900,1.02E+08
11215850,56779022,39247239,51413319
11215860,58195247,34423087,56957760
11215870,73109885,60640613,53026409
11215,68227320.22,52159890.57,57021707.31
11230536,62042207,54372889,61628909
11230545,68994146,65668922,43903531
11230560,57522388,35902517,34583604
11230570,74310994,56197918,38319238
11230600,58958345,38097529,34899171
11230610,60871899,32777471,46352297
11230650,66197618,54965091,62552819
11230660,67883641,56865764,56861347
11230705,56329957,21632254,46437015
11230710,61175789,55311784,62387884
11230720,64325948,40104654,39397407
11230730,87485639,58560745,49230496
11230740,92601967,74197673,58004847
11230750,55881939,41790215,26836862
11230,66820860.41,51481131.29,50325277.79
11260520,39050107,19660466,25457421
11260540,57410857,41296743,31184826
11260550,29137686,33883656,18293788
11260565,73360264,61806498,63451141
11260570,75762724,74791589,92266590
11260575,59249315,44745322,41177967
11260580,37499442,24446068,28418951
11260590,79346012,64119884,62500896
11260600,21751974,11536094,16273713
11260610,95204660,46066636,48189386
11260620,50932611,27959874,25849817
11260630,41653836,32780086,30059129
11260655,67943131,62864446,61550340
11260660,37268307,41509426,39763348
11260680,43758370,29027705,28496496
11260690,73737065,51781286,40604686
11260,58340427.68,44052423.94,44559840.25
11290525,33522341,44527758,43178677
11290555,53740643,38182336,47024499
11290575,56742466,39791672,35996911
11290580,26051017,11124681,10356696
11290590,43410743,20057909,26368464
11290600,60155861,51375222,38566944
11290610,45184213,25901116,29779052
11290620,135000000,1.11E+08,45237688
11290630,51955946,40940917,31189796
11290640,89724124,62812309,44078084
11290650,73582733,65854507,54811950
11290660,189000000,33422962,14791038
11290685,70482544,1.12E+08,93767196
11290705,62165481,65717992,51000855
11290715,45799094,26840574,36652924
11290725,56801081,38112252,29238883
11290760,70864825,61299368,61364084
11290770,52152471,36981070,63039538
11290780,76146306,61744823,24601997
11290810,65595667,48700169,52163454
11290,62022656.83,48405855.16,42037935.1
11305534,33872968,24351191,25767945
11305535,48664661,20119900,40868505
11305545,67839638,41825233,47138367
11305555,46934575,47183262,40836763
11305575,83953971,65892797,41722055
11305590,70418436,66693066,62346889
11305600,49983180,51679925,41826748
11305606,81271045,56057730,54220023
11305610,64579913,47471404,46676774
11305620,50180127,40700592,50379957
11305630,74710866,54233706,55166706
11305645,84864169,39903200,34403649
11305660,37846162,29923208,30766683
11305,59620150.7,43755170.21,45269963.89
11320511,82524399,58686748,93716003
11320512,63040542,46864923,52561478
11320513,31772557,34056963,24032017
11320514,59789489,37873417,44288387
11320515,89857658,69214906,60776532
11320521,61962294,68911497,70912623
11320522,31337536,15328720,19615930
11320660,58834495,43898218,48306808
11320670,57167541,50070186,53082060
11320680,45824107,36744046,25366072
11320681,75750321,72693518,56803029
11320690,98309480,83781119,88534446
11320700,88851541,71740883,54067449
11320710,73209271,55593235,50847544
11320,67059813.49,54759292.73,55441799.86
11350560,48718168,34273160,34068342
11350570,37449910,29725094,18417152
11350580,52182379,11530139,16012427
11350595,46035129,32965257,35403216
11350600,66374872,49612349,29400680
11350611,56591822,50329286,47424127
11350612,28263165,0,0
11350619,68108330,69943707,57789384
11350621,63248320,59054801,36937802
11350624,54384989,26345060,41389371
11350625,121000000,97267864,94748961
11350630,54091082,45546957,57404346
11350640,130000000,58431331,86706050
11350665,43406546,22229858,30968757
11350670,45182682,39684490,27928994
11350695,73827405,48031698,55689127
11350700,88389112,87703938,30533888
11350710,63105192,23536522,14280563
11350720,32735135,11377287,9079070
11350,62180063.72,42786446.63,42348536.57
11380510,54243217,36587857,44548866
11380520,46448386,28191275,31842571
11380530,65003032,60170676,49211422
11380551,55514444,42350938,51703900
11380552,41367419,35142765,39718673
11380560,59621074,55099619,47561115
11380570,74305258,56196452,49000191
11380580,68752411,52472021,65676956
11380590,10179624,9294491,7373322
11380600,91070231,73576518,74216029
11380625,59876717,54735984,53787856
11380631,76134577,53343708,56673734
11380632,48263820,41932579,49395933
11380640,62634102,42243338,66736636
11380650,45243343,0,0
11380690,38880534,9722996,20300684
11380,59915608.46,45869165.28,48365171.56
11410520,54699441,36500953,23695560
11410555,42321069,43464554,26678364
11410565,74505272,67365831,59060668
11410585,77828048,61366343,44665684
11410615,83372158,68446332,59309545
11410620,63044336,33462256,34566448
11410640,91872039,72014712,44689870
11410655,75391002,48817910,50828632
11410660,62340083,54911113,14887698
11410685,53458376,44483260,34528665
11410690,60666779,53801825,8602820
11410700,38899856,24177362,29745752
11410710,75127729,62491147,43071419
11410720,55114688,45187151,73624124
11410,68259860.86,54085410.29,44975581.53
11440555,63541429,47779367,33754418
11440565,48559722,36009669,29574652
11440585,67191914,51462195,46339504
11440590,47644461,50954476,43825046
11440600,72922446,58834111,54872766
11440610,49842795,45335422,49188461
11440630,71459455,50850414,64053203
11440655,71504625,61457079,58523844
11440660,90178696,59889367,51572967
11440680,78262960,66367006,63423430
11440690,64886048,44234513,54643402
11440700,53377675,54430556,58957043
11440710,57812942,46937921,55341606
11440720,43071951,41250407,47339793
11440730,62391219,54068521,49690152
11440740,73776171,59304156,60116673
11440,69686349.63,54250219.69,51674452.57
11470510,67452083,55840828,62554291
11470520,41716898,22160352,33981282
11470530,63108875,68391585,70285238
11470540,33278909,30401312,31072473
11470550,95751179,69847603,73467752
11470560,64933586,55061086,65513343
11470570,38059445,25549163,40564792
11470580,70632101,65416499,55192541
11470590,50342883,34014228,47269290
11470600,43557685,28317845,30514481
11470610,43407520,55843103,23822591
11470611,45306961,34732442,33731568
11470620,75428266,70217374,69075696
11470630,37337906,36494489,32513120
11470640,61025285,33136879,32659935
11470650,44326945,31844735,43320807
11470670,61517015,50649019,28457197
11470680,70766365,51433708,68970693
11470,55469147.52,43314414.81,46736685.85
11500510,94534858,67360478,39713576
11500520,77676754,52050277,65938426
11500530,59102792,51912639,37957485
11500535,65367007,52429802,49882757
11500540,79815032,68396263,76108776
11500550,26794756,30963443,25063119
11500560,65083674,46016365,59049010
11500570,65061840,52514098,51800332
11500590,56136461,42786511,47558069
11500591,55462279,55735798,58238352
11500593,52992063,39486329,46124899
11500603,47943923,41907841,46038461
11500604,244000000,1.26E+08,1.75E+08
11500605,38690104,0,14089936
11500611,46830484,26393159,16229005
11500615,66505203,30573851,81566284
11500620,66673375,47852661,35160226
11500630,80479599,66814701,70175375
11500640,34351188,32169598,26554631
11500641,39912508,37350437,38141793
11500,63234614.16,48316185.07,50495777.03
11530510,77388531,54291421,37987060
11530520,26746919,13458139,28308939
11530530,61497659,39807228,43460413
11530540,73845419,62954825,56430632
11530550,68968475,41306153,43654492
11530560,79571562,67861080,68505761
11530595,66118298,60110278,70971252
11530720,124000000,73790030,47080460
11530730,35462568,30915532,31038094
11530740,52201673,39389970,33739626
11530750,73556473,46919192,30960256
11530760,54569392,38370648,1.04E+08
11530770,103000000,98688549,90794113
11530780,55056094,37521698,26103492
11530790,60316783,41473180,37425132
11530,69075170.6,52787790.06,48929082.92
11545510,77413002,61847935,74326888
11545610,66525245,55575097,57848167
11545620,46873366,32605303,24431952
11545630,78972911,56652809,51927398
11545640,55599357,51125119,52217085
11545670,55035845,36174270,42101264
11545680,76434633,46820317,21342160
11545690,58452970,49305887,58883880
11545700,98887392,68520676,78260756
11545710,76507807,67849329,60983634
11545,70099910.29,54617774.13,60602667.6
11560515,62285094,46557359,35127721
11560535,53931990,56079076,38669992
11560540,80805968,54434939,68299530
11560550,72642598,68698635,69775567
11560560,66802973,61349572,60732872
11560585,54897711,41730195,50881304
11560605,88865044,77481785,72672073
11560610,55036596,44228417,42759448
11560620,29682852,24689572,20637324
11560630,55755560,45550303,50767325
11560650,49757752,35364429,39736776
11560660,73570577,82076073,29272258
11560670,23904630,14644316,13008608
11560680,104000000,88171837,87800400
11560690,52407517,35705927,16583059
11560700,59051022,49413621,54484426
11560710,77244429,48414919,42385820
11560720,93676970,68132912,66999324
11560,66856741.66,54620355.95,53298515.83
11590510,69664467,55422041,49794444
11590520,59273848,57553088,57756581
11590530,85563504,76731905,64633821
11590540,45364900,40798454,44517034
11590550,49104746,41763163,55590963
11590560,45993057,43940557,35198602
11590605,75952356,50732573,44520289
11590620,55843880,53045285,48477888
11590630,41502331,18857144,56987626
11590640,39112200,27751957,37268264
11590650,39239063,37361375,51740000
11590651,56112305,69443463,43827968
11590660,54508653,40413518,39322820
11590670,65767452,41607918,31185359
11590680,66951518,69217908,63583977
