이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
청운효자동,11110515,7377,-22.6667,-21,91,-1,22.333,19.667,29,8.333,12,-32.333,-30.333,9,32,4065.634,12402.52,12,0,0,0,0,0,0,0,0,0,0
사직동,11110530,-5326,-20.3333,-17.6667,40.333,52,38.333,37.667,24,7.3333,0.6667,-69,-25,-3.6667,-5,-21794,-6970.88,30,3,0,0,0,0,0,0,0,2,3.7
삼청동,11110540,-8633,23,28,14.6667,49.3333,42.6667,22,23.3333,4.6667,4.6667,9.6667,-4.6667,0.3333,3,2803.054,7009.397,8,1,0,0,0,0,0,0,0,0,33.3
부암동,11110550,9964,-5.6667,-2,208.667,95,10.667,17.667,13.667,-9.6667,6.3333,-12.667,-10.6667,-9.3333,-2.6667,900.2896,-484.354,12,1,0,0,0,0,0,0,0,0,0
평창동,11110560,6134,-8.667,-56.667,-45.333,13.333,-24,18,46,-1.667,6,6.667,-62.667,-1.333,39,17794.41,-684.678,14,1,0,0,0,0,0,0,0,0,0
무악동,11110570,11388,45,12,20.3333,73.6667,34,53.667,26,27.3333,9.3333,-18.3333,-26,3.3333,19.3333,-94.5236,9067.417,4,0,0,0,0,0,0,0,0,1,0
교남동,11110580,54886,10.3333,-11,-22,23.333,7,7,21.333,-2,20.3333,-36.333,11.667,8.6667,2.3333,-2824.5,9254.282,16,0,0,0,0,0,0,0,0,0,6.7
가회동,11110600,23109,-2.6667,-8.6667,-6.6667,22.3333,8,27.6667,17.3333,1,2.3333,-24.3333,-1,-0.6667,-1.6667,-15532.2,38489.67,9,2,-1,0,0,0,-1,0,0,0,0
종로1.2.3.4가동,11110615,10851,68.6667,88,224.6667,209,246,178,91.667,15,15.6667,73.667,3.6667,7.6667,10.6667,-51690.4,-53096.9,117,4,1,0,-1,1,0,-4,0,3,3.6
종로5.6가동,11110630,27469,11.3333,25,242.3333,66,28,33,38.3333,8.3333,0.3333,-231,-13.667,-0.667,13.67,-8353.14,635.8921,26,3,1,0,0,0,-1,-1,0,2,3.8
이화동,11110640,-33292,-3.3333,50.6667,326,101,9.333,4,7.6667,3.6667,11,42.667,-4.3333,23.6667,20,-13672.3,-6402.79,19,1,1,0,0,0,1,0,1,0,0
혜화동,11110650,-18193,7.6667,339,2877.333,153.667,-7.333,28.333,17,-8.333,19.3333,43.333,-30.333,4.333,16.6667,848.7018,-7039.33,33,1,0,0,0,0,0,0,2,1,0
창신1동,11110670,62205,28.6667,23.3333,251.3333,126.6667,122.3333,211,61,-3.3333,9,-17,-13,20.6667,3,-1056.38,13889.41,7,-1,1,0,0,0,0,-1,0,0,0
창신2동,11110680,1607,25,26.6667,356,160.3333,113.667,307.667,117.667,7.6667,10,-24.667,-36.3333,12.3333,38,-268.908,37719.98,4,0,0,0,0,0,0,-1,0,0,0
창신3동,11110690,130969,0.3333,0.3333,27,26.667,14.667,21,32.3333,-2,5.6667,-33,2.6667,-7.6667,25,-239.328,5520.955,3,0,0,0,0,0,0,0,0,1,0
숭인1동,11110700,-33940,11.3333,2.3333,53.6667,86,55.333,61,15,9.6667,3.6667,-3.333,-3,18.3333,-1.6667,-191.361,16914.81,8,0,0,0,0,0,1,0,0,0,0
숭인2동,11110710,-6068,-0.6667,-23.3333,208.333,86.667,27,77.333,43,8.3333,12.3333,-44.333,-11.3333,43.6667,6,-585.307,-511.026,25,1,0,0,0,0,0,0,0,1,3.7
소공동,11140520,20728,96,58.6667,88,255,223,145,71.3333,14.3333,9.66667,10.3333,-13.3333,-6.3333,-3.3333,-48382.3,3215.006,52,-3,0,0,0,0,0,0,0,1,2
회현동,11140540,-3866,36,38.6667,22.6667,117.3333,113.6667,82.333,85,21.3333,10.3333,93,-6.3333,0,-8.6667,-41680.2,4697.409,60,3,-1,0,0,0,1,0,0,2,2.2
명동,11140550,-2972,30.3333,36.3333,168,122.3333,111,109.6667,42.3333,12,6.6667,-144.333,4.3333,-3,1,-55845.5,-33991.2,91,3,2,0,0,0,0,0,0,2,1.2
필동,11140570,8338,13,88.3333,719.3333,138,28,36.3333,28,2.3333,-0.3333,-21,-11,17.6667,7.3333,-2601.1,13804.69,31,1,1,0,0,0,0,0,0,1,3.1
장충동,11140580,13686,29.6667,62.6667,578,78.6667,83.6667,54,37.6667,5,2.6667,-41,24.3333,2,9,2113.982,4048.051,16,0,1,0,0,0,0,0,0,1,5.9
광희동,11140590,12408,48,34.6667,482.3333,244.3333,196.6667,202,72.6667,20.3333,9.3333,-77.667,13.6667,1.3333,7.6667,3545.192,604.9094,55,-4,1,0,0,0,0,0,0,1,0
을지로동,11140605,-8425,7,4.33333,94,64.6667,21.6667,23.3333,19.6667,6.6667,3.66667,-18.333,-3.3333,4,-0.33333,-14343.8,4425.377,34,4,0,0,0,0,1,-1,0,2,3.4
신당동,11140615,7776,68.3333,37,480.667,285.667,186,407.333,125,29,8,-60.667,-15,25,11,-11245,-4867.06,32,-2,0,0,0,0,0,-1,0,1,5.9
다산동,11140625,1032,22,2.667,261.667,48.667,4.667,65,30,-7.333,27,-74.333,-8.667,27,18,-1057.87,104.2234,17,0,0,0,0,0,1,1,0,1,11.8
약수동,11140635,59334,-3.333,1.667,-8,-50,27.333,28,30.333,24.333,24,-61.667,-18.333,-19,29.667,26678.24,13104.75,12,1,0,0,0,0,-1,0,0,2,0
청구동,11140645,-27605,-0.3333,5.333,23.667,18.333,13,24.333,26,11.333,13.3333,-7.667,20.333,19.333,36,159.5994,25166.81,6,0,0,0,0,0,0,0,0,0,16.7
신당5동,11140650,-23592,36.3333,-2,203.667,212,77.333,117,72.667,34.3333,6,-306,-161.333,-15.6667,-18.3333,-1166.1,16887.79,7,5,0,0,0,0,0,0,0,0,0
동화동,11140665,-3006,14.6667,-0.3333,22,6.333,11,16,44.667,8,17,-2,-6,-8.3333,30,-1009.91,22455.47,10,-2,-1,0,0,0,1,-1,0,0,0
황학동,11140670,886,63.3333,33.6667,310.667,229.667,107.333,252.333,74.333,30.6667,11.3333,-128,-70,20,13,-1320.23,28985.25,13,3,0,0,0,0,0,0,0,0,7.7
중림동,11140680,-26463,20,-12.3333,46,54.333,77.333,49.667,60.333,5.6667,27.3333,-28.667,-26,39,34.6667,-2324.31,6276.593,14,0,0,0,0,-1,0,0,0,0,0
후암동,11170510,-3073,0.333,-12,105.333,79.333,57,170.333,58.333,-1,6.6667,-87.333,-12.667,7.333,55.6667,-1080.45,9674.318,19,2,0,0,0,0,0,0,0,0,5.9
용산2가동,11170520,-3126,56,50,291,435.333,225.333,84,56,25.6667,4.6667,-24.667,28,6,26.6667,-1588.22,10785.95,20,-1,0,0,0,0,0,0,0,1,5.6
