이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,매출
청운효자동,11110515,144858,914,1326,1729,1879,2333,2006,1341,1049,475,1956,1129,999,953,11631.06,28369.16,12,35,4,281,0,2,3,2,0,0,58056517
사직동,11110530,172166,642,757,1236,1463,1608,1567,1138,791,422,2224,885,680,531,50170.88,21935.78,27,67,6,969,2,1,15,15,3,2,48355905
삼청동,11110540,188928,157,241,356,472,434,477,418,300,143,743,250,182,149,7079.372,13573.12,6,40,2,267,0,0,1,0,0,0,35726802
부암동,11110550,109919,601,937,1635,1412,1649,1727,1254,798,379,1630,936,753,696,4176.485,11841.93,14,16,3,122,2,3,1,0,1,0,46730211
평창동,11110560,110142,1204,1824,2622,2346,2888,3348,2302,1413,698,2410,1665,1490,1385,20406.45,18643.84,14,20,2,160,4,2,3,3,2,0,18922506
무악동,11110570,228660,751,1050,948,1001,1635,1386,953,639,275,727,681,732,783,602.886,16336.99,4,7,1,38,0,1,0,2,0,1,1.75E+08
교남동,11110580,230131,953,858,1336,1938,1904,1569,1141,716,287,1610,1107,917,745,1374.318,16149.99,15,9,4,109,0,1,1,1,1,0,16375300
가회동,11110600,157309,221,362,498,630,790,757,562,444,163,913,438,341,247,5563.327,46456.77,9,37,6,226,1,0,4,4,0,0,46870888
종로1.2.3.4가동,11110615,282442,296,342,1136,1137,1210,1605,1460,841,349,4189,518,297,211,87280.64,17153.98,111,264,138,2542,3,10,50,53,8,3,51234956
종로5.6가동,11110630,284292,141,327,1185,705,719,1045,759,546,193,2105,496,295,200,11340.97,21405.84,26,113,29,558,0,3,16,8,0,2,54911801
이화동,11110640,138692,304,558,2104,1477,1093,1176,904,628,286,2712,790,504,368,4636.773,18958.61,21,31,1,401,0,1,6,4,4,0,1.22E+08
혜화동,11110650,149872,808,1793,7236,2451,2378,2317,1550,1259,577,5523,1429,1046,894,5690.16,25243.88,38,47,13,709,1,13,14,24,5,1,34424043
창신1동,11110670,275905,211,318,886,695,869,1395,1018,542,187,1724,567,340,214,2052.269,26752.61,9,45,32,228,0,4,7,9,1,0,59940757
창신2동,11110680,82466,338,627,1636,1120,1445,2165,1385,811,295,1918,870,653,493,390.2204,47577.13,4,25,5,122,0,2,3,6,0,0,58587808
창신3동,11110690,228660,432,614,1070,1095,1062,1333,937,534,225,891,668,635,490,237.2011,9611.211,2,10,0,32,0,0,0,0,1,1,61788073
숭인1동,11110700,100054,350,451,895,1002,1060,1220,866,537,214,1357,649,486,353,471.1184,25196.06,8,9,3,51,0,1,2,0,1,0,67737708
숭인2동,11110710,122919,342,408,2037,1644,1374,1801,1330,768,274,3758,909,566,404,2201.962,15045.2,27,42,41,232,0,4,8,18,2,1,55499124
소공동,11140520,185791,290,165,303,723,641,419,291,119,45,633,199,152,98,93098.1,35706.84,51,51,17,783,2,1,12,5,1,1,60376099
회현동,11140540,369703,259,243,570,707,854,1168,1126,582,263,2172,439,289,222,29190.08,34523.03,45,359,53,670,4,1,10,10,0,2,52264589
명동,11140550,188645,143,149,444,490,569,598,572,310,132,945,212,137,83,111028.6,7267.227,86,188,49,1496,0,2,24,10,4,2,68759841
필동,11140570,145000,231,291,1367,785,548,687,612,349,163,1421,407,236,167,16417.89,29321.38,32,38,13,523,2,3,7,17,2,1,47776249
장충동,11140580,82778,229,417,1736,780,715,672,547,379,163,1680,451,242,226,14933.35,16055.76,17,15,13,142,2,2,3,3,1,1,48751219
광희동,11140590,194541,204,254,1204,963,828,1106,924,522,197,1854,529,284,190,42815.32,23940.8,49,224,53,799,2,3,17,18,3,1,63958695
을지로동,11140605,179209,55,42,307,296,218,386,390,195,79,1057,152,68,38,14441.85,22238.04,29,134,27,623,3,1,21,17,2,2,51038574
신당동,11140615,295992,338,409,1849,1570,1379,1795,1048,658,236,2716,809,456,337,3457.953,21319.36,34,122,18,339,3,1,9,20,1,1,50838733
다산동,11140625,124656,682,1006,2633,2438,2244,2437,1894,1224,437,3089,1616,1076,890,6443.917,16303.57,17,29,6,207,3,1,8,19,1,1,55521349
