코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수
11110515,-5606,-12,-17,54.66667,9,-3.66667,46,34.66667,3.666667,3,54.66667,-24.3333,1,-6,0,-8116.34,12,2,0,0,0,0,0,0,0,0
11110530,22970,-15,-22.3333,32.33333,91.66667,44.33333,44,44,-3.33333,20.33333,80,25,-10.6667,0,0,7547.889,30,-1,0,0,0,0,1,-2,-2,2
11110540,12666,27.66667,24,-2.66667,35.33333,43.66667,25.33333,46,4,7.333333,-4.33333,-2.66667,0.333333,-6,0,-33301.5,8,0,1,0,0,0,1,0,0,0
11110550,-3068,-18.6667,-14.6667,147.3333,117,33,12.66667,9.333333,8,-0.66667,43.33333,25.33333,-17.3333,-9.66667,0,5714.023,12,0,0,0,0,0,0,0,0,0
11110560,-3747,10.66667,-31.6667,-57.6667,12.33333,35.33333,9.666667,86.33333,-11,9,24.66667,25.33333,-21.3333,6,0,-8519.94,14,0,0,0,0,0,0,-1,0,0
11110570,-52064,-16.3333,-15.6667,-3.33333,-8.33333,-14.3333,28,-10.3333,9.333333,6.666667,18.66667,10,7.333333,-6.66667,0,-12165.6,4,0,0,0,0,0,0,0,0,1
11110580,-23359,-6,4,-9,39,-22,37.33333,0,5.333333,9.333333,11.66667,-5.33333,9.666667,12.33333,0,-31222.1,16,0,0,0,0,0,0,0,0,0
11110600,-17501,3.666667,-4,4,8.666667,18,22.66667,21.66667,5.666667,-0.66667,18.66667,-6,6.333333,-5.66667,0,-8241.95,9,1,0,0,0,0,0,0,0,0
11110615,-9660,66,64,236.6667,325,291.3333,190.3333,88.66667,40,1.333333,33.66667,8.666667,-3.33333,3.666667,0,20818.73,117,5,3,0,1,-2,1,-4,0,3
11110630,-16381,1,16.33333,257.3333,65.33333,22.33333,25.33333,48.33333,-0.33333,-1,17,10.33333,-10.6667,-6.33333,0,1381.827,26,3,1,0,0,0,-1,-1,0,2
11110640,-24455,2.666667,38,371.3333,51.33333,18,1.666667,19.66667,3.333333,-4.66667,55.66667,10.66667,-18.3333,-5,0,-10529,19,-1,0,0,0,0,0,0,-1,0
11110650,8078,-22,205,2657.667,186.6667,5,49,15.66667,-3.66667,10.33333,154.3333,-0.33333,8.333333,-2.33333,0,2994.16,33,1,-1,0,0,0,-2,0,0,1
11110670,-7844,12.66667,14.33333,326.6667,110.3333,69.66667,204.3333,66.33333,-7.66667,2,25,-9,-2.33333,-3,0,-20766.3,7,0,0,0,0,0,0,0,0,0
11110680,-560,24.66667,2.333333,429,180.6667,84,248.3333,123,33.33333,5,40.33333,1.666667,-18.6667,-10,0,-64.3209,4,-1,0,0,0,0,0,0,0,0
11110690,-116536,0,-4.66667,34.33333,17,17,4.666667,23.33333,3.666667,5.666667,20,23.66667,-8.66667,-11,0,-44227.3,3,0,0,0,0,0,0,0,0,1
11110700,-2506,7.666667,-7.33333,94.66667,60.66667,50.66667,66.33333,32.33333,4,1.333333,36.66667,6,-8.66667,0.333333,0,214.4282,8,-1,0,0,0,0,0,0,0,0
11110710,380,-5.33333,22,236.6667,93.66667,53.33333,75,31.66667,2.666667,8.666667,112.6667,0.666667,-3.33333,-12,0,-6159.55,25,3,0,0,0,-1,0,0,0,1
