코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수
11110515,160242,882,1227,1675,1776,2238,2036,1390,1032,505,2043,1135,991,915,7599.266,15864.54,12,35,2,286,0,2,3,2,0,0
11110530,200198,608,704,1279,1496,1558,1588,1203,781,460,2373,935,673,536,69281.48,24295.07,30,66,7,1011,2,1,16,14,4,2
11110540,183892,139,237,350,426,428,453,447,299,156,729,252,182,140,4231.349,5840.575,8,36,4,284,0,0,2,0,0,0
11110550,104196,588,941,1526,1366,1693,1733,1287,809,390,1686,972,745,689,3252.692,15173.04,12,15,3,130,3,3,0,0,1,0
11110560,82299,1208,1665,2523,2287,2834,3363,2465,1413,757,2428,1753,1470,1352,2755.503,19270.38,14,20,2,160,4,2,3,2,2,0
11110570,162791,730,1025,949,984,1582,1411,990,652,302,764,717,736,757,635.453,7122.287,4,7,1,39,0,1,0,2,0,1
11110580,223640,907,872,1307,1840,1877,1628,1138,737,316,1658,1090,918,755,3999.809,6723.47,16,9,4,119,0,1,1,1,1,0
11110600,150658,218,348,498,602,795,724,603,448,170,956,433,348,243,21122.3,7313.243,9,32,3,227,1,0,4,4,0,0
11110615,249923,275,295,1096,1208,1244,1583,1469,862,364,4149,523,286,204,145953.3,58693.11,117,250,144,2595,4,9,47,50,12,3
11110630,255336,126,273,1365,761,671,1017,798,540,201,2353,520,285,180,18207.2,17752.18,26,96,26,563,0,3,15,10,0,2
11110640,162176,279,505,2061,1364,1070,1155,924,612,305,2725,805,462,343,17679.46,23032.04,19,26,1,429,0,2,4,4,2,0
11110650,164646,723,1631,7034,2326,2326,2338,1593,1250,623,5634,1459,1050,875,4812.525,29071.13,33,49,12,712,1,12,9,22,4,1
11110670,197134,171,275,930,642,761,1363,1051,560,209,1766,571,317,208,3016.877,9766.071,7,45,33,221,0,5,7,9,1,0
11110680,90776,286,571,1650,1091,1310,2113,1428,836,308,1983,908,622,445,639.921,10132.84,4,22,4,124,0,2,3,5,0,0
11110690,98319,412,558,1039,1019,1015,1308,997,550,235,944,689,634,454,464.8291,4739.573,3,10,0,31,0,0,0,0,1,1
11110700,100845,329,399,906,925,1023,1216,894,535,223,1397,658,459,355,563.3993,7856.58,8,9,2,49,0,1,1,0,1,0
11110710,120870,304,392,2072,1606,1326,1778,1373,761,307,3915,921,519,386,2680.142,14877.77,25,45,40,237,0,4,8,19,0,1
11140520,221939,275,208,267,661,696,448,304,120,49,631,219,160,98,139413.4,24718.09,52,52,15,835,3,1,10,5,1,1
11140540,378616,240,251,564,676,805,1117,1143,598,291,2025,442,302,222,68590.79,25170.77,60,331,44,688,4,1,9,9,1,2
11140550,257799,136,192,479,554,569,642,589,349,146,1109,220,141,81,149331.4,29899.41,91,178,55,1581,0,2,21,12,3,2
11140570,159193,209,222,1303,721,520,649,621,356,177,1480,422,214,157,19108.09,10557.41,31,37,10,529,2,4,6,14,0,1
11140580,114518,217,378,1723,762,670,659,530,380,174,1791,432,240,208,13527.61,9807.555,16,14,13,152,3,1,4,3,2,1
11140590,203825,198,256,1311,1076,801,1081,929,547,210,2003,536,283,186,38740.98,22157.46,55,216,55,819,2,4,18,18,3,1
11140605,186177,58,45,273,318,212,365,410,203,78,1081,165,62,35,28544.49,16571.28,34,115,29,695,2,1,18,15,3,2
11140615,367247,329,363,1856,1538,1284,1744,1117,664,248,2840,830,439,312,14335.03,24149.94,32,109,15,349,4,1,8,20,1,1
11140625,121953,619,906,2639,2396,2188,2429,1945,1249,494,3193,1661,1028,853,7766.974,15631.59,17,29,6,222,3,1,7,17,1,1
11140635,167356,1192,1037,2092,2546,2569,2935,2624,1648,780,2914,2082,1492,1014,2712.865,17546.7,12,19,3,141,0,5,2,8,3,2
11140645,103145,811,939,2077,2277,2058,2416,1913,1173,591,2478,1531,1164,904,2856.042,11825.19,6,14,0,99,0,3,3,2,2,0
11140650,129345,634,600,1763,1856,1642,1951,1327,840,330,2643,1188,761,578,2354.825,11616.4,7,24,7,248,8,4,4,12,1,0
11140665,118512,791,882,1525,1414,1686,1998,1395,771,407,1155,973,902,834,2131.683,10705.59,10,14,2,119,0,4,9,4,0,0
11140670,143028,845,570,2386,3087,1968,2001,1573,895,339,3787,1498,898,579,3241.652,14057.09,13,42,21,259,0,0,6,9,1,0
11140680,136658,1085,779,1551,2414,2111,2060,1445,933,417,2513,1299,1035,778,7447.454,8824.881,14,22,9,244,0,4,6,5,2,0
