임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,폐업률
-16487,-5.3333,-12,102.333,62,37,35.333,35,4,15.3333,-65.333,-37.333,19,88,-225.281,5023.906,11,0,1,0,0,1,0,0,0,0,9.1
-28824,-11,5.3333,39,72.333,59.667,34.667,31,4.3333,4.3333,-173,-40,-7.6667,52,-5038.58,-9450.64,26,1,0,0,0,0,-1,0,0,2,3.8
59363,21.6667,15,15.6667,49.6667,33.6667,29.6667,24,-3,-0.6667,6.6667,-3.6667,12.3333,6,128.4822,24746.75,7,1,0,0,0,0,0,0,0,0,0
-11436,-21.6667,-17.667,221.333,85,-25,-5.333,-5,6.3333,-0.3333,-34.667,-28.6667,-25.3333,33.3333,68.46697,17090.81,14,0,0,0,0,0,0,0,0,0,0
30332,19,45.667,-17.333,56,-15.667,44.667,38,20,8,75.667,-87.667,-20.333,98,71.19889,8540.709,14,-3,0,0,0,1,0,0,0,0,0
-70328,-5,-7.67E+00,0.3333,-5.3333,15.333,5.333,3.3333,-9,6,-26.3333,-55,-55.6667,-8.6667,21.44654,16168.58,3,0,0,0,0,0,0,0,0,1,0
-56478,47.6667,-1.6667,67,52.667,55.667,34.333,40.667,6.6667,20.3333,-64.333,-25.333,-47.3333,34.3333,98.51745,10990.34,16,-1,0,0,0,0,0,0,0,0,0
-24612,-1,8.6667,-7.3333,23.3333,13,27.6667,18,9.3333,-1,-2.3333,-10,-20.6667,24.3333,124.1814,18754.36,8,1,1,0,0,0,0,0,0,0,0
-3092,69,74.6667,183.3333,239.3333,177.667,110,37,21.6667,2.3333,59.667,32.6667,9.6667,25.6667,481.407,-59237.9,104,-4,2,0,0,0,1,-2,0,3,3.8
-20743,3,14.3333,93.3333,48.6667,27.3333,43.667,22,6.6667,7.6667,-262,-33.6667,17.3333,37.6667,-1517.93,34154.32,25,3,-2,0,0,0,0,0,0,2,4
9304,-10,1.90E+01,332,30.667,-8,12.667,3.6667,14.3333,4,-30.333,-29.3333,53.6667,55,282.9465,266.2153,18,1,0,0,0,-1,0,-1,1,0,11.1
13473,-8.6667,329.333,2594,181.667,-34.333,27.333,8.333,-10.333,8.3333,-212.667,-26.333,45.333,72.6667,34.71962,-11945.1,37,2,0,0,0,1,-2,0,-1,1,0
-16650,18,14.3333,188,113.6667,149,212.667,49.3333,-2.3333,6.6667,30,-21,41.6667,26,91.76812,18726.09,9,1,0,0,0,-1,0,-1,0,0,0
-6087,38,2.6667,297.667,164,129.667,348.667,72.333,5.3333,18,5.333,-61.3333,22.3333,92,-12.1312,906.9063,3,0,0,0,0,0,0,0,0,0,0
-144444,1,3,54.333,40,15,4,9,9.6667,9,-82,-0.3333,-3.6667,37,7.445775,13658.11,2,1,0,0,0,0,0,0,0,1,0
106502,8,0.6667,62.3333,76,43.333,79.333,35,-3,10.3333,-39.333,2,17.3333,32.3333,-59.2541,25559.94,8,-1,0,0,0,0,0,0,0,0,0
30574,-0.3333,1,192.333,101.333,35.333,108,35,-6.3333,0,-170.333,-24.3333,31.6667,45,-181.143,-1336.21,26,0,1,0,0,0,0,0,0,1,0
-78299,77.3333,42.3333,77.6667,215.6667,180,128.3333,58.6667,8.3333,3.66667,-29.6667,-18.3333,-4.3333,0.6667,162.4225,-11368.7,53,-1,0,0,0,0,-2,-1,0,1,1.9
12132,31.3333,28,69,145.3333,98,114.333,93.667,22.6667,2.3333,153,-9.3333,14,-9.6667,-3494.05,-14246.7,43,1,1,0,0,0,0,0,0,2,4.7
23921,25,22.3333,84.6667,130.6667,66.3333,110.6667,29.3333,17,9.6667,-149.333,0.3333,-4,14,-13816.4,-32637,88,2,-1,0,0,-1,2,0,1,2,9.1
-25959,4.3333,86.3333,626.3333,144.3333,10.6667,43,2,10.3333,0,-56,-36,24.6667,19.3333,1407.627,31329.48,29,3,2,0,0,0,0,0,1,1,0
-19904,39.6667,100,501.667,97.6667,58.6667,71.6667,37.6667,-3.6667,8.6667,-105,33.3333,28,4,323.2676,9526.374,18,2,0,0,0,0,0,0,0,1,0
-37011,23.6667,82,318,184,165.6667,183.3333,56,7.3333,-3.3333,-124.667,2.6667,6.3333,29.6667,4262.967,-6704.71,46,4,0,0,0,0,-1,0,0,1,4.3
11852,6,0.66667,78,52.3333,-5.3333,21,11,12.6667,2.33333,-149.333,-22.3333,5,-2.33333,-652.927,10667.67,31,6,-1,0,0,0,0,-2,0,2,6.5
-41525,67.3333,34.6667,439,296,254,410,98.6667,26,2.3333,-144.667,-26,78,30,386.3806,-3247.11,38,0,0,0,0,0,0,-1,0,1,2.6
-5471,-9.3333,-4.333,220,56.333,12.333,87.333,13.333,32,2.3333,-192.333,-15.667,66,32,-495.907,4147.047,16,1,-1,0,0,1,0,0,0,1,6.3
-43937,-10,-17.333,17,9.667,-40.667,-5,59,31.667,4.3333,-116.667,-37.333,22,85.667,92.34484,-6672.06,15,1,0,0,0,1,0,0,0,2,0
54026,-11.6667,-16.333,50,24.667,14.667,18.667,33.667,32,14.6667,-37.667,0.333,35.333,79,-214.77,15566.16,7,-1,0,0,0,0,1,0,0,0,14.3
24178,-12.3333,-9,78.667,47,32.333,60.667,60,-10,2,-583,-229.333,-57.6667,4.6667,32.671,35249.86,7,-3,0,0,0,-1,0,0,0,0,14.3
3407,12,-38.6667,38.333,13.333,-20,45,38.333,5,14,15,-73,11.6667,69,37.81257,8180.75,13,0,0,0,0,0,0,1,0,0,7.7
15311,40.6667,23,312.333,242.667,132.667,255.333,61,10.3333,12,-396,-160,7,52,-45.3167,1288.278,14,-1,-1,0,0,0,0,-1,0,0,0
