임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,직장인구,생활인구,편의점수,슈퍼마켓수,여관수,외식업수,주유소수,피시방수,당구장수,노래방수,독서실수,지하철역수,월매출
149361,994,1390,1777,1977,2389,2030,1306,1062,450,1923,1122,1009,1009,7599.266,21915.76,11,36,3,271,0,2,3,2,0,0,74717455
148404,698,772,1161,1505,1667,1546,1107,783,392,2120,870,676,588,69281.48,27648.9,26,64,5,971,2,1,15,14,3,2,82239199
230589,168,235,377,457,442,517,414,289,133,740,251,194,152,4231.349,32061.22,7,45,2,262,0,0,1,0,0,0,72501266
95828,580,1020,1628,1368,1735,1709,1209,845,373,1608,918,737,732,3252.692,30724.88,14,17,3,134,2,1,1,1,1,0,50518431
116378,1230,2008,2707,2372,3034,3345,2214,1417,657,2479,1640,1471,1444,2755.503,28632.34,14,20,3,163,4,2,3,3,2,0,21683974
144527,718,987,929,954,1592,1312,894,601,241,719,652,673,755,635.453,23620.1,3,7,2,32,0,2,0,2,0,1,2.82E+08
190521,970,846,1459,1935,1901,1562,1072,708,246,1582,1070,861,777,3999.809,19827.19,16,6,4,104,0,1,0,1,0,0,18078925
143547,235,398,533,639,837,758,555,448,166,935,429,321,273,21122.3,26870.88,8,31,5,224,1,0,5,4,0,0,62993164
256491,314,355,1106,1179,1219,1632,1370,867,323,4175,547,299,226,145953.3,22656.64,104,248,130,2520,4,8,52,60,10,3,65246898
250974,145,339,1081,680,777,1069,752,544,182,2074,476,313,224,18207.2,55638.82,25,94,29,546,0,3,14,10,0,2,60300882
195935,347,582,2092,1477,1161,1196,885,608,259,2639,765,534,403,17679.46,25775.02,18,27,0,405,0,0,5,4,3,0,1.35E+08
170041,877,1812,6893,2546,2482,2312,1549,1268,533,5267,1433,1087,950,4812.525,21655.76,37,46,12,711,1,14,14,27,3,1,46167608
188328,215,350,844,751,983,1408,947,553,165,1771,559,361,237,3016.877,31518.79,9,44,32,222,0,4,6,11,1,0,67553378
85249,385,715,1623,1205,1622,2207,1347,782,277,1948,845,663,547,639.921,11135.72,3,25,5,129,0,2,3,7,0,0,86576723
70411,467,627,1112,1100,1135,1361,880,533,214,842,665,639,502,464.8291,18344.5,2,9,0,30,0,0,0,0,1,1,54519959
209853,391,476,955,1046,1131,1236,838,508,202,1321,654,485,387,563.3993,32917.36,8,10,4,56,0,1,1,0,1,0,81415561
151064,352,482,1995,1620,1469,1822,1263,762,267,3632,896,554,443,2680.142,14023.74,26,45,41,239,0,4,7,18,2,1,65861194
159542,272,162,281,714,562,389,273,116,37,593,194,154,102,139413.4,24169.18,53,56,15,782,2,1,13,6,1,1,76910347
392834,264,220,594,723,860,1211,1108,598,239,2232,436,303,221,68590.79,14915.66,43,353,51,692,4,1,9,11,0,2,63988517
253645,155,126,382,529,583,616,540,309,129,940,208,136,96,149331.4,14481.43,88,182,44,1488,0,1,26,11,4,2,74186210
134650,230,334,1235,771,574,722,570,344,173,1386,382,243,179,19108.09,48809.21,29,40,12,514,2,4,8,19,2,1,75734321
89626,255,450,1636,800,757,673,537,383,145,1616,460,268,221,13527.61,22900.21,18,15,12,148,2,2,3,3,1,1,59902075
182225,198,303,1046,903,804,1146,899,491,185,1807,518,289,212,38740.98,16634.01,46,223,52,826,2,5,18,19,2,1,76746925
191859,51,51,221,218,207,386,380,196,77,926,133,69,36,28544.49,29338.56,31,120,27,614,3,1,20,19,3,2,51832757
336315,364,467,1885,1546,1535,1839,1013,613,228,2632,798,509,356,14335.03,22231.58,38,130,18,334,3,1,10,21,1,1,60394851
108725,733,1072,2582,2511,2392,2450,1820,1223,394,2971,1609,1115,904,7766.974,20831.48,16,32,7,205,3,1,6,19,1,1,78461799
141717,1351,1145,2263,2832,2794,2963,2425,1539,699,2760,1995,1565,1120,2712.865,9146.151,15,15,3,131,0,5,3,9,2,2,62816550
125751,933,1088,2159,2410,2295,2510,1738,1191,527,2440,1513,1192,994,2856.042,27473.36,7,15,0,86,0,2,4,2,2,0,63489359
140215,618,667,1354,1476,1643,1736,1158,740,249,2043,921,702,585,2354.825,48502.09,7,18,8,228,7,4,4,14,1,0,81474640
130071,850,935,1672,1583,1782,2038,1247,729,344,1175,878,888,923,2131.683,17339.99,13,14,4,105,0,3,7,7,0,0,40036474
145735,863,605,2265,2827,1992,2103,1463,834,294,3356,1325,893,633,3241.652,14602.1,14,38,23,258,0,1,5,11,0,0,87215483
158501,1073,856,1581,2521,2035,2015,1339,848,347,2421,1213,997,825,7447.454,22195.62,14,25,13,236,0,5,6,6,1,0,41288743
119917,1241,1569,2612,3161,3122,3004,2123,1308,554,3901,1680,1413,1138,3292.841,19287.02,18,39,5,202,2,2,2,4,0,0,57597457
114724,598,785,1931,2373,1884,1809,1481,905,383,2784,1206,789,566,2968.7,18080.72,17,30,1,194,0,1,1,3,0,1,33918425
88701,283,337,1147,1190,1355,1828,1348,656,253,4172,594,334,247,52698.48,18650.32,32,37,35,509,1,9,14,24,2,3,64131041
114279,881,1518,4243,3376,3242,3310,2277,1554,582,5896,1966,1271,1049,8556.984,23103.81,28,57,11,447,4,7,5,14,4,0,65837384
114736,1424,960,2370,3579,2573,2147,1471,839,317,3238,1526,1185,947,16340.55,19218.49,21,32,7,364,2,3,5,11,2,0,72469145
100766,1146,1534,1939,2313,2632,2369,1649,1027,474,1952,1300,1193,1161,4075.125,45385.25,16,24,3,120,6,1,4,5,2,0,57211911
129762,644,799,1406,1525,1482,1404,885,642,267,1327,835,653,653,1701.404,16749.61,10,21,0,64,0,0,2,0,2,0,55540082
120811,953,1046,1781,2217,2126,1984,1432,907,315,1846,1230,1047,915,1024.046,20226.69,7,21,0,130,0,1,2,6,1,1,30214018
124010,1153,1027,2724,3760,2946,3057,2199,1309,594,5214,1753,1202,895,60560.63,29454.59,46,82,63,793,4,1,11,20,0,4,99934004
220350,3138,3183,2889,4135,5620,4261,2681,1856,1093,2189,2193,2579,2442,2771.054,44725.7,11,28,0,224,0,2,3,3,4,0,74653804
100762,659,603,1065,1607,1377,1485,1254,781,340,1251,1008,804,584,503.9333,14967.2,5,10,1,46,0,0,0,1,1,0,65880495
171669,420,437,1507,1703,1303,1318,1019,665,339,2249,712,449,309,5622.582,17349.73,25,57,12,628,0,0,4,4,2,1,1.08E+08
235874,647,661,1633,2171,1785,1554,1188,894,377,2571,1002,677,475,2582.882,17908.82,15,23,2,366,0,1,0,3,0,0,93592090
139726,1529,1431,3371,4990,4089,3567,2626,1629,594,5902,2269,1398,964,14937.64,17692.93,25,84,7,679,6,3,9,14,1,2,90797206
78182,1060,1710,1873,1762,2876,2293,1287,879,564,1710,1093,969,1161,5839.18,32987.91,8,20,1,59,2,0,1,0,0,1,72299563
92013,710,1022,2611,2761,2673,2735,1982,1231,505,3975,1672,1091,802,787.7408,14791.49,11,31,6,186,0,1,6,5,0,0,72200848
135498,1339,1430,2810,3304,2959,2943,1928,1112,389,2911,1652,1464,1264,1304.75,48623.67,10,17,6,118,0,3,3,7,5,1,46417981
149284,2591,1796,4608,5114,4354,4462,2640,1537,602,4156,2432,2283,2093,8349.731,27754.07,35,43,40,430,2,4,7,15,1,0,49985042
132900,1454,1975,4721,3637,3516,3996,2759,1627,604,4382,2210,1791,1633,11178.68,15724.26,14,42,3,213,5,2,11,9,1,1,74588530
189639,525,948,5223,1854,1330,1285,914,740,241,4700,903,599,542,7313.527,20714.26,34,20,2,441,0,12,16,19,0,2,85067398
158169,863,1118,2511,2224,2256,2419,1627,993,367,2718,1288,1100,939,6266.634,38235.84,18,34,1,307,0,2,8,9,5,1,48718586
134326,2264,2474,3120,4092,4693,3817,2503,1603,566,2302,2201,2226,2152,897.5125,34665.69,8,9,0,75,0,0,0,3,3,1,51862070
101570,1428,1903,1815,2455,3326,2345,1631,1157,443,1651,1372,1395,1400,471.4132,13175.57,4,15,0,42,0,0,1,1,0,1,6666667
149747,1364,1289,1918,2906,2657,2466,1781,1067,413,1989,1555,1350,1200,1007.935,15990.21,11,18,3,64,0,2,1,3,3,1,40382745
121886,1988,1788,3131,4692,4049,3707,2735,1746,612,3456,2477,2122,1688,1217.308,10359.69,13,34,11,227,0,2,5,7,1,0,70164679
145070,1538,1030,1711,2987,2755,2274,1633,1034,351,2162,1545,1406,1053,838.8656,51558.73,8,18,3,119,1,4,2,10,2,1,15038580
179800,2839,1864,3350,5674,4548,4007,2844,1635,670,3099,2741,2533,1975,3329.858,22450.95,17,14,1,153,1,2,2,5,5,1,81480033
94385,1223,1422,2714,3120,2914,3190,1792,920,350,3032,1615,1342,1298,6640.616,23978.49,21,33,3,168,2,3,3,11,2,0,74661891
120022,1076,1139,2639,3028,2579,2592,1714,948,319,3213,1507,1215,1045,15668.36,17009.87,29,37,5,399,6,1,10,16,1,2,51548788
98796,1059,1236,2683,2939,2928,3655,2387,1216,414,4029,1739,1344,1148,44919.11,15210.21,26,36,11,380,1,7,10,19,2,0,68713476
110844,726,683,2077,2236,1710,2049,1445,785,280,2787,1079,821,722,48668.09,10466.22,53,59,9,484,6,6,18,28,1,1,67476364
95767,694,761,1825,1952,1870,2294,1437,731,264,2601,1115,834,693,2448.223,44853.87,6,22,7,75,1,1,2,4,0,0,67001447
105001,729,1076,2684,2473,2750,3184,1982,1227,413,4383,1527,1017,898,27241.96,48046.46,18,57,11,235,9,6,6,17,2,3,50984445
147351,597,1041,10291,4612,2417,2315,1712,1032,350,11579,1904,838,646,6410.88,14332.09,63,43,37,959,1,20,30,111,2,1,1.01E+08
107359,1205,1338,5278,3987,2988,3179,2151,1327,417,5484,1975,1400,1146,6822.36,37054.01,28,32,14,353,3,7,11,24,2,0,42107278
92260,969,953,2644,3276,2452,2750,1900,1128,290,3524,1795,1258,908,4208.976,73846.54,15,36,7,253,8,8,7,23,1,0,79262380
87060,1495,1687,3855,4162,3401,3904,2493,1349,403,4215,2234,1828,1521,3930.107,16265.09,26,43,8,262,1,4,3,25,4,0,35192447
91166,990,1260,2787,3090,2755,3279,2105,1210,359,3709,1904,1397,1050,2489.581,28169.69,20,23,6,251,4,10,3,20,2,1,48675931
89814,1960,2575,4737,4928,5009,5665,3803,2070,620,4682,2931,2622,2231,2522.681,31514.09,25,36,3,242,2,5,9,20,5,0,39592054
123130,729,634,2343,2883,1649,1497,1146,704,227,3294,1257,777,559,3278.483,32225.39,20,21,1,153,5,3,7,21,0,3,41527628
108525,3632,5866,4276,4302,8177,5239,2644,1468,709,2105,1783,2958,4136,6875.695,20496.05,28,34,2,257,2,2,5,9,12,1,67761771
99587,1325,1812,4397,4438,3928,4103,2633,1433,473,5344,2401,1681,1466,9047.837,22874.55,27,32,5,317,4,8,11,21,4,0,72560926
101332,2086,2302,4052,4743,4495,4621,3193,1575,511,3818,2452,2300,2058,5406.941,32529.26,21,36,1,240,2,8,7,20,4,1,52464265
