NM,CD,GUBUN,자치구,행정동
종로구,11110,gu,종로구,계
청운효자동,11110515,dong,종로구,청운효자동
사직동,11110530,dong,종로구,사직동
삼청동,11110540,dong,종로구,삼청동
부암동,11110550,dong,종로구,부암동
평창동,11110560,dong,종로구,평창동
무악동,11110570,dong,종로구,무악동
교남동,11110580,dong,종로구,교남동
가회동,11110600,dong,종로구,가회동
종로1.2.3.4가동,11110615,dong,종로구,종로1.2.3.4가동
종로5.6가동,11110630,dong,종로구,종로5.6가동
이화동,11110640,dong,종로구,이화동
혜화동,11110650,dong,종로구,혜화동
창신1동,11110670,dong,종로구,창신1동
창신2동,11110680,dong,종로구,창신2동
창신3동,11110690,dong,종로구,창신3동
숭인1동,11110700,dong,종로구,숭인1동
숭인2동,11110710,dong,종로구,숭인2동
중구,11140,gu,중구,계
소공동,11140520,dong,중구,소공동
회현동,11140540,dong,중구,회현동
명동,11140550,dong,중구,명동
필동,11140570,dong,중구,필동
장충동,11140580,dong,중구,장충동
광희동,11140590,dong,중구,광희동
을지로동,11140605,dong,중구,을지로동
신당동,11140615,dong,중구,신당동
다산동,11140625,dong,중구,다산동
약수동,11140635,dong,중구,약수동
청구동,11140645,dong,중구,청구동
신당5동,11140650,dong,중구,신당5동
동화동,11140665,dong,중구,동화동
황학동,11140670,dong,중구,황학동
중림동,11140680,dong,중구,중림동
용산구,11170,gu,용산구,계
후암동,11170510,dong,용산구,후암동
용산2가동,11170520,dong,용산구,용산2가동
남영동,11170530,dong,용산구,남영동
청파동,11170555,dong,용산구,청파동
원효로1동,11170560,dong,용산구,원효로1동
원효로2동,11170570,dong,용산구,원효로2동
효창동,11170580,dong,용산구,효창동
용문동,11170590,dong,용산구,용문동
한강로동,11170625,dong,용산구,한강로동
이촌1동,11170630,dong,용산구,이촌1동
이촌2동,11170640,dong,용산구,이촌2동
이태원1동,11170650,dong,용산구,이태원1동
이태원2동,11170660,dong,용산구,이태원2동
한남동,11170685,dong,용산구,한남동
서빙고동,11170690,dong,용산구,서빙고동
보광동,11170700,dong,용산구,보광동
성동구,11200,gu,성동구,계
왕십리2동,11200520,dong,성동구,왕십리2동
왕십리도선동,11200535,dong,성동구,왕십리도선동
마장동,11200540,dong,성동구,마장동
사근동,11200550,dong,성동구,사근동
행당1동,11200560,dong,성동구,행당1동
행당2동,11200570,dong,성동구,행당2동
응봉동,11200580,dong,성동구,응봉동
금호1가동,11200590,dong,성동구,금호1가동
금호2.3가동,11200615,dong,성동구,금호2.3가동
금호4가동,11200620,dong,성동구,금호4가동
옥수동,11200645,dong,성동구,옥수동
성수1가1동,11200650,dong,성동구,성수1가1동
성수1가2동,11200660,dong,성동구,성수1가2동
성수2가1동,11200670,dong,성동구,성수2가1동
성수2가3동,11200690,dong,성동구,성수2가3동
송정동,11200720,dong,성동구,송정동
용답동,11200790,dong,성동구,용답동
광진구,11215,gu,광진구,계
화양동,11215710,dong,광진구,화양동
군자동,11215730,dong,광진구,군자동
중곡1동,11215740,dong,광진구,중곡1동
중곡2동,11215750,dong,광진구,중곡2동
중곡3동,11215760,dong,광진구,중곡3동
중곡4동,11215770,dong,광진구,중곡4동
능동,11215780,dong,광진구,능동
광장동,11215810,dong,광진구,광장동
자양1동,11215820,dong,광진구,자양1동
자양2동,11215830,dong,광진구,자양2동
자양3동,11215840,dong,광진구,자양3동
자양4동,11215847,dong,광진구,자양4동
구의1동,11215850,dong,광진구,구의1동
구의2동,11215860,dong,광진구,구의2동
구의3동,11215870,dong,광진구,구의3동
동대문구,11230,gu,동대문구,계
용신동,11230536,dong,동대문구,용신동
제기동,11230545,dong,동대문구,제기동
전농1동,11230560,dong,동대문구,전농1동
전농2동,11230570,dong,동대문구,전농2동
답십리1동,11230600,dong,동대문구,답십리1동
답십리2동,11230610,dong,동대문구,답십리2동
장안1동,11230650,dong,동대문구,장안1동
장안2동,11230660,dong,동대문구,장안2동
청량리동,11230705,dong,동대문구,청량리동
회기동,11230710,dong,동대문구,회기동
휘경1동,11230720,dong,동대문구,휘경1동
휘경2동,11230730,dong,동대문구,휘경2동
이문1동,11230740,dong,동대문구,이문1동
이문2동,11230750,dong,동대문구,이문2동
중랑구,11260,gu,중랑구,계
면목2동,11260520,dong,중랑구,면목2동
면목4동,11260540,dong,중랑구,면목4동
면목5동,11260550,dong,중랑구,면목5동
