지역,행정동코드,남자인구수,여자인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,직장인구,주거인구,대규모점포인허가수,편의점수,편의점매출,폐업률,지하철역수,1층임대시세
종로구,11110,74190,77836,36390,13987,10916,9116,2546,8665,12793,28545,22467,24451,26894,19318,12616,5442,978,215862.7414,153898.0124,23,347,2652954431,49.3,11,228660
중구,11140,62086,64057,30425,12963,9226,7133,1778,8045,8065,21786,22555,20174,22629,17275,10348,4438,774,378266.6875,119084.8667,63,427,2465613000,42,14,218957
용산구,11170,110560,118562,51507,22654,16920,13783,3585,15818,17857,35824,42364,39762,38567,27831,17218,8002,1476,193474.3517,231485.8962,21,289,2791232064,49.6,13,139753
성동구,11200,149412,155524,55571,29586,24935,20648,4622,22785,22711,49741,53464,49301,50355,35256,20277,7779,1083,86469.5858,314338.9502,22,311,2730942849,93.5,16,125396
광진구,11215,171800,182078,72629,33104,27031,24147,5342,23086,29175,67327,61920,57153,59467,40320,21752,7915,1159,75899.44915,342186.6581,27,396,2331160065,64.5,9,119527
동대문구,11230,172490,174011,74224,32907,26139,22265,5513,22838,26994,64679,54062,53991,56462,44375,27580,10380,1475,80428.89719,336386.7409,34,379,2138648372,40.6,7,113019
중랑구,11260,198906,201755,73677,41039,32438,26181,6343,25869,29713,58045,62100,61207,72855,53967,29902,10361,1439,41593.93807,407633.339,16,302,2103014416,20.8,11,93253
성북구,11290,213648,226749,73240,40021,35080,31823,7684,31409,40645,72163,63834,73899,70345,52200,32823,12817,1803,94185.41471,432611.5834,44,357,2870616460,84,11,109228
강북구,11305,154101,161486,58739,33271,25261,19897,5014,18165,24609,44557,42866,50089,54639,43554,29232,10080,1356,29124.53618,319302.4542,26,273,1698849269,66.3,11,97288
도봉구,11320,164731,171967,44181,33044,28751,24747,5962,21525,28699,46277,45180,52449,59586,46413,26723,10475,1523,37191.69506,335534.6981,16,220,2276418648,37.8,5,103940
노원구,11350,260946,277404,68669,48244,44528,44119,9468,37016,58836,77564,70066,92080,89940,63701,35910,15085,2145,61021.61278,543009.6085,25,355,2433080625,70.3,13,133134
은평구,11380,233566,250164,75336,47777,39482,33351,8531,32976,42087,66969,72420,80055,79150,60482,37817,13998,1945,48478.52001,461925.0688,34,359,2184015392,35.2,11,106182
서대문구,11410,149775,161440,58356,29414,24416,21028,5172,21198,26112,56159,47246,49868,50489,36903,24344,10255,1465,64340.29984,314012.0364,12,311,2261562926,36.4,7,123256
마포구,11440,177388,197034,77236,35628,28521,24943,5795,27366,30979,65592,68316,64234,55290,37949,24344,10152,1447,168585.3157,360037.2541,29,543,2534261376,44.8,15,141500
양천구,11470,226881,234170,49734,37201,38449,40245,8947,34206,53455,62192,62296,82224,79075,53417,26533,9963,1566,142789.1268,448059.006,26,316,2316543066,73.8,7,121681
강서구,11500,288905,306697,101063,57832,47939,41713,10019,45730,48634,88670,106788,95052,91999,72729,36653,13524,2233,143684.0301,572348.9806,34,558,2887215040,96,17,133785
구로구,11530,200561,204854,64538,39355,32640,28736,7148,32748,32875,58264,71471,71263,75841,55495,29734,10147,1332,147991.534,402826.6806,51,360,2341132665,49.5,10,117675
금천구,11545,118912,115167,48816,23522,17798,14748,3690,15599,16775,37626,39812,38995,48955,32430,17248,5710,751,146289.0448,237661.8894,29,280,1599397200,39,3,110918
영등포구,11560,183460,185557,79442,34534,28325,24147,5576,28160,26498,59013,72754,63303,69094,47268,26239,10207,1429,449053.7473,414505.8015,42,487,2875080474,81,15,113743
동작구,11590,193449,205436,76209,37297,31039,27498,6454,27839,30813,71703,67546,62565,62800,47422,28721,10674,1635,82705.13347,366861.0673,19,340,2291344995,79.5,11,130395
관악구,11620,251875,250214,148296,49133,33337,27183,6662,26925,32239,110655,93485,74466,74987,58092,35644,11507,1559,74893.97966,500456.0796,26,475,3202890096,35.7,4,129783
서초구,11650,206478,224882,57802,34293,34106,35237,8591,36921,46180,57607,69201,79955,62994,46100,25885,8863,1731,545521.0664,426656.7336,31,526,3937838490,82.8,17,136653
강남구,11680,259645,282853,90342,43268,41077,43077,9885,39067,60127,77834,88205,100225,80140,57173,31718,10752,2105,1276126.203,559056.0547,55,976,3894607156,72.6,26,164009
송파구,11710,329200,350047,94289,57966,55523,54770,12103,55162,63010,97896,117972,112618,107296,79446,37324,12930,2261,391514.7256,669576.7121,46,622,4046436405,99.9,18,142495
강동구,11740,209746,214489,62524,38257,34433,32260,7689,31178,38222,58421,66375,68963,71618,55572,27093,9221,1666,79803.87195,412498.3679,43,399,2257940700,81,10,109765
