code,name,parent,parentname,convnum,rent2018,rent2019,rent2020
11,서울특별시,0,대한민국,10366,131481,133888,140151
11110,종로구,11,서울특별시,347,212040,228660,207758
11110515,청운효자동,11110,종로구,12,149361,144858,160242
11110530,사직동,11110,종로구,30,148404,172166,200198
11110540,삼청동,11110,종로구,8,230589,188928,183892
11110550,부암동,11110,종로구,12,95828,109919,104196
11110560,평창동,11110,종로구,14,116378,110142,82299
11110570,무악동,11110,종로구,4,144527,0,162791
11110580,교남동,11110,종로구,16,190521,230131,223640
11110600,가회동,11110,종로구,9,143547,157309,150658
11110615,종로1.2.3.4가동,11110,종로구,117,256491,282442,249923
11110630,종로5.6가동,11110,종로구,26,250974,284292,255336
11110640,이화동,11110,종로구,19,195935,138692,162176
11110650,혜화동,11110,종로구,33,170041,149872,164646
11110670,창신1동,11110,종로구,7,188328,275905,197134
11110680,창신2동,11110,종로구,4,85249,82466,90776
11110690,창신3동,11110,종로구,3,70411,0,98319
11110700,숭인1동,11110,종로구,8,209853,100054,100845
11110710,숭인2동,11110,종로구,25,151064,122919,120870
11140,중구,11,서울특별시,450,226352,218957,252706
11140520,소공동,11140,중구,52,159542,185791,221939
11140540,회현동,11140,중구,60,392834,369703,378616
11140550,명동,11140,중구,91,253645,188645,257799
11140570,필동,11140,중구,31,134650,145000,159193
11140580,장충동,11140,중구,16,89626,82778,114518
11140590,광희동,11140,중구,55,182225,194541,203825
11140605,을지로동,11140,중구,34,191859,179209,186177
11140615,신당동,11140,중구,32,336315,295992,367247
11140625,다산동,11140,중구,17,108725,124656,121953
11140635,약수동,11140,중구,12,141717,208637,167356
11140645,청구동,11140,중구,6,125751,85949,103145
11140650,신당5동,11140,중구,7,140215,119862,129345
11140665,동화동,11140,중구,10,130071,105333,118512
11140670,황학동,11140,중구,13,145735,153197,143028
11140680,중림동,11140,중구,14,158501,126439,136658
11170,용산구,11,서울특별시,303,128975,139753,137149
11170510,후암동,11170,용산구,19,119917,108065,110670
11170520,용산2가동,11170,용산구,20,114724,89716,104591
11170530,남영동,11170,용산구,33,88701,106393,120790
11170555,청파동,11170,용산구,27,114279,125233,133706
11170560,원효로1동,11170,용산구,19,114736,103644,100664
11170570,원효로2동,11170,용산구,15,100766,103263,107100
11170580,효창동,11170,용산구,9,129762,112788,135502
11170590,용문동,11170,용산구,8,120811,140551,101189
11170625,한강로동,11170,용산구,47,124010,154658,142638
11170630,이촌1동,11170,용산구,16,220350,313893,301294
11170640,이촌2동,11170,용산구,6,100762,92229,70071
11170650,이태원1동,11170,용산구,26,171669,226931,199088
11170660,이태원2동,11170,용산구,13,235874,160846,127369
11170685,한남동,11170,용산구,26,139726,147759,135270
11170690,서빙고동,11170,용산구,9,78182,144110,62635
11170700,보광동,11170,용산구,10,92013,86167,111432
11200,성동구,11,서울특별시,318,126897,125396,121610
11200520,왕십리2동,11200,성동구,10,135498,118056,113212
11200535,왕십리도선동,11200,성동구,28,149284,136197,125761
11200540,마장동,11200,성동구,19,132900,131807,127874
11200550,사근동,11200,성동구,34,189639,139365,140472
11200560,행당1동,11200,성동구,17,158169,169283,141291
11200570,행당2동,11200,성동구,8,134326,191129,129507
11200580,응봉동,11200,성동구,4,101570,157901,139653
11200590,금호1가동,11200,성동구,9,149747,0,125042
11200615,금호2.3가동,11200,성동구,15,121886,147156,126159
11200620,금호4가동,11200,성동구,7,145070,100600,121639
11200645,옥수동,11200,성동구,13,179800,184328,164465
11200650,성수1가1동,11200,성동구,23,94385,104413,120978
11200660,성수1가2동,11200,성동구,30,120022,128943,124653
11200670,성수2가1동,11200,성동구,22,98796,79241,93779
11200690,성수2가3동,11200,성동구,56,110844,119524,108298
11200720,송정동,11200,성동구,8,95767,86989,82140
11200790,용답동,11200,성동구,15,105001,124298,125259
11215,광진구,11,서울특별시,388,107936,119527,118571
11215710,화양동,11215,광진구,60,147351,167699,157380
11215730,군자동,11215,광진구,30,107359,101971,110375
11215740,중곡1동,11215,광진구,15,92260,82569,86663
11215750,중곡2동,11215,광진구,27,87060,86724,90423
