childcode,parentcode
11110515,11110
11110530,11110
11110540,11110
11110550,11110
11110560,11110
11110570,11110
11110580,11110
11110600,11110
11110615,11110
11110630,11110
11110640,11110
11110650,11110
11110670,11110
11110680,11110
11110690,11110
11110700,11110
11110710,11110
11140520,11110
11140550,11110
11140590,11110
11140605,11110
11140615,11110
11140670,11110
11230536,11110
11290525,11110
11290555,11110
11290610,11110
11290640,11110
11290650,11110
11380520,11110
11380690,11110
11410520,11110
11410640,11110
11410655,11110
11410660,11110
11110530,11140
11110580,11140
11110615,11140
11110630,11140
11110670,11140
11110710,11140
11140520,11140
11140540,11140
11140550,11140
11140570,11140
11140580,11140
11140590,11140
11140605,11140
11140615,11140
11140625,11140
11140635,11140
11140645,11140
11140650,11140
11140665,11140
11140670,11140
11140680,11140
11170510,11140
11170520,11140
11170530,11140
11170555,11140
11170660,11140
11170685,11140
11200520,11140
11200535,11140
11200590,11140
11200615,11140
11200645,11140
11410565,11140
11440565,11140
11140540,11170
11140550,11170
11140570,11170
11140580,11170
11140625,11170
11140635,11170
11140680,11170
11170510,11170
11170520,11170
11170530,11170
11170555,11170
11170560,11170
11170570,11170
11170580,11170
11170590,11170
11170625,11170
11170630,11170
11170640,11170
11170650,11170
11170660,11170
11170685,11170
11170690,11170
11170700,11170
11200645,11170
11440565,11170
11440585,11170
11140635,11200
11140645,11200
11140650,11200
11140665,11200
11140670,11200
11170685,11200
11200520,11200
11200535,11200
11200540,11200
11200550,11200
11200560,11200
11200570,11200
11200580,11200
11200590,11200
11200615,11200
11200620,11200
11200645,11200
11200650,11200
11200660,11200
11200670,11200
11200690,11200
11200720,11200
11200790,11200
11215710,11200
11215730,11200
11215820,11200
11230536,11200
11230600,11200
11230610,11200
11230650,11200
11200670,11215
11200690,11215
11200720,11215
11215710,11215
11215730,11215
11215740,11215
11215750,11215
11215760,11215
11215770,11215
11215780,11215
11215810,11215
11215820,11215
11215830,11215
11215840,11215
11215847,11215
11215850,11215
11215860,11215
11215870,11215
11230650,11215
11260540,11215
11260570,11215
11110710,11230
11200535,11230
11200540,11230
11200790,11230
11215740,11230
11215760,11230
11230536,11230
11230545,11230
11230560,11230
11230570,11230
11230600,11230
11230610,11230
11230650,11230
11230660,11230
11230705,11230
11230710,11230
11230720,11230
11230730,11230
11230740,11230
11230750,11230
11260520,11230
11260540,11230
11260550,11230
11260590,11230
11260610,11230
11290600,11230
11290610,11230
11290705,11230
11290725,11230
11290810,11230
11215760,11260
11215770,11260
11230660,11260
11230720,11260
11230730,11260
11230740,11260
11230750,11260
11260520,11260
11260540,11260
11260550,11260
11260565,11260
11260570,11260
11260575,11260
11260580,11260
11260590,11260
11260600,11260
11260610,11260
11260620,11260
11260630,11260
11260655,11260
11260660,11260
11260680,11260
11260690,11260
11290810,11260
11350595,11260
11350600,11260
11110540,11290
11110560,11290
11110640,11290
11110650,11290
11110680,11290
11110690,11290
11110700,11290
11110710,11290
11230536,11290
11230545,11290
11230705,11290
11230710,11290
11230740,11290
11230750,11290
11260630,11290
11290525,11290
11290555,11290
11290575,11290
11290580,11290
11290590,11290
11290600,11290
11290610,11290
11290620,11290
11290630,11290
11290640,11290
11290650,11290
11290660,11290
11290685,11290
11290705,11290
11290715,11290
11290725,11290
11290760,11290
11290770,11290
11290780,11290
11290810,11290
11305534,11290
11305545,11290
11305555,11290
11305575,11290
11305606,11290
11305610,11290
11305660,11290
11350560,11290
11350570,11290
11350580,11290
11290650,11305
11290660,11305
11290685,11305
11290715,11305
11290760,11305
11290780,11305
11305534,11305
11305535,11305
11305545,11305
11305555,11305
11305575,11305
11305590,11305
11305600,11305
11305606,11305
11305610,11305
11305620,11305
11305630,11305
11305645,11305
11305660,11305
11320512,11305
11320513,11305
11320521,11305
11320660,11305
11320680,11305
11320710,11305
11350570,11305
11305590,11320
11305600,11320
11305620,11320
11305630,11320
11305645,11320
11320511,11320
11320512,11320
11320513,11320
11320514,11320
11320515,11320
11320521,11320
11320522,11320
11320660,11320
11320670,11320
11320680,11320
11320681,11320
11320690,11320
11320700,11320
11320710,11320
11350570,11320
11350630,11320
11350695,11320
11350700,11320
11350720,11320
11350720,11320
11260620,11350
11260630,11350
11260680,11350
11290780,11350
11290810,11350
11305600,11350
11305606,11350
11320511,11350
11320513,11350
11320514,11350
11320522,11350
11320690,11350
11350560,11350
11350570,11350
11350580,11350
11350595,11350
11350600,11350
11350611,11350
11350612,11350
11350619,11350
11350621,11350
11350624,11350
11350625,11350
11350630,11350
11350640,11350
11350665,11350
11350670,11350
11350695,11350
11350700,11350
11350710,11350
11350720,11350
11110550,11380
11380510,11380
11380520,11380
11380530,11380
11380551,11380
11380552,11380
11380560,11380
11380570,11380
11380580,11380
11380590,11380
11380600,11380
11380625,11380
11380631,11380
11380632,11380
11380640,11380
11380650,11380
11380690,11380
11410660,11380
11410685,11380
11410710,11380
11410720,11380
11440740,11380
11110515,11410
11110550,11410
11110560,11410
11110570,11410
11110580,11410
11140520,11410
11140680,11410
11380510,11410
11380580,11410
11380590,11410
11380600,11410
11380650,11410
11410520,11410
11410555,11410
11410565,11410
11410585,11410
11410615,11410
11410620,11410
11410640,11410
11410655,11410
11410660,11410
11410685,11410
11410690,11410
11410700,11410
11410710,11410
11410720,11410
11440555,11410
11440600,11410
11440610,11410
11440660,11410
11440710,11410
11440730,11410
11140680,11440
11170555,11440
11170570,11440
11170580,11440
11170590,11440
11380650,11440
11410555,11440
11410585,11440
11410615,11440
11410690,11440
