CD,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,,NM,
서울시 전체,11,종로구,11,중구,11,용산구,11,성동구,11,광진구,11,동대문구,11,중랑구,11,성북구,11,강북구,11,도봉구,11,노원구,11,은평구,11,서대문구,11,마포구,11,양천구,11,강서구,11,구로구,11,금천구,11,영등포구,11,동작구,11,관악구,11,서초구,11,강남구,11,송파구,11,강동구
종로구,11110,2,11110,2,11110,,11110,,11110,,11110,2,11110,,11110,2,11110,,11110,,11110,,11110,2,11110,2,11110,,11110,,11110,,11110,,11110,,11110,,11110,,11110,,11110,,11110,,11110,,11110,
청운효자동,11110515,1,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,1,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,,11110515,
사직동,11110530,1,11110530,1,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,,11110530,
삼청동,11110540,1,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,1,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,,11110540,
부암동,11110550,1,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,1,11110550,1,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,,11110550,
평창동,11110560,1,11110560,,11110560,,11110560,,11110560,,11110560,,11110560,,11110560,1,11110560,,11110560,,11110560,,11110560,,11110560,1,11110560,,11110560,,11110560,,11110560,,11110560,,11110560,,11110560,,11110560,,11110560,,11110560,,11110560,,11110560,
무악동,11110570,1,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,1,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,,11110570,
교남동,11110580,1,11110580,1,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,1,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,,11110580,
가회동,11110600,1,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,,11110600,
