code,profitscore,stablescore,profit2018,profit2019,profit2020,expectedprofit2020,survive2018,survive2019,survive2020,expectedsurvive2020
11110515,9.196557133,10.626034,74717455,58056517,32006332,38042503.47,90.9,100,91.7,99.69962
11110530,9.964029543,9.547584,82239199,48355905,44629471,50471128.12,96.2,96.3,96.7,98.62607
11110540,9.083888499,10.921365,72501266,35726802,20644838,36217921.7,100,66.7,100,99.993614
11110550,9.819515079,10.711152,50518431,46730211,36622411,48130827.67,100,100,91.7,99.784355
11110560,8.643097829,10.731776,21683974,18922506,24478622,29079656.26,100,100,100,99.804886
11110570,15.96270828,10.854273,282000000,175000000,159000000,147615110.7,100,100,100,99.92683
11110580,9.823165445,10.439081,18078925,16375300,15189186,48189942.54,100,93.3,100,99.51352
11110600,9.870837709,10.820481,62993164,46870888,46916698,48961958.14,100,100,100,99.89319
11110615,9.894026433,5.2639647,65246898,51234956,44199419,49337481.66,96.2,96.4,91.5,94.36189
11110630,10.39689354,9.701503,60300882,54911801,54752791,57481027.28,96,96.2,100,98.77929
11110640,14.92665084,10.344919,135000000,122000000,150000000,130836958.3,88.9,100,94.7,99.419785
11110650,9.042459779,8.933437,46167608,34424043,30640744,35547015.48,100,100,100,98.01471
11110670,10.56449017,10.914636,67553378,59940757,64242900,60195125.52,100,100,100,99.986916
11110680,10.69374815,11.007725,86576723,58587808,61860647,62288359.02,100,100,100,100.07958
11110690,8.693208746,10.981146,54519959,61788073,12048044,29891163.96,100,100,100,100.05312
11110700,10.62779218,10.898541,81415561,67737708,63671322,61220252.84,100,100,100,99.970894
11110710,10.62840312,9.8827,65861194,55499124,63447943,61230146.56,100,96.3,100,98.95966
11110,0,0,66131506.89,53100653.49,49730464.06,61984230.16,97.29939577,97.12247839,95.98443804,99.22752
11140520,10.7490642,8.773255,76910347,60376099,53499882,63184159.84,98.1,98,100,97.855255
11140540,9.82562038,8.044828,63988517,52264589,31178842,48229698.32,95.3,97.8,91.7,97.130135
11140550,10.84988771,6.6512275,74186210,68759841,48529243,64816918.98,90.9,98.8,100,95.74286
11140570,9.695750725,9.481863,75734321,47776249,39023219,46126559.26,100,96.9,100,98.560646
11140580,9.22718014,10.278003,59902075,48751219,34236275,38538419.48,100,94.1,81.2,99.35317
11140590,10.76725733,8.428299,76746925,63958695,46045293,63478783.56,95.7,100,98.2,97.51186
11140605,9.529590545,9.314186,51832757,51038574,40839318,43435723.1,93.5,96.6,97.1,98.39373
11140615,10.57174174,9.530324,60394851,50838733,55381230,60312559.16,97.4,94.1,96.9,98.60889
11140625,9.620349045,10.268606,78461799,55521349,36943084,44905487.12,93.7,88.2,100,99.34382
11140635,9.762881577,10.461369,62816550,34386407,50351495,47213691.72,100,100,100,99.535706
11140645,11.20874583,10.989239,63489359,75200311,77566455,70628349.9,85.7,83.3,100,100.06118
11140650,10.0543685,10.916552,81474640,63726698,50151971,51934098.02,85.7,100,85.7,99.98882
11140665,9.83556493,10.787426,40036474,39639834,49268261,48390742.64,92.3,100,100,99.86028
11140670,11.22426185,10.650237,87215483,80646247,66455474,70879619.88,100,92.3,100,99.72372
11140680,9.114025643,10.586609,41288743,38811975,35637841,36705969.55,92.9,100,100,99.66038
11140,0,0,68506413.12,57454297.1,45386354.25,74523540.82,95.1337963,97.18079625,97.34288889,98.75536
11170510,9.775952206,10.41841,57597457,37253645,44619103,47425360.48,100,94.1,100,99.49294
11170520,8.56133049,10.154234,33918425,19921019,16518912,27755497.16,94.1,94.4,100,99.229965
11170530,9.805603214,9.200189,64131041,37026882,42827723,47905535.72,100,100,97,98.28025
11170555,9.647226234,9.954176,65837384,46916145,42032788,45340742.5,96.4,92.6,92.6,99.030815
11170560,10.21244004,10.484545,72469145,49413041,53390330,54493944.78,100,95.2,100,99.55878
11170570,10.08599835,10.552028,57211911,60163168,55655841,52446319.09,100,93.3,93.3,99.62595
11170580,10.07917423,10.766388,55540082,52213771,35912843,52335807.7,90,100,100,99.83934
11170590,8.678232778,10.682694,30214018,25756737,21991442,29648639.7,85.7,100,100,99.75603
11170625,10.85877914,8.570131,99934004,93487189,63867253,64960908.8,93.5,97.8,97.9,97.65305
11170630,9.526975624,10.652069,74653804,41459226,42450245,43393376.47,100,100,100,99.72554
11170640,11.69693907,10.928086,65880495,84565506,85694440,78534263.38,100,100,100,100.000305
11170650,11.26973213,9.918131,108000000,98282185,59929899,71615975.96,100,96,100,98.994934
11170660,10.26983733,10.783379,93592090,67588808,76459724,55423449.66,86.7,92.9,100,99.856255
11170685,10.77577435,10.08354,90797206,73013155,64423436,63616710.16,100,100,100,99.15959
11170690,9.963094096,10.789648,72299563,39585793,45095689,50455979.28,100,100,100,99.862495
11170700,11.82025137,10.7831955,72200848,67345273,93185622,80531211.16,90.9,100,100,99.85607
11170,0,0,75278389.55,59672998.79,52259915.29,49191404.82,96.61084746,96.88373702,98.35643564,99.37015
11200520,8.482045971,10.59763,46417981,20687061,15302530,26471545.43,100,100,90,99.67135
11200535,9.742403853,9.844655,49985042,50690539,44020071,46882070.74,100,90.6,96.4,98.92179
11200540,10.06977719,10.164688,74588530,58983771,57043998,52183629.76,92.9,100,100,99.24037
11200550,11.21264416,8.99029,85067398,113000000,57207452,70691480.28,97.1,100,97.1,98.071304
11200560,9.957535714,10.373307,48718586,48955365,46659716,50365965.56,88.9,100,100,99.448044
11200570,10.23242822,10.643784,51862070,51291781,55512354,54817637.97,100,100,100,99.71729
11200580,7.627200957,10.847612,6666667,6666667,0,12627988.75,100,100,100,99.9202
11200590,8.991208947,10.632203,40382745,6209688,14872903,34717047.73,90.9,75,88.9,99.705765
11200615,9.203518941,10.676333,70164679,33194624,31498366,38155244.58,100,100,100,99.749695
11200620,8.462018077,10.846953,15038580,11203197,14542557,26147209.11,100,100,100,99.91954
11200645,14.90847743,10.409313,81480033,80773150,175000000,130542653.9,100,63.6,100,99.48389
11200650,9.741761505,10.141803,74661891,52226851,41927823,46871668.41,100,100,100,99.21759
11200660,9.734215872,9.508489,51548788,42323574,43976311,46749472.7,100,93.1,100,98.58715
11200670,10.19063356,10.304237,68713476,54968109,51330766,54140805.72,100,95.7,95.5,99.37929
11200690,10.53822556,8.435059,67476364,53434899,63179364,59769790.44,100,92.5,98.2,97.51859
11200720,9.457138127,10.917004,67001447,53042630,41011283,42262412,100,100,100,99.98927
11200790,9.669050953,10.102501,50984445,42259641,44994326,45694177.02,94.4,93.3,100,99.17847
11200,0,0,61771834.32,54243271.79,52166276.06,44736089.54,98.15784615,94.53954984,98.11603774,99.277626
11215710,11.26347155,7.7944016,101000000,75762823,60226005,71514590.8,96.8,93.7,96.7,96.880844
11215730,9.291867313,9.725937,42107278,32746282,35202797,39585978.44,100,100,100,98.80361
11215740,11.57789435,10.553522,79262380,72541145,83985705,76606425.88,100,100,93.3,99.62744
