지역,2020년08월_총인구수,8월평균총생활인구수,20202분기임대시세
강남구,149962,267153,136221
강동구,125990,242150,104536
강북구,229362,278746,86837
강서구,296183,336112,100997
관악구,348647,361791,104060
광진구,344650,348573,99890
구로구,395788,356826,108346
금천구,440395,418020,102905
노원구,310555,299690,104896
도봉구,328014,279637,81991
동대문구,526718,518294,91365
동작구,481729,448271,114405
마포구,312632,350474,122162
서대문구,373620,448162,107116
서초구,456980,392185,118891
성동구,584920,537249,102201
성북구,405495,383501,90476
송파구,232013,220392,122981
양천구,375133,449600,96310
영등포구,394118,388274,105790
용산구,499316,482337,116530
은평구,427237,558737,96220
종로구,540148,794766,170556
중구,671312,736448,245324
중랑구,457330,499922,78716
