지역,2018_주민등록,2018_생활,2019_주민등록,2019_생활,2020_주민등록,2020_생활,주민등록평균,생활인구 평균,생활/주민등록,임대시세평균,3년매출평균,직장인구평균,직장/주민등록,직장/생활,주민/생활
종로구,163569,327129.9419,162413,297878.5838,160520,285128.0052,162167.3333,303378.8436,1.870776545,216153,161868029.3,254507.1395,1.569410647,0.838908661,0.534537384
중구,135427,295561.2404,136276,283560.403,136030,262058.416,135911,280393.3531,2.063065927,232672,159346297.7,406485.2865,2.990819628,1.449696585,0.484715485
용산구,245245,301951.406,245069,290558.8489,245362,284971.1743,245225.3333,292493.8097,1.192755274,135292,178640510.7,184300.7896,0.751556893,0.630101505,0.838394951
성동구,316068,348201.7617,312991,333640.759,304851,342144.2901,311303.3333,341328.9369,1.096451276,124634,162783814.7,120268.9692,0.386340127,0.352355034,0.912033231
광진구,370519,393078.4127,369470,374767.6011,363925,369330.5561,367971.3333,379058.8566,1.030131487,115345,175108814.7,77118.68648,0.209577974,0.20344779,0.970749863
동대문구,364527,379025.764,363101,358814.1547,360380,359044.8371,362669.3333,365628.2519,1.008158723,115588,164822763,83131.30605,0.229220666,0.227365652,0.991907303
중랑구,410296,364152.3558,405639,344597.3926,399415,354274.0796,405116.6667,354341.276,0.87466477,92801,145388654.7,45052.17558,0.111207904,0.127143459,1.143295162
성북구,451829,442707.3025,452292,418334.5911,452290,430105.3706,452137,430382.4214,0.951884985,108660,150587011.7,90310.70665,0.199741907,0.209838279,1.050547089
강북구,326063,309459.8911,319377,288379.1106,315395,299901.7257,320278.3333,299246.9092,0.934333915,96100,147840083.7,31200.17654,0.09741582,0.104262318,1.070281174
도봉구,344096,299595.4289,339001,278092.8013,331744,281454.251,338280.3333,286380.8271,0.846578411,100615,173977954,37519.70439,0.110913053,0.131013325,1.181225492
노원구,553177,529824.3881,542603,503524.2918,533041,524464.3528,542940.3333,519271.0109,0.956405297,132887,145916308,62015.28845,0.114221185,0.119427596,1.045581829
은평구,489045,450872.754,488285,427550.7569,483938,445465.2498,487089.3333,441296.2535,0.905986281,105548,152677112.7,48066.84931,0.098681794,0.108921952,1.103769473
서대문구,323261,389617.0486,324304,367870.1606,324224,361280.2412,323929.6667,372922.4835,1.15124523,129319,164733033,69092.77973,0.213295622,0.185273838,0.868624663
마포구,385507,472519.9193,385985,461004.1174,384957,458107.7562,385483,463877.2643,1.203366333,145806,168306114.3,173564.813,0.450252834,0.374161069,0.831002141
양천구,471026,402618.4278,465095,381332.4081,462034,397886.4319,466051.6667,393945.7559,0.84528344,117928,141882128.7,116005.9572,0.248912225,0.294471905,1.183035125
강서구,606981,550112.3354,602230,525174.6635,593203,538969.647,600804.6667,538085.5487,0.895608138,129425,159071708.3,158337.6118,0.26354258,0.294261037,1.116559752
구로구,440305,403732.0446,439328,380883.5808,436707,386784.2159,438780,390466.6138,0.889891549,117185,165198509,153451.719,0.349723595,0.392995748,1.123732438
금천구,252752,224922.1629,254061,215355.2306,250554,225796.838,252455.6667,222024.7438,0.87946033,111734,176148477,155249.651,0.614958076,0.699244815,1.137060953
영등포구,404501,485335.091,404229,452252.4077,405154,459732.5862,404628,465773.3616,1.151115003,116961,167095985.3,484622.1352,1.197697972,1.040467693,0.868722931
동작구,407275,413966.7586,412000,393344.0723,406776,396066.5416,408683.6667,401125.7908,0.981506783,132329,161486573.3,74193.42173,0.18154242,0.18496298,1.01884166
관악구,521960,507725.3242,519864,479840.717,516318,486308.0893,519380.6667,491291.3769,0.945917722,125990,165585669,71993.90375,0.138614909,0.146540133,1.0571744
서초구,443989,611531.2319,435631,573488.8706,433062,582533.45,437560.6667,589184.5175,1.346520751,139326,198425513,532499.2328,1.21697235,0.903790268,0.742654726
강남구,551888,815268.1662,547602,784684.0707,546158,821657.1942,548549.3333,807203.1437,1.471523334,165192,187266174.3,1089755.242,1.98661301,1.350038402,0.679567885
송파구,673161,754160.4766,686181,736120.9677,678067,743151.4631,679136.3333,744477.6358,1.09621235,140055,157542025,368416.8452,0.542478479,0.494866236,0.912232014
강동구,437050,486125.3679,428547,461754.0103,461547,503305.6345,442381.3333,483728.3376,1.093464622,114018,134735089,80713.85939,0.182453131,0.166857827,0.914524329
