이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,90-99세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,직장인구,거주인구,폐업률,매출
청운효자동,11110515,144858,914,1326,1729,1879,2333,2006,1341,1049,475,75,1956,1129,999,953,12,0,11631.05545,13781.27239,0,58056517
사직동,11110530,172166,642,757,1236,1463,1608,1567,1138,791,422,83,2224,885,680,531,27,2,50170.87853,9749.009247,3.7,48355905
삼청동,11110540,188928,157,241,356,472,434,477,418,300,143,25,743,250,182,149,6,0,7079.371558,3018.262012,33.3,35726802
부암동,11110550,109919,601,937,1635,1412,1649,1727,1254,798,379,75,1630,936,753,696,14,0,4176.485337,10352.81942,0,46730211
평창동,11110560,110142,1204,1824,2622,2346,2888,3348,2302,1413,698,149,2410,1665,1490,1385,14,0,20406.45149,19825.17102,0,18922506
무악동,11110570,228660,751,1050,948,1001,1635,1386,953,639,275,49,727,681,732,783,4,1,602.8860157,6509.421472,0,1.75E+08
교남동,11110580,230131,953,858,1336,1938,1904,1569,1141,716,287,44,1610,1107,917,745,15,0,1374.31847,10468.46456,6.7,16375300
가회동,11110600,157309,221,362,498,630,790,757,562,444,163,36,913,438,341,247,9,0,5563.327212,4247.959498,0,46870888
종로1.2.3.4가동,11110615,282442,296,342,1136,1137,1210,1605,1460,841,349,89,4189,518,297,211,111,3,87280.64058,7140.870893,3.6,51234956
종로5.6가동,11110630,284292,141,327,1185,705,719,1045,759,546,193,40,2105,496,295,200,26,2,11340.9747,5263.23689,3.8,54911801
이화동,11110640,138692,304,558,2104,1477,1093,1176,904,628,286,39,2712,790,504,368,21,0,4636.772873,8439.323381,0,1.22E+08
혜화동,11110650,149872,808,1793,7236,2451,2378,2317,1550,1259,577,77,5523,1429,1046,894,38,1,5690.160104,16393.44771,0,34424043
창신1동,11110670,275905,211,318,886,695,869,1395,1018,542,187,39,1724,567,340,214,9,0,2052.268805,5777.220112,0,59940757
창신2동,11110680,82466,338,627,1636,1120,1445,2165,1385,811,295,40,1918,870,653,493,4,0,390.2203835,8908.347201,0,58587808
창신3동,11110690,228660,432,614,1070,1095,1062,1333,937,534,225,40,891,668,635,490,2,1,237.2011284,7557.461962,0,61788073
숭인1동,11110700,100054,350,451,895,1002,1060,1220,866,537,214,32,1357,649,486,353,8,0,471.1183941,5368.806936,0,67737708
숭인2동,11110710,122919,342,408,2037,1644,1374,1801,1330,768,274,46,3758,909,566,404,27,1,2201.962246,10158.63255,3.7,55499124
소공동,11140520,185791,290,165,303,723,641,419,291,119,45,12,633,199,152,98,51,1,93098.10472,1132.819476,2,60376099
회현동,11140540,369703,259,243,570,707,854,1168,1126,582,263,88,2172,439,289,222,45,2,29190.08428,4171.067605,2.2,52264589
명동,11140550,188645,143,149,444,490,569,598,572,310,132,31,945,212,137,83,86,2,111028.6052,2823.850071,1.2,68759841
필동,11140570,145000,231,291,1367,785,548,687,612,349,163,46,1421,407,236,167,32,1,16417.8908,3169.311015,3.1,47776249
장충동,11140580,82778,229,417,1736,780,715,672,547,379,163,27,1680,451,242,226,17,1,14933.35122,6250.733556,5.9,48751219
광희동,11140590,194541,204,254,1204,963,828,1106,924,522,197,32,1854,529,284,190,49,1,42815.31607,4900.326944,0,63958695
을지로동,11140605,179209,55,42,307,296,218,386,390,195,79,21,1057,152,68,38,29,2,14441.85009,1672.513492,3.4,51038574
신당동,11140615,295992,338,409,1849,1570,1379,1795,1048,658,236,48,2716,809,456,337,34,1,3457.952807,7440.645339,5.9,50838733
다산동,11140625,124656,682,1006,2633,2438,2244,2437,1894,1224,437,66,3089,1616,1076,890,17,1,6443.917172,14015.59165,11.8,55521349
약수동,11140635,208637,1301,1097,2113,2697,2677,2924,2528,1578,760,119,2815,2014,1524,1064,12,2,29571.07942,16734.2043,0,34386407
청구동,11140645,85949,915,1033,2099,2389,2173,2476,1811,1178,567,81,2470,1533,1176,951,6,0,2999.878301,14454.58602,16.7,75200311
신당5동,11140650,119862,628,617,1534,1603,1616,1813,1234,759,291,35,2320,989,744,562,9,0,1349.563581,11316.73148,0,63726698
