지역,1인세대,2인세대,3인세대,4인세대,5인세대
종로구,37503,14341,10697,8837,2364
중구,31643,13498,9121,6839,1660
용산구,53405,23093,17159,13372,3444
성동구,56420,29972,24552,19422,4264
광진구,76534,34026,26435,22936,4902
동대문구,78266,33984,26184,21335,5158
중랑구,77396,42377,31588,24642,5790
성북구,77396,41884,35441,31054,7217
강북구,61479,34556,24953,18768,4518
도봉구,46140,34302,28278,23352,5376
노원구,70945,49730,44406,41982,8733
은평구,79784,49503,39388,31859,7786
서대문구,61198,30545,24575,20711,4830
마포구,81156,36658,28568,24268,5371
양천구,52468,39088,38643,39063,8246
강서구,107620,59609,46970,39512,9097
구로구,68192,41158,32729,27843,6570
금천구,52320,24765,17378,13770,3348
영등포구,84507,36497,28444,23612,5208
동작구,80504,38324,30910,26154,5940
관악구,157514,50306,32489,25540,6058
서초구,59312,34979,34214,34591,8153
강남구,93397,44204,41235,42381,9350
송파구,97868,59598,55402,52580,11465
강동구,67911,43223,37911,34317,7670
