NM,CD,GUBUN,자치구,행정동,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,주거인구,직장인구,편의점 수,폐업률,지하철역 수,1층 임대시세
종로구,11110,gu,종로구,계,74190,77836,36390,13987,10916,9116,2546,8665,12793,28545,22467,24451,26894,19318,12616,5442,978,153898.0124,215862.7414,347,2.9,11,228660
청운효자동,11110515,dong,종로구,청운효자동,6029,6860,1956,1129,999,953,245,914,1326,1729,1879,2333,2006,1341,1049,475,75,13781.27239,11631.05545,12,0,0,144858
사직동,11110530,dong,종로구,사직동,4256,5191,2224,885,680,531,168,642,757,1236,1463,1608,1567,1138,791,422,83,9749.009247,50170.87853,27,3.7,2,172166
삼청동,11110540,dong,종로구,삼청동,1335,1468,743,250,182,149,52,157,241,356,472,434,477,418,300,143,25,3018.262012,7079.371558,6,33.3,0,188928
부암동,11110550,dong,종로구,부암동,4801,5267,1630,936,753,696,189,601,937,1635,1412,1649,1727,1254,798,379,75,10352.81942,4176.485337,14,0,0,109919
평창동,11110560,dong,종로구,평창동,8747,9920,2410,1665,1490,1385,422,1204,1824,2622,2346,2888,3348,2302,1413,698,149,19825.17102,20406.45149,14,0,0,110142
무악동,11110570,dong,종로구,무악동,4046,4609,727,681,732,783,183,751,1050,948,1001,1635,1386,953,639,275,49,6509.421472,602.8860157,4,0,1, 
교남동,11110580,dong,종로구,교남동,4926,5683,1610,1107,917,745,145,953,858,1336,1938,1904,1569,1141,716,287,44,10468.46456,1374.31847,15,6.7,0,230131
가회동,11110600,dong,종로구,가회동,2028,2336,913,438,341,247,69,221,362,498,630,790,757,562,444,163,36,4247.959498,5563.327212,9,0,0,157309
종로1.2.3.4가동,11110615,dong,종로구,종로1.2.3.4가동,4390,2974,4189,518,297,211,54,296,342,1136,1137,1210,1605,1460,841,349,89,7140.870893,87280.64058,111,3.6,3,282442
종로5.6가동,11110630,dong,종로구,종로5.6가동,2859,2344,2105,496,295,200,58,141,327,1185,705,719,1045,759,546,193,40,5263.23689,11340.9747,26,3.8,2,284292
이화동,11110640,dong,종로구,이화동,3757,4241,2712,790,504,368,102,304,558,2104,1477,1093,1176,904,628,286,39,8439.323381,4636.772873,21,0,0,138692
혜화동,11110650,dong,종로구,혜화동,8190,8781,5523,1429,1046,894,247,808,1793,7236,2451,2378,2317,1550,1259,577,77,16393.44771,5690.160104,38,0,1,149872
창신1동,11110670,dong,종로구,창신1동,2859,2438,1724,567,340,214,85,211,318,886,695,869,1395,1018,542,187,39,5777.220112,2052.268805,9,0,0,275905
창신2동,11110680,dong,종로구,창신2동,4416,4236,1918,870,653,493,154,338,627,1636,1120,1445,2165,1385,811,295,40,8908.347201,390.2203835,4,0,0,82466
창신3동,11110690,dong,종로구,창신3동,3548,3635,891,668,635,490,169,432,614,1070,1095,1062,1333,937,534,225,40,7557.461962,237.2011284,2,0,1, 
숭인1동,11110700,dong,종로구,숭인1동,3100,3183,1357,649,486,353,103,350,451,895,1002,1060,1220,866,537,214,32,5368.806936,471.1183941,8,0,0,100054
숭인2동,11110710,dong,종로구,숭인2동,4903,4670,3758,909,566,404,101,342,408,2037,1644,1374,1801,1330,768,274,46,10158.63255,2201.962246,27,3.7,1,122919
중구,11140,gu,중구,계,62086,64057,30425,12963,9226,7133,1778,8045,8065,21786,22555,20174,22629,17275,10348,4438,774,119084.8667,378266.6875,427,2.8,14,218957
소공동,11140520,dong,중구,소공동,1005,1045,633,199,152,98,17,290,165,303,723,641,419,291,119,45,12,1132.819476,93098.10472,51,2,1,185791
회현동,11140540,dong,중구,회현동,2881,2415,2172,439,289,222,67,259,243,570,707,854,1168,1126,582,263,88,4171.067605,29190.08428,45,2.2,2,369703
명동,11140550,dong,중구,명동,1176,1633,945,212,137,83,25,143,149,444,490,569,598,572,310,132,31,2823.850071,111028.6052,86,1.2,2,188645
필동,11140570,dong,중구,필동,2115,1927,1421,407,236,167,55,231,291,1367,785,548,687,612,349,163,46,3169.311015,16417.8908,32,3.1,1,145000
장충동,11140580,dong,중구,장충동,2404,2324,1680,451,242,226,71,229,417,1736,780,715,672,547,379,163,27,6250.733556,14933.35122,17,5.9,1,82778
광희동,11140590,dong,중구,광희동,2640,2319,1854,529,284,190,50,204,254,1204,963,828,1106,924,522,197,32,4900.326944,42815.31607,49,0,1,194541
을지로동,11140605,dong,중구,을지로동,1100,702,1057,152,68,38,12,55,42,307,296,218,386,390,195,79,21,1672.513492,14441.85009,29,3.4,2,179209
