자치구,행정동,1인세대,2인세대,3인세대,4인세대,5인세대
종로구,계,37503,14341,10697,8837,2364
종로구,사직동,2373,935,673,536,147
종로구,삼청동,729,252,182,140,43
종로구,부암동,1686,972,745,689,177
종로구,평창동,2428,1753,1470,1352,396
종로구,무악동,764,717,736,757,188
종로구,교남동,1658,1090,918,755,138
종로구,가회동,956,433,348,243,63
종로구,종로1.2.3.4가동,4149,523,286,204,49
종로구,종로5·6가동,2353,520,285,180,57
종로구,이화동,2725,805,462,343,98
종로구,창신1동,1766,571,317,208,72
종로구,창신2동,1983,908,622,445,135
종로구,창신3동,944,689,634,454,151
종로구,숭인1동,1397,658,459,355,95
종로구,숭인2동,3915,921,519,386,104
종로구,청운효자동,2043,1135,991,915,234
종로구,혜화동,5634,1459,1050,875,217
중구,계,31643,13498,9121,6839,1660
중구,소공동,631,219,160,98,17
중구,회현동,2025,442,302,222,65
중구,명동,1109,220,141,81,24
중구,필동,1480,422,214,157,50
중구,장충동,1791,432,240,208,65
중구,광희동,2003,536,283,186,46
중구,을지로동,1081,165,62,35,10
중구,신당5동,2643,1188,761,578,145
중구,황학동,3787,1498,898,579,133
중구,중림동,2513,1299,1035,778,178
중구,신당동,2840,830,439,312,68
중구,다산동,3193,1661,1028,853,186
중구,약수동,2914,2082,1492,1014,235
중구,청구동,2478,1531,1164,904,219
중구,동화동,1155,973,902,834,219
용산구,계,53405,23093,17159,13372,3444
용산구,후암동,4104,1772,1367,970,283
용산구,용산2가동,2844,1196,744,479,132
용산구,남영동,4217,609,301,244,63
용산구,원효로2동,2144,1304,1189,1035,253
용산구,효창동,1519,998,849,708,184
용산구,용문동,1985,1313,1037,809,210
용산구,이촌1동,2213,2314,2672,2417,555
용산구,이촌2동,1318,1046,804,495,139
용산구,이태원1동,2237,740,446,300,78
용산구,이태원2동,2674,1038,653,432,113
용산구,서빙고동,1739,1131,955,1069,343
용산구,보광동,4167,1686,997,662,168
용산구,청파동,6570,2031,1215,888,246
용산구,원효로1동,3791,1693,1260,954,210
용산구,한강로동,5719,1857,1227,925,193
용산구,한남동,6164,2365,1443,985,274
성동구,계,56420,29972,24552,19422,4264
성동구,왕십리2동,2933,1751,1415,1178,263
성동구,마장동,4941,2329,1729,1449,340
성동구,사근동,5510,992,567,471,123
성동구,행당1동,2767,1410,1229,950,201
성동구,행당2동,2409,2420,2205,1930,391
성동구,응봉동,1624,1421,1442,1292,294
성동구,금호1가동,2173,1667,1464,1072,240
성동구,금호4가동,2208,1619,1435,951,196
성동구,성수1가1동,3148,1672,1297,1186,229
성동구,성수1가2동,3032,1414,1095,844,194
성동구,성수2가1동,4174,1823,1285,954,222
성동구,성수2가3동,3009,1093,770,660,162
성동구,송정동,2829,1173,799,587,154
성동구,용답동,4202,1207,741,579,125
