CD,林芭牢备,流厘牢备
11110,152009.8793,236607.9473
11110515,13459.74462,11210.107909999999
11110530,10005.17214,50432.33405
11110540,2935.81924,6271.004117
11110550,10225.08253,4205.098401
11110560,19769.912180000003,24631.62731
11110570,6456.996601,482.94426560000005
11110580,10409.35409,1038.3739560000001
11110600,4194.465967,11207.84996
11110615,7020.035795999999,94206.90836
11110630,5214.2067369999995,15595.59129
11110640,8204.404689,4510.4388229999995
11110650,16286.395540000001,7313.302386
11110670,5453.946064,1362.965106
11110680,8654.602858,347.76117089999997
11110690,7580.862969,319.10465719999996
11110700,6003.116856000001,446.83394069999997
11110710,9210.065001,1891.291766
11140,124842.5916,335125.8512
11140520,2124.941739,80301.90007
11140540,4844.386535000001,54222.95526
11140550,2819.865803,72555.51564
11140570,3174.7820829999996,13541.67266
11140580,6230.613168,13948.793609999999
11140590,4848.702754,42255.39216
11140605,1735.257257,15564.375259999999
11140615,7700.965437000001,3278.598408
11140625,13781.04111,6286.911913
11140635,16508.99597,16639.032580000003
11140645,14102.87615,3058.004022
11140650,11140.81072,1115.8402800000001
11140665,8837.899827,1193.459153
11140670,12629.25168,1726.061509
11140680,12486.914859999999,4280.440382
11170,232340.0535,180858.8667
11170510,17797.1877,2301.522687
11170520,9923.750102,1720.3336809999998
11170530,12568.66324,32025.594230000002
11170555,20803.57184,6501.378393999999
11170560,15895.02014,4602.507407
11170570,11304.885390000001,3636.205761
11170580,8220.961606,1542.481994
11170590,12222.729220000001,2617.220448
11170625,14918.921240000001,40403.684960000006
11170630,37771.45529,14497.002330000001
11170640,9128.157769,2976.48412
11170650,6641.829303,12821.25899
11170660,9084.114322,1228.825803
11170685,19474.91359,39459.823939999995
11170690,16936.678069999998,18801.54696
11170700,11346.496790000001,844.3496654999999
11200,306548.8058,82139.69109
11200520,18768.81226,1352.640077
11200535,27241.797619999998,5958.7989130000005
11200540,22636.586,7448.898845000001
11200550,10861.029040000001,2464.1889530000003
11200560,16863.00023,2476.115846
11200570,22582.037940000002,246.1958412
11200580,16818.94197,1756.612675
11200590,16527.22074,2401.533588
11200615,24077.42287,698.89904
11200620,13303.29543,1190.039593
11200645,42762.55053,7548.831783
11200650,14837.255490000001,3168.404371
11200660,12827.861570000001,5651.163759
11200670,17954.2329,10520.27114
11200690,11124.55403,23391.06817
11200720,14049.38681,1599.23189
11200790,11990.20578,4590.541498
11215,337776.2276,78393.43119
11215710,22504.10895,2741.182665
11215730,19909.98805,2384.798346
11215740,16974.761469999998,5653.1108939999995
11215750,22218.78574,2840.82253
11215760,17055.57701,1486.957911
11215770,30119.553210000002,5097.917064
11215780,11501.33347,2300.266695
11215810,29685.5007,13757.1796
11215820,21084.11116,11333.86743
11215830,27298.40593,5155.598722
11215840,31646.399419999998,3422.109986
11215847,17670.383019999997,1267.436171
11215850,22468.03895,3673.2930149999997
11215860,28012.9506,4284.285664
11215870,20884.46056,9077.760148000001
11230,334338.1458,78682.89103
11230536,30671.32228,24187.8875
11230545,24735.270959999998,5456.558746
11230560,32452.174069999997,1579.7245050000001
11230570,17109.64374,3508.1238659999995
11230600,28735.15193,7647.180238
11230610,30141.052460000003,2772.334329
