CD,남자 인구수,여자 인구수
11680,"258,407","281,741"
11680510,"7,851","9,064"
11680521,"10,818","12,335"
11680531,"10,097","11,625"
11680545,"12,698","14,876"
11680565,"12,723","14,478"
11680580,"7,074","7,206"
11680590,"14,365","15,864"
11680600,"12,610","12,515"
11680610,"19,377","18,753"
11680630,"9,698","10,842"
11680640,"17,569","18,670"
11680650,"17,420","19,730"
11680655,"10,547","11,717"
11680656,"15,907","18,343"
11680660,"3,283","3,502"
11680670,"10,836","11,602"
11680690,"8,843","9,184"
11680700,"21,282","23,446"
11680720,"11,857","12,196"
11680730,"7,807","8,117"
11680740,"8,667","9,237"
11680750,"7,078","8,439"
11740,"225,103","232,227"
11740515,"15,273","16,374"
11740520,"16,208","16,666"
11740530,"12,923","13,544"
11740540,"8,587","8,862"
11740550,"13,400","12,992"
11740560,"10,771","10,462"
11740570,"17,757","18,108"
11740580,"7,525","7,994"
11740590,"8,962","9,364"
11740600,"13,614","14,044"
11740610,"17,274","17,653"
11740620,"13,100","13,680"
11740640,"9,845","10,447"
11740650,"11,960","12,366"
11740660,"11,571","11,919"
11740685,"22,873","23,889"
11740690,124,136
11740700,"13,336","13,727"
11305,"151,376","159,179"
11305534,"12,393","12,438"
11305535,"10,724","11,523"
11305545,"14,714","15,914"
11305555,"13,818","13,931"
11305575,"15,502","16,788"
11305595,"9,573","9,604"
11305603,"8,087","8,565"
11305608,"8,361","9,354"
11305615,"10,575","10,818"
11305625,"10,308","11,209"
11305635,"11,726","11,855"
11305645,"10,246","10,787"
11305660,"15,349","16,393"
11500,"282,647","302,273"
11500510,"20,474","21,587"
11500520,"11,193","12,636"
11500530,"10,499","10,926"
11500535,"15,199","16,635"
11500540,"25,742","27,115"
11500550,"9,075","9,567"
11500560,"10,602","11,458"
11500570,"10,422","10,883"
11500590,"17,092","17,856"
11500591,"12,319","12,822"
11500593,"12,266","13,262"
11500603,"15,725","18,350"
11500604,"6,996","7,755"
11500605,"7,402","8,354"
11500611,"17,974","19,877"
11500615,"21,071","22,950"
11500620,"13,754","13,333"
11500630,"21,848","22,937"
11500640,"11,468","11,751"
11500641,"11,526","12,219"
11620,"250,520","248,796"
11620525,"12,134","12,620"
11620545,"7,743","8,061"
11620565,"14,730","15,705"
11620575,"14,359","15,230"
11620585,"8,676","8,509"
11620595,"16,786","18,189"
11620605,"16,760","17,489"
11620615,"7,452","8,174"
11620625,"12,917","13,521"
11620630,"8,947","9,566"
11620645,"11,904","11,227"
11620655,"9,263","9,255"
11620665,"13,158","10,794"
11620685,"11,505","11,485"
11620695,"11,420","10,542"
11620715,"7,867","8,097"
11620725,"8,923","8,722"
11620735,"14,385","9,439"
11620745,"12,281","12,273"
11620765,"15,399","16,057"
11620775,"13,911","13,841"
11215,"168,472","180,175"
11215710,"10,641","11,775"
11215730,"9,852","10,088"
11215740,"7,687","8,035"
11215750,"10,482","11,569"
11215760,"8,383","8,465"
11215770,"14,580","15,176"
11215780,"5,368","6,278"
11215810,"17,252","18,452"
11215820,"11,029","11,853"
11215830,"12,679","13,353"
11215840,"13,881","14,972"
11215847,"9,008","9,041"
11215850,"10,622","11,598"
11215860,"13,040","14,103"
11215870,"13,968","15,417"
11530,"200,251","205,244"
11530510,"17,785","18,610"
11530520,"10,527","10,901"
11530530,"12,463","12,287"
11530540,"12,195","11,746"
11530550,"9,996","10,578"
11530560,"14,353","15,270"
11530595,"5,087","4,266"
11530720,"11,677","11,702"
11530730,"13,716","13,957"
11530740,"16,630","16,607"
11530750,"15,605","16,341"
11530760,"10,356","10,819"
11530770,"11,072","11,537"
11530780,"18,973","20,302"
11530790,"11,858","12,137"
11530800,"7,958","8,184"
11545,"117,497","114,516"
11545510,"12,173","10,013"
11545610,"21,879","20,525"
11545620,"9,683","9,427"
11545630,"12,405","12,238"
11545640,"7,906","7,799"
11545670,"16,919","16,939"
11545680,"10,694","11,407"
