자치구,행정동,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세
종로구,계,8665,12793,28545,22467,24451,26894,19318,12616,5442,978
종로구,사직동,642,757,1236,1463,1608,1567,1138,791,422,83
종로구,삼청동,157,241,356,472,434,477,418,300,143,25
종로구,부암동,601,937,1635,1412,1649,1727,1254,798,379,75
종로구,평창동,1204,1824,2622,2346,2888,3348,2302,1413,698,149
종로구,무악동,751,1050,948,1001,1635,1386,953,639,275,49
종로구,교남동,953,858,1336,1938,1904,1569,1141,716,287,44
종로구,가회동,221,362,498,630,790,757,562,444,163,36
종로구,종로1.2.3.4가동,296,342,1136,1137,1210,1605,1460,841,349,89
종로구,종로5·6가동,141,327,1185,705,719,1045,759,546,193,40
종로구,이화동,304,558,2104,1477,1093,1176,904,628,286,39
종로구,창신1동,211,318,886,695,869,1395,1018,542,187,39
종로구,창신2동,338,627,1636,1120,1445,2165,1385,811,295,40
종로구,창신3동,432,614,1070,1095,1062,1333,937,534,225,40
종로구,숭인1동,350,451,895,1002,1060,1220,866,537,214,32
종로구,숭인2동,342,408,2037,1644,1374,1801,1330,768,274,46
종로구,청운효자동,914,1326,1729,1879,2333,2006,1341,1049,475,75
종로구,혜화동,808,1793,7236,2451,2378,2317,1550,1259,577,77
중구,계,8045,8065,21786,22555,20174,22629,17275,10348,4438,774
중구,소공동,290,165,303,723,641,419,291,119,45,12
중구,회현동,259,243,570,707,854,1168,1126,582,263,88
중구,명동,143,149,444,490,569,598,572,310,132,31
중구,필동,231,291,1367,785,548,687,612,349,163,46
중구,장충동,229,417,1736,780,715,672,547,379,163,27
중구,광희동,204,254,1204,963,828,1106,924,522,197,32
중구,을지로동,55,42,307,296,218,386,390,195,79,21
중구,신당5동,628,617,1534,1603,1616,1813,1234,759,291,35
중구,황학동,836,594,2410,2998,1938,2081,1519,861,321,45
중구,중림동,1092,826,1609,2574,2058,2062,1443,896,406,60
중구,신당동,338,409,1849,1570,1379,1795,1048,658,236,48
중구,다산동,682,1006,2633,2438,2244,2437,1894,1224,437,66
중구,약수동,1301,1097,2113,2697,2677,2924,2528,1578,760,119
중구,청구동,915,1033,2099,2389,2173,2476,1811,1178,567,81
중구,동화동,842,922,1608,1542,1716,2005,1336,738,378,63
용산구,계,15818,17857,35824,42364,39762,38567,27831,17218,8002,1476
용산구,후암동,1127,1447,2708,3040,2981,3080,2180,1319,572,136
용산구,용산2가동,538,741,1926,2300,1762,1704,1495,930,408,73
용산구,남영동,276,322,1176,1161,1311,1810,1357,697,267,64
용산구,원효로2동,1062,1422,1933,2218,2504,2363,1705,1047,509,71
용산구,효창동,773,812,1498,1767,1540,1491,947,622,319,48
용산구,용문동,889,986,1805,2133,2006,2030,1505,930,354,63
용산구,이촌1동,3061,3139,3021,4005,5459,4457,2816,1894,1114,215
용산구,이촌2동,614,583,1016,1581,1294,1454,1291,773,358,66
용산구,이태원1동,402,416,1787,1779,1301,1320,1053,648,374,64
용산구,이태원2동,638,630,1633,2134,1723,1491,1222,898,407,72
용산구,서빙고동,963,1655,1886,1759,2712,2325,1363,866,595,74
용산구,보광동,645,936,2614,2699,2474,2748,2001,1245,530,97
용산구,청파동,805,1402,4346,3273,3073,3299,2323,1565,624,92
용산구,원효로1동,1439,916,2487,3751,2679,2203,1569,834,345,72
용산구,한강로동,1137,1021,2786,3906,2948,3194,2294,1320,600,135
용산구,한남동,1449,1429,3202,4858,3995,3598,2710,1630,626,134
