CD,편의점 수
11110.0,347.0
11110515.0,12.0
11110530.0,30.0
11110540.0,8.0
11110550.0,12.0
11110560.0,14.0
11110570.0,4.0
11110580.0,16.0
11110600.0,9.0
11110615.0,117.0
11110630.0,26.0
11110640.0,19.0
11110650.0,33.0
11110670.0,7.0
11110680.0,4.0
11110690.0,3.0
11110700.0,8.0
11110710.0,25.0
11140.0,450.0
11140520.0,52.0
11140540.0,60.0
11140550.0,91.0
11140570.0,31.0
11140580.0,16.0
11140590.0,55.0
11140605.0,34.0
11140615.0,32.0
11140625.0,17.0
11140635.0,12.0
11140645.0,6.0
11140650.0,7.0
11140665.0,10.0
11140670.0,13.0
11140680.0,14.0
11170.0,303.0
11170510.0,19.0
11170520.0,20.0
11170530.0,33.0
11170555.0,27.0
11170560.0,19.0
11170570.0,15.0
11170580.0,9.0
11170590.0,8.0
11170625.0,47.0
11170630.0,16.0
11170640.0,6.0
11170650.0,26.0
11170660.0,13.0
11170685.0,26.0
11170690.0,9.0
11170700.0,10.0
11200.0,318.0
11200520.0,10.0
11200535.0,28.0
11200540.0,19.0
11200550.0,34.0
11200560.0,17.0
11200570.0,8.0
11200580.0,4.0
11200590.0,9.0
11200615.0,15.0
11200620.0,7.0
11200645.0,13.0
11200650.0,23.0
11200660.0,30.0
11200670.0,22.0
11200690.0,56.0
11200720.0,8.0
11200790.0,15.0
11215.0,388.0
11215710.0,60.0
11215730.0,30.0
11215740.0,15.0
11215750.0,27.0
11215760.0,17.0
11215770.0,20.0
11215780.0,21.0
11215810.0,20.0
11215820.0,22.0
11215830.0,20.0
11215840.0,28.0
11215847.0,30.0
11215850.0,28.0
11215860.0,18.0
11215870.0,32.0
11230.0,386.0
11230536.0,51.0
11230545.0,30.0
11230560.0,29.0
11230570.0,16.0
11230600.0,33.0
11230610.0,16.0
11230650.0,54.0
11230660.0,38.0
11230705.0,17.0
11230710.0,23.0
11230720.0,18.0
11230730.0,17.0
11230740.0,31.0
11230750.0,13.0
11260.0,311.0
11260520.0,22.0
11260540.0,14.0
11260550.0,7.0
11260565.0,30.0
11260570.0,18.0
11260575.0,20.0
11260580.0,14.0
11260590.0,36.0
11260600.0,18.0
11260610.0,20.0
11260620.0,22.0
11260630.0,17.0
11260655.0,31.0
11260660.0,12.0
11260680.0,20.0
11260690.0,10.0
11290.0,356.0
11290525.0,17.0
11290555.0,32.0
11290575.0,37.0
11290580.0,7.0
11290590.0,5.0
11290600.0,47.0
11290610.0,17.0
11290620.0,15.0
11290630.0,16.0
11290640.0,15.0
11290650.0,18.0
11290660.0,7.0
11290685.0,8.0
11290705.0,27.0
11290715.0,13.0
11290725.0,24.0
11290760.0,12.0
11290770.0,8.0
11290780.0,8.0
11290810.0,23.0
11305.0,272.0
11305534.0,13.0
11305535.0,32.0
11305545.0,28.0
11305555.0,23.0
11305575.0,9.0
11305590.0,30.0
11305600.0,7.0
11305606.0,11.0
11305610.0,23.0
11305620.0,17.0
11305630.0,35.0
11305645.0,17.0
11305660.0,27.0
11320.0,232.0
11320511.0,15.0
11320512.0,22.0
11320513.0,14.0
11320514.0,18.0
