CD,Æó¾÷·ü
11110.0,2.7
11110515.0,9.1
11110530.0,3.8
11110540.0,0.0
11110550.0,0.0
11110560.0,0.0
11110570.0,0.0
11110580.0,0.0
11110600.0,0.0
11110615.0,3.8
11110630.0,4.0
11110640.0,11.1
11110650.0,0.0
11110670.0,0.0
11110680.0,0.0
11110690.0,0.0
11110700.0,0.0
11110710.0,0.0
11140.0,4.9
11140520.0,1.9
11140540.0,4.7
11140550.0,9.1
11140570.0,0.0
11140580.0,0.0
11140590.0,4.3
11140605.0,6.5
11140615.0,2.6
11140625.0,6.3
11140635.0,0.0
11140645.0,14.3
11140650.0,14.3
11140665.0,7.7
11140670.0,0.0
11140680.0,7.1
11170.0,3.4
11170510.0,0.0
11170520.0,5.9
11170530.0,0.0
11170555.0,3.6
11170560.0,0.0
11170570.0,0.0
11170580.0,10.0
11170590.0,14.3
11170625.0,6.5
11170630.0,0.0
11170640.0,0.0
11170650.0,0.0
11170660.0,13.3
11170685.0,0.0
11170690.0,0.0
11170700.0,9.1
11200.0,1.8
11200520.0,0.0
11200535.0,0.0
11200540.0,7.1
11200550.0,2.9
11200560.0,11.1
11200570.0,0.0
11200580.0,0.0
11200590.0,9.1
11200615.0,0.0
11200620.0,0.0
11200645.0,0.0
11200650.0,0.0
11200660.0,0.0
11200670.0,0.0
11200690.0,0.0
11200720.0,0.0
11200790.0,5.6
11215.0,5.1
11215710.0,3.2
11215730.0,0.0
11215740.0,0.0
11215750.0,15.4
11215760.0,10.0
11215770.0,8.0
11215780.0,10.0
11215810.0,7.1
11215820.0,0.0
11215830.0,4.8
11215840.0,7.1
11215847.0,3.0
11215850.0,3.6
11215860.0,0.0
11215870.0,6.5
11230.0,3.0
11230536.0,1.6
11230545.0,3.7
11230560.0,0.0
11230570.0,0.0
11230600.0,9.4
11230610.0,0.0
11230650.0,5.6
11230660.0,2.9
11230705.0,0.0
11230710.0,8.0
11230720.0,0.0
11230730.0,6.3
11230740.0,0.0
11230750.0,0.0
11260.0,3.0
11260520.0,4.8
11260540.0,0.0
11260550.0,0.0
11260565.0,0.0
11260570.0,5.9
11260575.0,0.0
11260580.0,0.0
11260590.0,2.9
11260600.0,0.0
11260610.0,6.7
11260620.0,0.0
11260630.0,15.4
