이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,월매출
청운효자동,11110515,149361,994,1390,1777,1977,2389,2030,1306,1062,450,1923,1122,1009,1009,11,0,74717455
사직동,11110530,148404,698,772,1161,1505,1667,1546,1107,783,392,2120,870,676,588,26,2,82239199
삼청동,11110540,230589,168,235,377,457,442,517,414,289,133,740,251,194,152,7,0,72501266
부암동,11110550,95828,580,1020,1628,1368,1735,1709,1209,845,373,1608,918,737,732,14,0,50518431
평창동,11110560,116378,1230,2008,2707,2372,3034,3345,2214,1417,657,2479,1640,1471,1444,14,0,21683974
무악동,11110570,144527,718,987,929,954,1592,1312,894,601,241,719,652,673,755,3,1,2.82E+08
교남동,11110580,190521,970,846,1459,1935,1901,1562,1072,708,246,1582,1070,861,777,16,0,18078925
가회동,11110600,143547,235,398,533,639,837,758,555,448,166,935,429,321,273,8,0,62993164
종로1.2.3.4가동,11110615,256491,314,355,1106,1179,1219,1632,1370,867,323,4175,547,299,226,104,3,65246898
종로5.6가동,11110630,250974,145,339,1081,680,777,1069,752,544,182,2074,476,313,224,25,2,60300882
이화동,11110640,195935,347,582,2092,1477,1161,1196,885,608,259,2639,765,534,403,18,0,1.35E+08
혜화동,11110650,170041,877,1812,6893,2546,2482,2312,1549,1268,533,5267,1433,1087,950,37,1,46167608
창신1동,11110670,188328,215,350,844,751,983,1408,947,553,165,1771,559,361,237,9,0,67553378
창신2동,11110680,85249,385,715,1623,1205,1622,2207,1347,782,277,1948,845,663,547,3,0,86576723
창신3동,11110690,70411,467,627,1112,1100,1135,1361,880,533,214,842,665,639,502,2,1,54519959
숭인1동,11110700,209853,391,476,955,1046,1131,1236,838,508,202,1321,654,485,387,8,0,81415561
숭인2동,11110710,151064,352,482,1995,1620,1469,1822,1263,762,267,3632,896,554,443,26,1,65861194
소공동,11140520,159542,272,162,281,714,562,389,273,116,37,593,194,154,102,53,1,76910347
회현동,11140540,392834,264,220,594,723,860,1211,1108,598,239,2232,436,303,221,43,2,63988517
명동,11140550,253645,155,126,382,529,583,616,540,309,129,940,208,136,96,88,2,74186210
필동,11140570,134650,230,334,1235,771,574,722,570,344,173,1386,382,243,179,29,1,75734321
장충동,11140580,89626,255,450,1636,800,757,673,537,383,145,1616,460,268,221,18,1,59902075
광희동,11140590,182225,198,303,1046,903,804,1146,899,491,185,1807,518,289,212,46,1,76746925
을지로동,11140605,191859,51,51,221,218,207,386,380,196,77,926,133,69,36,31,2,51832757
신당동,11140615,336315,364,467,1885,1546,1535,1839,1013,613,228,2632,798,509,356,38,1,60394851
다산동,11140625,108725,733,1072,2582,2511,2392,2450,1820,1223,394,2971,1609,1115,904,16,1,78461799
약수동,11140635,141717,1351,1145,2263,2832,2794,2963,2425,1539,699,2760,1995,1565,1120,15,2,62816550
청구동,11140645,125751,933,1088,2159,2410,2295,2510,1738,1191,527,2440,1513,1192,994,7,0,63489359
신당5동,11140650,140215,618,667,1354,1476,1643,1736,1158,740,249,2043,921,702,585,7,0,81474640
동화동,11140665,130071,850,935,1672,1583,1782,2038,1247,729,344,1175,878,888,923,13,0,40036474
황학동,11140670,145735,863,605,2265,2827,1992,2103,1463,834,294,3356,1325,893,633,14,0,87215483
중림동,11140680,158501,1073,856,1581,2521,2035,2015,1339,848,347,2421,1213,997,825,14,0,41288743
후암동,11170510,119917,1241,1569,2612,3161,3122,3004,2123,1308,554,3901,1680,1413,1138,18,0,57597457
용산2가동,11170520,114724,598,785,1931,2373,1884,1809,1481,905,383,2784,1206,789,566,17,1,33918425
남영동,11170530,88701,283,337,1147,1190,1355,1828,1348,656,253,4172,594,334,247,32,3,64131041
청파동,11170555,114279,881,1518,4243,3376,3242,3310,2277,1554,582,5896,1966,1271,1049,28,0,65837384
원효로1동,11170560,114736,1424,960,2370,3579,2573,2147,1471,839,317,3238,1526,1185,947,21,0,72469145
원효로2동,11170570,100766,1146,1534,1939,2313,2632,2369,1649,1027,474,1952,1300,1193,1161,16,0,57211911
효창동,11170580,129762,644,799,1406,1525,1482,1404,885,642,267,1327,835,653,653,10,0,55540082
용문동,11170590,120811,953,1046,1781,2217,2126,1984,1432,907,315,1846,1230,1047,915,7,1,30214018
