이름,코드,임대시세,0-9세주거,10-19세주거,20-29세주거,30-39세주거,40-49세주거,50-59세주거,60-69세주거,70-79세주거,80-89세주거,1인가구,2인가구,3인가구,4인가구,편의점수,지하철역수,폐업률
청운효자동,11110515,-16487,-5.3333,-12,102.333,62,37,35.333,35,4,15.3333,-65.333,-37.333,19,88,11,0,9.1
사직동,11110530,-28824,-11,5.3333,39,72.333,59.667,34.667,31,4.3333,4.3333,-173,-40,-7.6667,52,26,2,3.8
삼청동,11110540,59363,21.6667,15,15.6667,49.6667,33.6667,29.6667,24,-3,-0.6667,6.6667,-3.6667,12.3333,6,7,0,0
부암동,11110550,-11436,-21.6667,-17.667,221.333,85,-25,-5.333,-5,6.3333,-0.3333,-34.667,-28.6667,-25.3333,33.3333,14,0,0
평창동,11110560,30332,19,45.667,-17.333,56,-15.667,44.667,38,20,8,75.667,-87.667,-20.333,98,14,0,0
무악동,11110570,-70328,-5,-7.67E+00,0.3333,-5.3333,15.333,5.333,3.3333,-9,6,-26.3333,-55,-55.6667,-8.6667,3,1,0
교남동,11110580,-56478,47.6667,-1.6667,67,52.667,55.667,34.333,40.667,6.6667,20.3333,-64.333,-25.333,-47.3333,34.3333,16,0,0
가회동,11110600,-24612,-1,8.6667,-7.3333,23.3333,13,27.6667,18,9.3333,-1,-2.3333,-10,-20.6667,24.3333,8,0,0
종로1.2.3.4가동,11110615,-3092,69,74.6667,183.3333,239.3333,177.667,110,37,21.6667,2.3333,59.667,32.6667,9.6667,25.6667,104,3,3.8
종로5.6가동,11110630,-20743,3,14.3333,93.3333,48.6667,27.3333,43.667,22,6.6667,7.6667,-262,-33.6667,17.3333,37.6667,25,2,4
이화동,11110640,9304,-10,1.90E+01,332,30.667,-8,12.667,3.6667,14.3333,4,-30.333,-29.3333,53.6667,55,18,0,11.1
혜화동,11110650,13473,-8.6667,329.333,2594,181.667,-34.333,27.333,8.333,-10.333,8.3333,-212.667,-26.333,45.333,72.6667,37,1,0
창신1동,11110670,-16650,18,14.3333,188,113.6667,149,212.667,49.3333,-2.3333,6.6667,30,-21,41.6667,26,9,0,0
창신2동,11110680,-6087,38,2.6667,297.667,164,129.667,348.667,72.333,5.3333,18,5.333,-61.3333,22.3333,92,3,0,0
창신3동,11110690,-144444,1,3,54.333,40,15,4,9,9.6667,9,-82,-0.3333,-3.6667,37,2,1,0
숭인1동,11110700,106502,8,0.6667,62.3333,76,43.333,79.333,35,-3,10.3333,-39.333,2,17.3333,32.3333,8,0,0
숭인2동,11110710,30574,-0.3333,1,192.333,101.333,35.333,108,35,-6.3333,0,-170.333,-24.3333,31.6667,45,26,1,0
소공동,11140520,-78299,77.3333,42.3333,77.6667,215.6667,180,128.3333,58.6667,8.3333,3.66667,-29.6667,-18.3333,-4.3333,0.6667,53,1,1.9
회현동,11140540,12132,31.3333,28,69,145.3333,98,114.333,93.667,22.6667,2.3333,153,-9.3333,14,-9.6667,43,2,4.7
명동,11140550,23921,25,22.3333,84.6667,130.6667,66.3333,110.6667,29.3333,17,9.6667,-149.333,0.3333,-4,14,88,2,9.1
필동,11140570,-25959,4.3333,86.3333,626.3333,144.3333,10.6667,43,2,10.3333,0,-56,-36,24.6667,19.3333,29,1,0
장충동,11140580,-19904,39.6667,100,501.667,97.6667,58.6667,71.6667,37.6667,-3.6667,8.6667,-105,33.3333,28,4,18,1,0
광희동,11140590,-37011,23.6667,82,318,184,165.6667,183.3333,56,7.3333,-3.3333,-124.667,2.6667,6.3333,29.6667,46,1,4.3
을지로동,11140605,11852,6,0.66667,78,52.3333,-5.3333,21,11,12.6667,2.33333,-149.333,-22.3333,5,-2.33333,31,2,6.5
신당동,11140615,-41525,67.3333,34.6667,439,296,254,410,98.6667,26,2.3333,-144.667,-26,78,30,38,1,2.6
다산동,11140625,-5471,-9.3333,-4.333,220,56.333,12.333,87.333,13.333,32,2.3333,-192.333,-15.667,66,32,16,1,6.3
약수동,11140635,-43937,-10,-17.333,17,9.667,-40.667,-5,59,31.667,4.3333,-116.667,-37.333,22,85.667,15,2,0
청구동,11140645,54026,-11.6667,-16.333,50,24.667,14.667,18.667,33.667,32,14.6667,-37.667,0.333,35.333,79,7,0,14.3
신당5동,11140650,24178,-12.3333,-9,78.667,47,32.333,60.667,60,-10,2,-583,-229.333,-57.6667,4.6667,7,0,14.3
동화동,11140665,3407,12,-38.6667,38.333,13.333,-20,45,38.333,5,14,15,-73,11.6667,69,13,0,7.7
황학동,11140670,15311,40.6667,23,312.333,242.667,132.667,255.333,61,10.3333,12,-396,-160,7,52,14,0,0
중림동,11140680,22671,71.667,55.3333,144.667,213.667,131,147.667,32.667,34,11,-78.667,-66,-32,32.6667,14,0,7.1
후암동,11170510,5846,24.333,-6.667,86,173.667,79.333,118,49,15.667,13.3333,-175.333,-70.667,29.333,156.6667,18,0,0
용산2가동,11170520,4162,51,25,329.333,466.667,203.667,123.333,51.667,11,0.6667,-24.667,5,24,69.6667,17,1,5.9
남영동,11170530,-27893,17,18,164.6667,88,60,92.667,57.667,9.6667,2,-16.667,-5.6667,25.3333,5.3333,32,3,0
청파동,11170555,-29472,6,-13,332.333,149.333,0,161.333,49,25,18,-499.333,-19.667,79.667,116.6667,28,0,3.6
원효로1동,11170560,13648,73.667,43.3333,113.667,263.333,195.333,142.333,47.667,37,16.6667,-518.667,-141.667,-63,6.3333,21,0,0
원효로2동,11170570,9621,-18,-35.667,55.333,15.667,-9.667,21.333,40.667,-5,14.6667,-151.333,7.667,7,106,16,0,0
효창동,11170580,-8496,-11,-48.6667,-7,-24.667,-42.333,-47,-58.3333,-42.3333,-11.3333,-152,-171.667,-168.333,-60.6667,10,0,10
용문동,11170590,1318,-18.3333,11.333,53.333,42,-3.333,57,24.667,18.3333,7,-114,-69.667,27.667,80,7,1,14.3
한강로동,11170625,-14672,227.6667,128.6667,203,491.667,401,268,143.333,32.667,11,-361,-86.667,-24.333,-22.6667,46,4,6.5
이촌1동,11170630,-56289,173,126.333,34,267.667,232.667,218.667,124.333,23,32.333,-1.333,-90.333,-62.333,14.333,11,0,0
이촌2동,11170640,27368,20.3333,4.3333,-18.333,46.333,11.333,-4.333,21.667,5.6667,-2.3333,-38.667,-53.333,31.6667,59.3333,5,0,0
