지역,행정동코드,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,2019년2분기주거인구,2019년2분기직장인구,면적,직장인구,주거인구,대규모점포 인허가 수,편의점 수
종로구,11110.0,"74,190","77,836",36390.0,13987.0,10916.0,9116.0,2546.0,8665.0,12793.0,28545.0,22467.0,24451.0,26894.0,19318.0,12616.0,5442.0,978.0,64.36554261,90.28136405,2391.0,215862.7414,153898.0124,23.0,347.0
중구,11140.0,"62,086","64,057",30425.0,12963.0,9226.0,7133.0,1778.0,8045.0,8065.0,21786.0,22555.0,20174.0,22629.0,17275.0,10348.0,4438.0,774.0,119.5631192,379.78583080000004,996.0,378266.6875,119084.8667,63.0,427.0
용산구,11170.0,"110,560","118,562",51507.0,22654.0,16920.0,13783.0,3585.0,15818.0,17857.0,35824.0,42364.0,39762.0,38567.0,27831.0,17218.0,8002.0,1476.0,105.84631740000002,88.46563865,2187.0,193474.3517,231485.8962,21.0,289.0
성동구,11200.0,"149,412","155,524",55571.0,29586.0,24935.0,20648.0,4622.0,22785.0,22711.0,49741.0,53464.0,49301.0,50355.0,35256.0,20277.0,7779.0,1083.0,186.44065849999998,51.28682432,1686.0,86469.5858,314338.9502,22.0,311.0
광진구,11215.0,"171,800","182,078",72629.0,33104.0,27031.0,24147.0,5342.0,23086.0,29175.0,67327.0,61920.0,57153.0,59467.0,40320.0,21752.0,7915.0,1159.0,200.57834590000002,44.48971228,1706.0,75899.44915,342186.6581,27.0,396.0
동대문구,11230.0,"172,490","174,011",74224.0,32907.0,26139.0,22265.0,5513.0,22838.0,26994.0,64679.0,54062.0,53991.0,56462.0,44375.0,27580.0,10380.0,1475.0,236.5588895,56.5604059,1422.0,80428.89719,336386.7409,34.0,379.0
중랑구,11260.0,"198,906","201,755",73677.0,41039.0,32438.0,26181.0,6343.0,25869.0,29713.0,58045.0,62100.0,61207.0,72855.0,53967.0,29902.0,10361.0,1439.0,220.3423454,22.48320977,1850.0,41593.93807,407633.339,16.0,302.0
성북구,11290.0,"213,648","226,749",73240.0,40021.0,35080.0,31823.0,7684.0,31409.0,40645.0,72163.0,63834.0,73899.0,70345.0,52200.0,32823.0,12817.0,1803.0,176.0730905,38.33350212,2457.0,94185.41471,432611.5834,44.0,357.0
강북구,11305.0,"154,101","161,486",58739.0,33271.0,25261.0,19897.0,5014.0,18165.0,24609.0,44557.0,42866.0,50089.0,54639.0,43554.0,29232.0,10080.0,1356.0,135.2976501,12.34090516,2360.0,29124.536180000003,319302.4542,26.0,273.0
도봉구,11320.0,"164,731","171,967",44181.0,33044.0,28751.0,24747.0,5962.0,21525.0,28699.0,46277.0,45180.0,52449.0,59586.0,46413.0,26723.0,10475.0,1523.0,162.4078887,18.00178851,2066.0,37191.695060000005,335534.6981,16.0,220.0
