지역,행정동코드,남자 인구수,여자 인구수,1인세대,2인세대,3인세대,4인세대,5인세대,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,2020년2분기주거인구,2020년2분기직장인구,면적,직장인구,주거인구,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,대규모점포 인허가 수,편의점 수
종로구,11110.0,"73,062","76,900",37503.0,14341.0,10697.0,8837.0,2364.0,8185.0,11918.0,28260.0,21719.0,23751.0,26807.0,20050.0,12677.0,5831.0,1055.0,63.57585916,98.95773621,2391.0,236607.9473,152009.8793,,,,,,,23.0,347.0
중구,11140.0,"61,651","64,339",31643.0,13498.0,9121.0,6839.0,1660.0,7639.0,7628.0,21809.0,22296.0,19779.0,22495.0,17865.0,10726.0,4731.0,864.0,125.3439675,336.47173819999995,996.0,335125.8512,124842.5916,,,,,,,63.0,450.0
용산구,11170.0,"110,403","118,959",53405.0,23093.0,17159.0,13372.0,3444.0,15265.0,17019.0,36195.0,42354.0,39125.0,38792.0,28862.0,17384.0,8411.0,1590.0,106.23687859999998,82.69724128,2187.0,180858.8667,232340.0535,,,,,,,21.0,303.0
성동구,11200.0,"144,701","151,482",56420.0,29972.0,24552.0,19422.0,4264.0,21393.0,21149.0,48504.0,51211.0,46923.0,49097.0,36246.0,20625.0,8309.0,1150.0,181.82016950000002,48.71867799,1686.0,82139.69109,306548.8058,,,,,,,22.0,318.0
광진구,11215.0,"168,472","180,175",76534.0,34026.0,26435.0,22936.0,4902.0,21340.0,27305.0,67609.0,59631.0,55182.0,57924.0,42519.0,22348.0,8598.0,1257.0,197.9930994,45.95160093,1706.0,78393.43119,337776.2276,,,,,,,27.0,388.0
동대문구,11230.0,"170,926","173,724",78266.0,33984.0,26184.0,21335.0,5158.0,21886.0,25147.0,65016.0,53080.0,52664.0,55230.0,46115.0,28170.0,11179.0,1591.0,235.118246,55.33255347,1422.0,78682.89103,334338.1458,,,,,,,34.0,386.0
중랑구,11260.0,"195,931","199,857",77396.0,42377.0,31588.0,24642.0,5790.0,23988.0,27733.0,57116.0,59608.0,59095.0,70915.0,56852.0,31006.0,11334.0,1569.0,216.6574787,21.50170869,1850.0,39778.16108,400816.3356,,,,,,,16.0,311.0
성북구,11290.0,"212,559","227,836",77396.0,41884.0,35441.0,31054.0,7217.0,30395.0,38926.0,72981.0,63037.0,72241.0,70483.0,54239.0,33774.0,13854.0,1984.0,170.64563869999998,44.79305959,2457.0,110056.5474,419276.3343,,,,,,,44.0,356.0
강북구,11305.0,"151,376","159,179",61479.0,34556.0,24953.0,18768.0,4518.0,16834.0,22877.0,44359.0,40680.0,48595.0,53892.0,45337.0,29986.0,11122.0,1467.0,132.9142607,11.95121909,2360.0,28204.87705,313677.6553,,,,,,,25.0,272.0
도봉구,11320.0,"160,089","167,925",46140.0,34302.0,28278.0,23352.0,5376.0,19814.0,26587.0,44992.0,42735.0,50074.0,58107.0,48828.0,27542.0,11264.0,1629.0,159.96591030000002,17.47123677,2066.0,36095.57517,330489.5707,,,,,,,16.0,232.0
노원구,11350.0,"254,463","272,255",70945.0,49730.0,44406.0,41982.0,8733.0,34941.0,55046.0,75765.0,67261.0,88672.0,88811.0,66652.0,37222.0,16001.0,2397.0,150.2386005,15.98857145,3544.0,56663.497220000005,532445.6002,,,,,,,25.0,356.0
은평구,11380.0,"231,508","250,221",79784.0,49503.0,39388.0,31859.0,7786.0,30994.0,39715.0,67294.0,70240.0,78157.0,77902.0,63029.0,38857.0,15261.0,2075.0,152.8293244,15.71105359,2971.0,46677.540219999995,454055.9228,,,,,,,34.0,374.0
