지역,행정동코드,구평균총생활인구수
종로구,11110,285128.0052270833
중구,11140,262058.41599916664
용산구,11170,284971.1742526389
성동구,11200,342144.29005861114
광진구,11215,369330.5560794444
동대문구,11230,359044.8370879167
중랑구,11260,354274.07959097216
성북구,11290,430105.3706206945
강북구,11305,299901.72573
도봉구,11320,281454.25101930555
노원구,11350,524464.3528020832
은평구,11380,445465.2497536111
서대문구,11410,361280.2411604166
마포구,11440,458107.75616222224
양천구,11470,397886.4318559722
강서구,11500,538969.6470440278
구로구,11530,386784.2158569445
금천구,11545,225796.83801833334
영등포구,11560,459732.5861558333
동작구,11590,396066.54163875
관악구,11620,486308.0893465277
서초구,11650,582533.4500136112
강남구,11680,821657.1942355557
송파구,11710,743151.4631147222
강동구,11740,503305.6344730556
