행정동코드,8월일평균총생활인구수
11110515,364568.79916129034
11110530,573672.1018354839
11110540,133467.48753548387
11110550,352111.30675806454
11110560,463944.88056774193
11110570,173407.6325
11110580,158018.74938064517
11110600,166337.67082580648
11110615,1313800.728064516
11110630,390355.51828709675
11110640,533453.940516129
11110650,688208.4913322581
11110670,213767.23072258066
11110680,241648.2119967742
11110690,116240.80998387097
11110700,191678.9757032258
11110710,336995.4463903226
11140520,583888.0381064516
11140540,581814.4513064516
11140550,684568.4807354838
11140570,240253.8560387097
11140580,241657.42036451612
11140590,482736.44211935485
11140605,367782.60516451614
11140615,504205.7922677419
11140625,366813.3174580646
11140635,411787.5444483871
11140645,284250.91474516125
11140650,271130.4505322581
11140665,250860.75356774192
11140670,320662.9256387097
11140680,219192.81697419356
11170510,351123.0082387097
11170520,280681.4151967742
11170530,339992.4003741935
11170555,562661.9833870968
11170560,501413.02225806453
11170570,319640.89799677423
11170580,251880.20018064516
11170590,227994.76332903226
11170625,1012569.1258
11170630,661984.077016129
11170640,182459.5591
11170650,237101.99175161292
11170660,307768.78061935486
11170685,787330.4395193547
11170690,406182.1189064516
11170700,259124.1908516129
11200520,394057.18031290325
11200535,644980.7624516129
11200540,565180.0007225806
11200550,511671.3755516129
11200560,487537.0872483871
11200570,471826.21022580646
11200580,294650.0498806452
11200590,359412.593983871
11200615,523021.25351612904
11200620,300608.4652129032
11200645,685680.3069548386
11200650,435681.0425967742
11200660,496080.4473258065
11200670,472321.1332580645
11200690,724477.3688451614
11200720,258836.51839677422
11200790,440659.7731774193
11215710,820066.1466064516
11215730,449075.16117096774
11215740,395881.44935806456
11215750,437762.5916161291
11215760,402255.2897032258
11215770,641754.8823290323
11215780,368719.97163870966
11215810,938733.128448387
11215820,603852.0206580645
11215830,518962.65262903227
11215840,577032.2877258065
11215847,643201.5286967742
11215850,561555.5430258064
11215860,544033.6303000001
11215870,780100.722332258
11230536,982284.5759129032
11230545,726643.9217935483
11230560,785800.7147193549
11230570,402915.8698903226
11230600,588034.1693096773
11230610,607289.8955032257
11230650,820948.5127258064
11230660,685400.5023741936
11230705,471785.0268516129
11230710,478243.35465483874
11230720,387379.7127548387
11230730,495186.5747903226
11230740,543364.1612645162
11230750,390475.3086193549
11260520,554519.2494870968
11260540,400439.42099677416
11260550,255078.9297451613
11260565,715210.8809258065
11260570,504096.7211193548
11260575,502422.3310096774
11260580,461409.6657516129
11260590,552082.2583290322
11260600,416064.8832483871
11260610,665572.0240806452
11260620,641325.4176419354
11260630,441533.5278612903
11260655,838791.3948193549
11260660,318280.12855483877
11260680,823880.1961
11260690,473112.0423903226
11290525,492227.7844903226
11290555,602246.0025967741
11290575,572927.4745387097
11290580,337675.068783871
11290590,374626.3245903226
11290600,575950.1314032258
11290610,386316.43952258065
11290620,377081.55023225804
11290630,514495.8985741936
11290640,370009.8996
11290650,453160.24959354836
11290660,840979.9733387097
11290685,409614.8986806452
11290705,954864.5593451612
11290715,569448.4088
11290725,579747.8003129032
11290760,403218.6504612903
11290770,335844.8033870968
11290780,210561.78422580645
11290810,671481.1739354838
11305534,567629.3057483872
11305535,561838.4884548386
11305545,847068.1528064517
11305555,660241.9363838709
11305575,571368.6233096774
11305590,477961.6143870968
11305600,305316.78162580647
11305606,393087.1363064516
11305610,438050.66728064517
11305620,510481.78934516135
11305630,682550.4347483872
11305645,462999.86354193545
11305660,713954.9090838708
11320511,522605.8611903226
11320512,660524.9930387097
11320513,343281.0007548387
11320514,774194.6091645161
11320515,515608.29120645154
11320521,414993.24547419354
11320522,454083.4833580645
11320660,408389.01488709677
11320670,453347.55146774196
11320680,368225.90975161287
11320681,336639.5662548387
11320690,602751.3700580645
11320700,294767.2971677419
11320710,561886.7698774193
11350560,609716.3185709676
11350570,496733.074483871
11350580,640839.8543451614
11350595,1079663.9079258065
11350600,993734.1367967741
11350611,638031.542
11350612,410012.1753096774
11350619,562283.8238290322
11350621,614573.869667742
11350624,479429.1168935484
11350625,860402.4848387097
11350630,999732.3546129032
11350640,739631.2626419355
11350665,522393.7294419355
11350670,537989.3313322582
11350695,995311.6126709678
11350700,423038.50841290323
11350710,445135.8126903226
11350720,390396.8787
11380510,856240.5176387096
11380520,859268.5445806452
11380530,546682.6136548386
11380551,602502.8766870968
11380552,606741.3160193549
11380560,666348.2345354839
11380570,849624.8653709677
11380580,631337.5055354838
11380590,434485.6333548387
11380600,591081.057751613
11380625,1031856.150283871
11380631,567669.2001290321
11380632,381288.129416129
11380640,316194.1761483871
11380650,288704.57043225813
11380690,1528472.1627645162
11410520,420545.20476451615
11410555,764367.1879129033
11410565,839994.382783871
11410585,1145810.3004483872
11410615,961484.5855612903
11410620,595674.2112806451
11410640,417953.63522258063
11410655,231185.7137322581
11410660,347154.72120322584
11410685,623897.5671709677
11410690,403453.860916129
11410700,467498.3494935484
11410710,342143.5768548387
11410720,850212.1283387097
11440555,666852.1647548387
11440565,899678.824083871
11440585,534256.8124193548
11440590,680179.2127838709
11440600,520322.25882903225
11440610,296283.7860935484
11440630,449122.0605032258
11440655,654331.9373483872
11440660,1635886.169135484
11440680,526550.2759258065
11440690,450713.7499193548
11440700,441720.61704838707
11440710,474522.7211096774
11440720,548324.2510419354
11440730,858576.544503226
11440740,1118571.7418387095
11470510,1106823.0955677417
11470520,590724.9832645162
11470530,491587.8443548387
11470540,441217.60246451607
11470550,958141.9702483871
11470560,358490.6623741935
11470570,373069.8990967742
11470580,306549.23428387096
11470590,321068.9977612903
11470600,286743.14123870974
11470610,149466.14921290323
11470611,444260.9258322581
11470620,440900.2662516129
11470630,364749.4530612903
11470640,916833.4846
11470650,818000.4607806451
11470670,420601.7367870968
11470680,623218.7958290323
11500510,774073.0509451614
11500520,504531.44570322573
11500530,426565.69548064517
11500535,777111.2685483871
11500540,1220116.2418290323
11500550,309258.2989354839
11500560,420137.3603322581
11500570,450223.4101451613
11500590,707887.2540967742
11500591,510409.0349645161
11500593,617345.5079903227
11500603,913745.961667742
