지역,행정동코드,2020년08월_총인구수,8월평균총생활인구수
종로구,11110,149962,267153.0
중구,11140,125990,242150.0
용산구,11170,229362,278746.0
성동구,11200,296183,336112.0
광진구,11215,348647,361791.0
동대문구,11230,344650,348573.0
중랑구,11260,395788,356826.0
성북구,11290,440395,418020.0
강북구,11305,310555,299690.0
도봉구,11320,328014,279637.0
노원구,11350,526718,518294.0
은평구,11380,481729,448271.0
서대문구,11410,312632,350474.0
마포구,11440,373620,448162.0
양천구,11470,456980,392185.0
강서구,11500,584920,537249.0
구로구,11530,405495,383501.0
금천구,11545,232013,220392.0
영등포구,11560,375133,449600.0
동작구,11590,394118,388274.0
관악구,11620,499316,482337.0
서초구,11650,427237,558737.0
강남구,11680,540148,794766.0
송파구,11710,671312,736448.0
강동구,11740,457330,499922.0
