지역,2020년 2분기 생활_주거,20202분기임대시세 1층
강남구,1.471386,171681
강동구,1.093132,125177
강북구,0.965014,99833
강서구,0.9185,129933
관악구,0.965995,124519
광진구,1.0377,118571
구로구,0.94576,125076
금천구,0.949912,123501
노원구,0.984007,136712
도봉구,0.852515,100812
동대문구,1.01383,114777
동작구,0.985172,139489
마포구,1.199513,146291
서대문구,1.121043,130370
서초구,1.307792,138477
성동구,1.134812,121610
성북구,0.949193,111096
송파구,1.097028,148293
양천구,0.85821,118804
영등포구,1.198508,124311
용산구,1.21531,137149
은평구,0.930546,110909
종로구,1.781471,207758
중구,1.921978,252706
중랑구,0.901558,95238
