지역,행정동코드,2020년08월_총인구수,8월일평균총생활인구수
종로구,11110,149962,6411677.98156129
중구,11140,125990,5811605.809467743
용산구,11170,229362,6689907.974525806
성동구,11200,296183,8066681.569661289
광진구,11215,348647,8682987.00623871
동대문구,11230,344650,8365752.301164515
중랑구,11260,395788,8563819.07206129
성북구,11290,440395,10032478.876412902
강북구,11305,310555,7192549.703022581
도봉구,11320,328014,6711298.963651612
노원구,11350,526718,12439049.795164516
은평구,11380,481729,10758497.554303225
서대문구,11410,312632,8411375.42568387
마포구,11440,373620,10755893.12733871
양천구,11470,456980,9412448.703009678
강서구,11500,584920,12893979.03688387
구로구,11530,405495,9204030.602529032
금천구,11545,232013,5289405.185322581
영등포구,11560,375133,10790392.87980645
동작구,11590,394118,9318576.046041936
관악구,11620,499316,11576089.720683873
서초구,11650,427237,13409686.09797742
강남구,11680,540148,19074372.98972258
송파구,11710,671312,17674750.559209675
강동구,11740,457330,11998117.352348387
