지역,20192분기전체,2019월평균매출평균
강남구,132143.0,10226.5
강동구,89901.0,7887.0
강북구,88452.0,6691.5
강서구,106206.0,8747.0
관악구,107251.0,8854.0
광진구,99520.0,8485.0
구로구,103372.0,6713.0
금천구,93200.0,6969.5
노원구,105277.0,7917.0
도봉구,84192.0,6090.0
동대문구,92872.0,5856.0
동작구,110114.0,8661.5
마포구,119977.0,9478.0
서대문구,106692.0,7504.5
서초구,112694.0,9293.0
성동구,106550.0,9487.0
성북구,93962.0,7368.5
송파구,117495.0,9248.5
양천구,98297.0,9486.5
영등포구,96914.0,6813.5
용산구,116938.0,8381.0
은평구,92886.0,8028.5
종로구,191292.0,5163.5
중구,214810.0,4776.0
중랑구,78050.0,6451.5
