지역,행정동코드,2019년2분기주거인구,2019년2분기직장인구,면적,직장인구,주거인구
종로구,11110,64.36554261,90.28136405,2391,215862.7414,153898.0124
중구,11140,119.5631192,379.7858308,996,378266.6875,119084.8667
용산구,11170,105.8463174,88.46563865,2187,193474.3517,231485.8962
성동구,11200,186.4406585,51.28682432,1686,86469.5858,314338.9502
광진구,11215,200.5783459,44.48971228,1706,75899.44915,342186.6581
동대문구,11230,236.5588895,56.5604059,1422,80428.89719,336386.7409
중랑구,11260,220.3423454,22.48320977,1850,41593.93807,407633.339
성북구,11290,176.0730905,38.33350212,2457,94185.41471,432611.5834
강북구,11305,135.2976501,12.34090516,2360,29124.53618,319302.4542
도봉구,11320,162.4078887,18.00178851,2066,37191.69506,335534.6981
노원구,11350,153.2194155,17.21828803,3544,61021.61278,543009.6085
은평구,11380,155.4779767,16.31723999,2971,48478.52001,461925.0688
서대문구,11410,178.1123292,36.49478153,1763,64340.29984,314012.0364
마포구,11440,150.9590164,70.68566696,2385,168585.3157,360037.2541
양천구,11470,257.3572694,82.01558115,1741,142789.1268,448059.006
강서구,11500,138.1151015,34.67278718,4144,143684.0301,572348.9806
구로구,11530,200.2120679,73.55444037,2012,147991.534,402826.6806
금천구,11545,182.5360134,112.3571773,1302,146289.0448,237661.8894
영등포구,11560,168.841467,182.91395,2455,449053.7473,414505.8015
동작구,11590,224.3798577,50.58417949,1635,82705.13347,366861.0673
관악구,11620,169.2445315,25.32769011,2957,74893.97966,500456.0796
서초구,11650,90.81667381,116.1177238,4698,545521.0664,426656.7336
강남구,11680,141.5331784,323.0699248,3950,1276126.203,559056.0547
송파구,11710,197.6902014,115.5933645,3387,391514.7256,669576.7121
강동구,11740,167.7504546,32.45379095,2459,79803.87195,412498.3679
