지역,행정동코드,2020년2분기주거인구,2020년2분기직장인구,면적,직장인구,주거인구,,,,,,
종로구,11110,63.57585916,98.95773621,2391,236607.9473,152009.8793,,,,,,
중구,11140,125.3439675,336.4717382,996,335125.8512,124842.5916,,,,,,
용산구,11170,106.2368786,82.69724128,2187,180858.8667,232340.0535,,,,,,
성동구,11200,181.8201695,48.71867799,1686,82139.69109,306548.8058,,,,,,
광진구,11215,197.9930994,45.95160093,1706,78393.43119,337776.2276,,,,,,
동대문구,11230,235.118246,55.33255347,1422,78682.89103,334338.1458,,,,,,
중랑구,11260,216.6574787,21.50170869,1850,39778.16108,400816.3356,,,,,,
성북구,11290,170.6456387,44.79305959,2457,110056.5474,419276.3343,,,,,,
강북구,11305,132.9142607,11.95121909,2360,28204.87705,313677.6553,,,,,,
도봉구,11320,159.9659103,17.47123677,2066,36095.57517,330489.5707,,,,,,
노원구,11350,150.2386005,15.98857145,3544,56663.49722,532445.6002,,,,,,
은평구,11380,152.8293244,15.71105359,2971,46677.54022,454055.9228,,,,,,
서대문구,11410,178.2712157,38.22808866,1763,67396.12031,314292.1533,,,,,,
마포구,11440,126.9454718,58.08825761,2385,138540.4944,302764.9502,,,,,,
양천구,11470,256.36073,78.11279505,1741,135994.3762,446324.0309,,,,,,
강서구,11500,137.4951185,34.80436212,4144,144229.2766,569779.7711,,,,,,
구로구,11530,197.6653795,69.68257697,2012,140201.3449,397702.7436,,,,,,
금천구,11545,184.0991997,100.0043668,1302,130205.6856,239697.158,,,,,,
영등포구,11560,169.1832823,184.7117317,2455,453467.3013,415344.958,,,,,,
동작구,11590,226.7252739,44.41088879,1635,72611.80317,370695.8228,,,,,,
관악구,11620,168.2174696,24.63703891,2957,72851.72406,497419.0576,,,,,,
서초구,11650,88.77259356,120.979439,4698,568361.4044,417053.6445,,,,,,
강남구,11680,142.0864184,293.2828555,3950,1158467.279,561241.3527,,,,,,
송파구,11710,201.3589141,119.1491066,3387,403558.0241,682002.6421,,,,,,
강동구,11740,163.9772143,29.43245168,2459,72374.39868,403219.97,,,,,,
,,,,,,,,,,,,
