지역,행정동코드,남자 인구수,여자 인구수
종로구,11110,"74,190","77,836"
중구,11140,"62,086","64,057"
용산구,11170,"110,560","118,562"
성동구,11200,"149,412","155,524"
광진구,11215,"171,800","182,078"
동대문구,11230,"172,490","174,011"
중랑구,11260,"198,906","201,755"
성북구,11290,"213,648","226,749"
강북구,11305,"154,101","161,486"
도봉구,11320,"164,731","171,967"
노원구,11350,"260,946","277,404"
은평구,11380,"233,566","250,164"
서대문구,11410,"149,775","161,440"
마포구,11440,"177,388","197,034"
양천구,11470,"226,881","234,170"
강서구,11500,"288,905","306,697"
구로구,11530,"200,561","204,854"
금천구,11545,"118,912","115,167"
영등포구,11560,"183,460","185,557"
동작구,11590,"193,449","205,436"
관악구,11620,"251,875","250,214"
서초구,11650,"206,478","224,882"
강남구,11680,"259,645","282,853"
송파구,11710,"329,200","350,047"
강동구,11740,"209,746","214,489"
