瘤开,0~9技,10~19技,20~29技,30~39技,40~49技,50~59技,60~69技,70~79技,80~89技,90~99技
辆肺备,8665,12793,28545,22467,24451,26894,19318,12616,5442,978
吝备,8045,8065,21786,22555,20174,22629,17275,10348,4438,774
侩魂备,15818,17857,35824,42364,39762,38567,27831,17218,8002,1476
己悼备,22785,22711,49741,53464,49301,50355,35256,20277,7779,1083
堡柳备,23086,29175,67327,61920,57153,59467,40320,21752,7915,1159
悼措巩备,22838,26994,64679,54062,53991,56462,44375,27580,10380,1475
吝尔备,25869,29713,58045,62100,61207,72855,53967,29902,10361,1439
己合备,31409,40645,72163,63834,73899,70345,52200,32823,12817,1803
碍合备,18165,24609,44557,42866,50089,54639,43554,29232,10080,1356
档豪备,21525,28699,46277,45180,52449,59586,46413,26723,10475,1523
畴盔备,37016,58836,77564,70066,92080,89940,63701,35910,15085,2145
篮乞备,32976,42087,66969,72420,80055,79150,60482,37817,13998,1945
辑措巩备,21198,26112,56159,47246,49868,50489,36903,24344,10255,1465
付器备,27366,30979,65592,68316,64234,55290,37949,24344,10152,1447
剧玫备,34206,53455,62192,62296,82224,79075,53417,26533,9963,1566
碍辑备,45730,48634,88670,106788,95052,91999,72729,36653,13524,2233
备肺备,32748,32875,58264,71471,71263,75841,55495,29734,10147,1332
陛玫备,15599,16775,37626,39812,38995,48955,32430,17248,5710,751
康殿器备,28160,26498,59013,72754,63303,69094,47268,26239,10207,1429
悼累备,27839,30813,71703,67546,62565,62800,47422,28721,10674,1635
包厩备,26925,32239,110655,93485,74466,74987,58092,35644,11507,1559
辑檬备,36921,46180,57607,69201,79955,62994,46100,25885,8863,1731
碍巢备,39067,60127,77834,88205,100225,80140,57173,31718,10752,2105
价颇备,55162,63010,97896,117972,112618,107296,79446,37324,12930,2261
碍悼备,31178,38222,58421,66375,68963,71618,55572,27093,9221,1666
