瘤开,0~4技,5~9技,10~14技,15~19技,20~24技,25~29技,30~34技,35~39技,40~44技,45~49技,50~54技,55~59技,60~64技,65~69技,70~74技,75~79技,80~84技,85~89技,90~94技,95~99技,100技 捞惑+
辆肺备,3468,4717,5202,6716,14092,14168,10999,10720,10498,13253,13428,13379,11677,8373,6742,5935,3904,1927,772,283,267
吝备,3703,3936,3309,4319,9688,12121,11193,11103,9403,10376,11032,11463,10349,7516,5836,4890,3157,1574,664,200,198
侩魂备,7143,8122,7810,9209,14930,21265,21007,21347,18458,20667,19872,18920,16962,11900,9435,7949,5610,2801,1169,421,365
己悼备,10677,10716,9451,11698,21926,26578,24872,26339,22453,24470,24791,24306,21569,14677,11381,9244,5715,2594,911,239,244
堡柳备,9435,11905,12357,14948,29636,37973,30976,28655,25810,29372,29453,28471,25477,17042,12646,9702,5990,2608,977,280,212
悼措巩备,10226,11660,11176,13971,31953,33063,25825,27255,24853,27811,27730,27500,26540,19575,15383,12787,7697,3482,1216,375,302
吝尔备,11131,12857,12539,15194,24624,32492,29202,30406,27540,31555,34680,36235,33323,23529,17654,13352,7880,3454,1236,333,199
己合备,13208,17187,17443,21483,36515,36466,29751,33286,32607,39634,36768,33715,31405,22834,18498,15276,9582,4272,1587,397,376
碍合备,7187,9647,10162,12715,20764,23595,19300,21380,21797,26798,26919,26973,25820,19517,16318,13668,7954,3168,1134,333,246
档豪备,8516,11298,11788,14799,21397,23595,19875,22860,22243,27831,29033,29074,28651,20177,15282,12260,7704,3560,1316,313,172
畴盔备,14575,20366,24383,30663,39613,36152,31112,36149,38934,49738,46684,42127,38909,27743,20703,16519,10727,5274,1903,494,273
篮乞备,13701,17293,18083,21632,30115,37179,32918,37322,36167,41990,39639,38263,36364,26665,21608,17249,10729,4532,1629,446,414
辑措巩备,9461,11344,11059,13871,26443,29591,23045,24045,22628,26416,25920,24576,22357,15963,13290,11312,7643,3372,1246,357,285
付器备,12357,13861,13946,15579,28605,37666,33579,33990,30065,33086,29016,26378,23135,16266,13342,11308,7341,3487,1249,373,328
剧玫备,12824,20275,24605,26963,29965,31366,27591,32867,36641,44209,40829,37122,32953,23497,16529,11459,7020,3474,1305,366,174
碍辑备,19301,22972,21532,24696,35338,52828,50637,51945,45914,47610,43736,45429,44233,31465,22940,15576,9593,4810,1941,478,229
备肺备,14646,16703,15164,16374,24780,33126,33506,36134,33501,36287,36174,37832,34200,24081,18380,13135,7721,3335,1151,309,168
陛玫备,6899,7618,7085,8543,15042,22774,19932,18874,16714,20332,22715,24513,20563,13697,10302,7667,4348,1942,631,189,174
康殿器备,13770,13758,11855,13572,22723,37437,37659,35565,29475,32270,33013,34458,29528,20046,15431,11718,7514,3548,1176,366,272
悼累备,11989,14150,13208,15861,30959,40265,33133,32016,29450,31848,30630,30703,28525,20789,16742,12866,7980,3601,1378,372,311
包厩备,11248,13325,13198,17130,41714,71236,50936,40725,34489,37726,36439,36694,34117,25771,20851,16123,8926,3681,1321,352,316
辑檬备,13976,21307,22774,22868,25718,31131,31005,35460,37490,41538,34454,29204,27074,20315,16204,10974,6375,3163,1389,423,220
碍巢备,14458,23437,28574,30919,34065,42394,40899,44562,47130,53206,44502,36071,32844,25685,20142,13414,7554,3819,1705,494,284
价颇备,23344,29115,28804,31399,41401,54679,55505,59117,53948,57023,53527,51501,48004,34693,23930,15593,9042,4731,1915,511,285
碍悼备,15625,19485,19087,20556,27203,34780,33867,38912,36444,37971,36532,37358,35985,25672,18014,11861,6753,3365,1456,379,242
