지역,2018_주민등록,2018_생활,2019_주민등록,2019_생활,2020_주민등록,2020_생활,주민등록평균,생활인구 평균,생활/주민등록,임대시세평균
종로구,163569,327129.9419,162413,297878.5838,160520,285128.0052,162167.3333,303378.8436,1.870776545,216153
중구,135427,295561.2404,136276,283560.403,136030,262058.416,135911,280393.3531,2.063065927,232672
용산구,245245,301951.406,245069,290558.8489,245362,284971.1743,245225.3333,292493.8097,1.192755274,135292
성동구,316068,348201.7617,312991,333640.759,304851,342144.2901,311303.3333,341328.9369,1.096451276,124634
광진구,370519,393078.4127,369470,374767.6011,363925,369330.5561,367971.3333,379058.8566,1.030131487,115345
동대문구,364527,379025.764,363101,358814.1547,360380,359044.8371,362669.3333,365628.2519,1.008158723,115588
중랑구,410296,364152.3558,405639,344597.3926,399415,354274.0796,405116.6667,354341.276,0.87466477,92801
성북구,451829,442707.3025,452292,418334.5911,452290,430105.3706,452137,430382.4214,0.951884985,108660
강북구,326063,309459.8911,319377,288379.1106,315395,299901.7257,320278.3333,299246.9092,0.934333915,96100
도봉구,344096,299595.4289,339001,278092.8013,331744,281454.251,338280.3333,286380.8271,0.846578411,100615
노원구,553177,529824.3881,542603,503524.2918,533041,524464.3528,542940.3333,519271.0109,0.956405297,132887
은평구,489045,450872.754,488285,427550.7569,483938,445465.2498,487089.3333,441296.2535,0.905986281,105548
서대문구,323261,389617.0486,324304,367870.1606,324224,361280.2412,323929.6667,372922.4835,1.15124523,129319
마포구,385507,472519.9193,385985,461004.1174,384957,458107.7562,385483,463877.2643,1.203366333,145806
양천구,471026,402618.4278,465095,381332.4081,462034,397886.4319,466051.6667,393945.7559,0.84528344,117928
강서구,606981,550112.3354,602230,525174.6635,593203,538969.647,600804.6667,538085.5487,0.895608138,129425
구로구,440305,403732.0446,439328,380883.5808,436707,386784.2159,438780,390466.6138,0.889891549,117185
금천구,252752,224922.1629,254061,215355.2306,250554,225796.838,252455.6667,222024.7438,0.87946033,111734
영등포구,404501,485335.091,404229,452252.4077,405154,459732.5862,404628,465773.3616,1.151115003,116961
동작구,407275,413966.7586,412000,393344.0723,406776,396066.5416,408683.6667,401125.7908,0.981506783,132329
관악구,521960,507725.3242,519864,479840.717,516318,486308.0893,519380.6667,491291.3769,0.945917722,125990
서초구,443989,611531.2319,435631,573488.8706,433062,582533.45,437560.6667,589184.5175,1.346520751,139326
강남구,551888,815268.1662,547602,784684.0707,546158,821657.1942,548549.3333,807203.1437,1.471523334,165192
송파구,673161,754160.4766,686181,736120.9677,678067,743151.4631,679136.3333,744477.6358,1.09621235,140055
강동구,437050,486125.3679,428547,461754.0103,461547,503305.6345,442381.3333,483728.3376,1.093464622,114018
