name,code,type,parent,male,female,onehouse,convnum,rent
종로구,11110,gu,종로구,"74,190","77,836",36390,347,228660
청운효자동,11110515,dong,종로구,"6,029","6,860",1956,12,144858
사직동,11110530,dong,종로구,"4,256","5,191",2224,27,172166
삼청동,11110540,dong,종로구,"1,335","1,468",743,6,188928
부암동,11110550,dong,종로구,"4,801","5,267",1630,14,109919
평창동,11110560,dong,종로구,"8,747","9,920",2410,14,110142
무악동,11110570,dong,종로구,"4,046","4,609",727,4, 
교남동,11110580,dong,종로구,"4,926","5,683",1610,15,230131
가회동,11110600,dong,종로구,"2,028","2,336",913,9,157309
종로1.2.3.4가동,11110615,dong,종로구,"4,390","2,974",4189,111,282442
종로5.6가동,11110630,dong,종로구,"2,859","2,344",2105,26,284292
이화동,11110640,dong,종로구,"3,757","4,241",2712,21,138692
혜화동,11110650,dong,종로구,"8,190","8,781",5523,38,149872
창신1동,11110670,dong,종로구,"2,859","2,438",1724,9,275905
창신2동,11110680,dong,종로구,"4,416","4,236",1918,4,82466
창신3동,11110690,dong,종로구,"3,548","3,635",891,2, 
숭인1동,11110700,dong,종로구,"3,100","3,183",1357,8,100054
숭인2동,11110710,dong,종로구,"4,903","4,670",3758,27,122919
중구,11140,gu,중구,"62,086","64,057",30425,427,218957
소공동,11140520,dong,중구,"1,005","1,045",633,51,185791
회현동,11140540,dong,중구,"2,881","2,415",2172,45,369703
명동,11140550,dong,중구,"1,176","1,633",945,86,188645
필동,11140570,dong,중구,"2,115","1,927",1421,32,145000
장충동,11140580,dong,중구,"2,404","2,324",1680,17,82778
광희동,11140590,dong,중구,"2,640","2,319",1854,49,194541
을지로동,11140605,dong,중구,"1,100",702,1057,29,179209
신당동,11140615,dong,중구,"3,820","3,808",2716,34,295992
다산동,11140625,dong,중구,"7,096","7,471",3089,17,124656
약수동,11140635,dong,중구,"8,289","9,305",2815,12,208637
청구동,11140645,dong,중구,"6,912","7,613",2470,6,85949
신당5동,11140650,dong,중구,"4,856","4,953",2320,9,119862
동화동,11140665,dong,중구,"5,277","5,708",1158,13,105333
황학동,11140670,dong,중구,"6,129","6,480",3624,13,153197
중림동,11140680,dong,중구,"6,386","6,354",2471,14,126439
용산구,11170,gu,용산구,"110,560","118,562",51507,289,139753
