code,name,parent,parentname,male,female,onehouse,convnum,rent
11,서울특별시,0,대한민국,123456,123456,123456,123456,123456
11110,종로구,11,서울특별시,75247,78533,35775,331,212040
11110515,청운효자동,11110,종로구,6173,6993,1923,11,149361
11110530,사직동,11110,종로구,4277,5186,2120,26,148404
11110540,삼청동,11110,종로구,1352,1500,740,7,230589
11110550,부암동,11110,종로구,4893,5253,1608,14,95828
11110560,평창동,11110,종로구,8946,10049,2479,14,116378
11110570,무악동,11110,종로구,3840,4389,719,3,144527
11110580,교남동,11110,종로구,4933,5638,1582,16,190521
11110600,가회동,11110,종로구,2079,2400,935,8,143547
11110615,종로1.2.3.4가동,11110,종로구,4448,3072,4175,104,256491
11110630,종로5.6가동,11110,종로구,2903,2389,2074,25,250974
11110640,이화동,11110,종로구,3859,4300,2639,18,195935
11110650,혜화동,11110,종로구,8294,8814,5267,37,170041
11110670,창신1동,11110,종로구,2938,2472,1771,9,188328
11110680,창신2동,11110,종로구,4600,4413,1948,3,85249
11110690,창신3동,11110,종로구,3586,3714,842,2,70411
11110700,숭인1동,11110,종로구,3209,3271,1321,8,209853
11110710,숭인2동,11110,종로구,4917,4680,3632,26,151064
11140,중구,11,서울특별시,62260,63772,29298,432,226352
11140520,소공동,11140,중구,1010,1030,593,53,159542
11140540,회현동,11140,중구,2914,2409,2232,43,392834
11140550,명동,11140,중구,1197,1653,940,88,253645
11140570,필동,11140,중구,2075,1937,1386,29,134650
11140580,장충동,11140,중구,2438,2357,1616,18,89626
11140590,광희동,11140,중구,2661,2338,1807,46,182225
11140605,을지로동,11140,중구,1040,599,926,31,191859
11140615,신당동,11140,중구,3937,3902,2632,38,336315
11140625,다산동,11140,중구,7172,7571,2971,16,108725
11140635,약수동,11140,중구,8504,9420,2760,15,141717
11140645,청구동,11140,중구,7021,7722,2440,7,125751
11140650,신당5동,11140,중구,4654,4684,2043,7,140215
11140665,동화동,11140,중구,5358,5740,1175,13,130071
11140670,황학동,11140,중구,6069,6245,3356,14,145735
11140680,중림동,11140,중구,6210,6165,2421,14,158501
11170,용산구,11,서울특별시,111078,118599,50177,295,128975
11170510,후암동,11170,용산구,8928,9402,3901,18,119917
11170520,용산2가동,11170,용산구,5206,5648,2784,17,114724
11170530,남영동,11170,용산구,4871,3016,4172,32,88701
11170555,청파동,11170,용산구,9751,10544,5896,28,114279
11170560,원효로1동,11170,용산구,7367,7786,3238,21,114736
11170570,원효로2동,11170,용산구,7046,7949,1952,16,100766
11170580,효창동,11170,용산구,4291,4711,1327,10,129762
11170590,용문동,11170,용산구,6118,6585,1846,7,120811
11170625,한강로동,11170,용산구,8478,8939,5214,46,124010
11170630,이촌1동,11170,용산구,13043,14948,2189,11,220350
11170640,이촌2동,11170,용산구,4316,4828,1251,5,100762
11170650,이태원1동,11170,용산구,3352,3704,2249,25,171669
11170660,이태원2동,11170,용산구,4398,5084,2571,15,235874
11170685,한남동,11170,용산구,9916,10659,5902,25,139726
11170690,서빙고동,11170,용산구,6563,7067,1710,8,78182
11170700,보광동,11170,용산구,7434,7729,3975,11,92013
11200,성동구,11,서울특별시,151571,156495,53571,325,126897
11200520,왕십리2동,11200,성동구,8770,9128,2911,10,135498
11200535,왕십리도선동,11200,성동구,13098,14241,4156,35,149284
11200540,마장동,11200,성동구,11682,11965,4382,14,132900
11200550,사근동,11200,성동구,5914,5542,4700,34,189639
11200560,행당1동,11200,성동구,6858,7148,2718,18,158169
11200570,행당2동,11200,성동구,11890,13264,2302,8,134326
11200580,응봉동,11200,성동구,7851,8652,1651,4,101570
11200590,금호1가동,11200,성동구,7621,8192,1989,11,149747
11200615,금호2.3가동,11200,성동구,11685,12667,3456,13,121886
11200620,금호4가동,11200,성동구,7308,7922,2162,8,145070
11200645,옥수동,11200,성동구,12809,14486,3099,17,179800
11200650,성수1가1동,11200,성동구,8716,8656,3032,21,94385
11200660,성수1가2동,11200,성동구,7825,7819,3213,29,120022
11200670,성수2가1동,11200,성동구,9292,8576,4029,26,98796
11200690,성수2가3동,11200,성동구,6033,5639,2787,53,110844
11200720,송정동,11200,성동구,6036,5313,2601,6,95767
11200790,용답동,11200,성동구,8183,7285,4383,18,105001
11215,광진구,11,서울특별시,173216,182532,69240,409,107936
11215710,화양동,11215,광진구,10297,11142,11579,63,147351
11215730,군자동,11215,광진구,9934,10175,5484,28,107359
11215740,중곡1동,11215,광진구,7878,8087,3524,15,92260
11215750,중곡2동,11215,광진구,10886,11559,4215,26,87060
11215760,중곡3동,11215,광진구,8772,8881,3709,20,91166
11215770,중곡4동,11215,광진구,15387,15760,4682,25,89814
11215780,능동,11215,광진구,5369,6186,3294,20,123130
11215810,광장동,11215,광진구,17613,18645,2105,28,108525
11215820,자양1동,11215,광진구,11357,12076,5344,27,99587
11215830,자양2동,11215,광진구,13424,13870,3818,21,101332
11215840,자양3동,11215,광진구,14485,15475,2730,28,121776
11215847,자양4동,11215,광진구,10062,9920,5228,33,103327
11215850,구의1동,11215,광진구,10902,11823,5853,28,110851
11215860,구의2동,11215,광진구,12422,13125,3752,16,98962
11215870,구의3동,11215,광진구,14428,15808,3923,31,126248
11230,동대문구,11,서울특별시,174128,174775,71395,394,118968
11230536,용신동,11230,용신동,15755,14776,9148,61,120833
11230545,제기동,11230,용신동,12944,12351,6522,27,124386
11230560,전농1동,11230,용신동,14841,14418,6623,30,127935
11230570,전농2동,11230,용신동,9637,10363,2028,15,133717
11230600,답십리1동,11230,용신동,12721,13320,4238,32,122658
11230610,답십리2동,11230,용신동,14272,14825,3963,16,94022
11230650,장안1동,11230,용신동,19396,19380,6830,54,105897
11230660,장안2동,11230,용신동,15561,15388,4148,34,95242
11230705,청량리동,11230,용신동,11103,10990,4789,17,123481
11230710,회기동,11230,용신동,4952,5391,3680,25,172855
11230720,휘경1동,11230,용신동,6560,6471,3793,17,128554
11230730,휘경2동,11230,용신동,12143,12504,4893,16,116193
11230740,이문1동,11230,용신동,13585,13547,7985,36,124405
11230750,이문2동,11230,용신동,10658,11051,2755,14,68702
11260,중랑구,11,서울특별시,201803,203748,70619,296,89913
11260520,면목2동,11260,중랑구,13211,13108,5221,21,88047
11260540,면목4동,11260,중랑구,10291,10441,3945,13,74020
11260550,면목5동,11260,중랑구,5189,4939,1896,6,72812
11260565,면목본동,11260,중랑구,17938,17987,7971,29,88627
11260570,면목7동,11260,중랑구,11052,11125,4147,17,87874
11260575,면목3.8동,11260,중랑구,13532,13455,5408,20,87998
11260580,상봉1동,11260,중랑구,12560,13077,2942,15,92636
11260590,상봉2동,11260,중랑구,9200,9432,5361,35,103275
11260600,중화1동,11260,중랑구,10318,10559,2970,18,62236
11260610,중화2동,11260,중랑구,14544,13578,7059,15,89193
11260620,묵1동,11260,중랑구,17680,18449,4468,23,105330
11260630,묵2동,11260,중랑구,9997,10236,3658,13,110387
11260655,망우본동,11260,중랑구,16078,15664,6336,31,87497
11260660,망우3동,11260,중랑구,9166,9051,3544,11,67218
11260680,신내1동,11260,중랑구,20161,20939,3147,20,92915
11260690,신내2동,11260,중랑구,10886,11708,2546,9,121844
11290,성북구,11,서울특별시,214430,225842,69919,361,105655
11290525,성북동,11290,성북구,8280,9165,3572,18,139088
11290555,삼선동,11290,성북구,12846,13667,5939,36,110147
11290575,동선동,11290,성북구,6791,8932,5441,41,157886
11290580,돈암1동,11290,성북구,7717,8716,1751,7,129046
11290590,돈암2동,11290,성북구,12006,13094,1502,4,0
11290600,안암동,11290,성북구,7756,7512,5404,49,131905
11290610,보문동,11290,성북구,8239,8719,3647,19,96817
11290620,정릉1동,11290,성북구,8808,9406,1999,11,107330
11290630,정릉2동,11290,성북구,11810,12276,2893,15,115222
11290640,정릉3동,11290,성북구,7998,8021,3663,13,101198
11290650,정릉4동,11290,성북구,13187,13849,3546,15,91713
11290660,길음1동,11290,성북구,18051,19621,2555,6,111214
11290685,길음2동,11290,성북구,5751,6043,1905,7,86189
11290705,종암동,11290,성북구,20345,20662,6038,28,83610
11290715,월곡1동,11290,성북구,13549,14256,3077,16,111180
11290725,월곡2동,11290,성북구,9933,10338,3606,25,101334
11290760,장위1동,11290,성북구,10430,10589,3186,11,59940
11290770,장위2동,11290,성북구,8448,8401,2771,11,75714
11290780,장위3동,11290,성북구,5935,5852,1722,5,93534
11290810,석관동,11290,성북구,16550,16723,5702,24,79588
11305,강북구,11,서울특별시,157769,164616,56220,267,91179
11305534,삼양동,11305,강북구,14012,14096,4783,14,83920
11305535,미아동,11305,강북구,10957,11700,5285,32,100387
11305545,송중동,11305,강북구,14221,15293,5377,25,124516
11305555,송천동,11305,강북구,14603,14612,6049,27,88510
11305575,삼각산동,11305,강북구,16225,17397,2524,8,120304
11305590,번1동,11305,강북구,9745,9862,5141,33,95096
11305600,번2동,11305,강북구,8541,9046,2483,7,74150
11305606,번3동,11305,강북구,9074,9990,2069,8,78193
11305610,수유1동,11305,강북구,10899,11159,4452,19,88510
11305620,수유2동,11305,강북구,10907,11561,3204,18,73407
11305630,수유3동,11305,강북구,11936,11922,6199,33,101505
11305645,우이동,11305,강북구,10616,11178,3407,15,68861
11305660,인수동,11305,강북구,16033,16800,5247,28,63163
11320,도봉구,11,서울특별시,167465,174463,41897,219,97093
11320511,창1동,11320,도봉구,12914,14005,3368,15,107254
11320512,창2동,11320,도봉구,15380,15955,3514,19,80417
11320513,창3동,11320,도봉구,7575,7613,2439,11,74091
11320514,창4동,11320,도봉구,13803,14756,2615,17,218012
11320515,창5동,11320,도봉구,12694,13546,2454,18,139074
11320521,도봉1동,11320,도봉구,11605,11362,3917,23,69514
11320522,도봉2동,11320,도봉구,14289,14758,3793,13,88623
11320660,쌍문1동,11320,도봉구,10764,11386,2929,18,88584
11320670,쌍문2동,11320,도봉구,9864,10479,2853,14,94776
11320680,쌍문3동,11320,도봉구,8371,8895,2895,16,108029
11320681,쌍문4동,11320,도봉구,9655,10532,1502,10,144198
11320690,방학1동,11320,도봉구,15055,15294,4353,24,88058
11320700,방학2동,11320,도봉구,11023,10761,3548,12,101506
11320710,방학3동,11320,도봉구,14473,15121,1717,9,58673
11350,노원구,11,서울특별시,266826,282539,66145,350,128814
11350560,월계1동,11350,노원구,12231,11481,4264,36,103361
11350570,월계2동,11350,노원구,12997,13897,3636,18,88942
11350580,월계3동,11350,노원구,15816,16937,3466,9,0
11350595,공릉1동,11350,노원구,19277,19987,7702,48,105489
11350600,공릉2동,11350,노원구,20206,21016,5087,41,97328
11350611,하계1동,11350,노원구,14441,15270,4620,21,87420
11350612,하계2동,11350,노원구,11523,12498,1545,4,0
