code,name,parent,parentname,male2018,male2019,male2020,female2018,female2019,female2020,onehouse2018,onehouse2019,onehouse2020,convnum2018,convnum2019,convnum2020,rent2018,rent2019,rent2020
11,서울특별시,0,대한민국,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456,123456
11110,종로구,11,서울특별시,75247,74190,73062,78533,77836,76900,35775,36390,37503,331,347,347,212040,228660,207758
11110515,청운효자동,11110,종로구,6173,6029,5851,6993,6860,6699,1923,1956,2043,11,12,12,149361,144858,160242
11110530,사직동,11110,종로구,4277,4256,4250,5186,5191,5234,2120,2224,2373,26,27,30,148404,172166,200198
11110540,삼청동,11110,종로구,1352,1335,1297,1500,1468,1392,740,743,729,7,6,8,230589,188928,183892
11110550,부암동,11110,종로구,4893,4801,4766,5253,5267,5274,1608,1630,1686,14,14,12,95828,109919,104196
11110560,평창동,11110,종로구,8946,8747,8625,10049,9920,9818,2479,2410,2428,14,14,14,116378,110142,82299
11110570,무악동,11110,종로구,3840,4046,4018,4389,4609,4597,719,727,764,3,4,4,144527,0,162791
11110580,교남동,11110,종로구,4933,4926,4885,5638,5683,5616,1582,1610,1658,16,15,16,190521,230131,223640
11110600,가회동,11110,종로구,2079,2028,2004,2400,2336,2327,935,913,956,8,9,9,143547,157309,150658
11110615,종로1.2.3.4가동,11110,종로구,4448,4390,4327,3072,2974,2876,4175,4189,4149,104,111,117,256491,282442,249923
11110630,종로5.6가동,11110,종로구,2903,2859,2888,2389,2344,2433,2074,2105,2353,25,26,26,250974,284292,255336
11110640,이화동,11110,종로구,3859,3757,3640,4300,4241,4085,2639,2712,2725,18,21,19,195935,138692,162176
11110650,혜화동,11110,종로구,8294,8190,8141,8814,8781,8700,5267,5523,5634,37,38,33,170041,149872,164646
11110670,창신1동,11110,종로구,2938,2859,2801,2472,2438,2372,1771,1724,1766,9,9,7,188328,275905,197134
11110680,창신2동,11110,종로구,4600,4416,4295,4413,4236,4044,1948,1918,1983,3,4,4,85249,82466,90776
11110690,창신3동,11110,종로구,3586,3548,3408,3714,3635,3559,842,891,944,2,2,3,70411,0,98319
11110700,숭인1동,11110,종로구,3209,3100,2990,3271,3183,3153,1321,1357,1397,8,8,8,209853,100054,100845
11110710,숭인2동,11110,종로구,4917,4903,4876,4680,4670,4721,3632,3758,3915,26,27,25,151064,122919,120870
11140,중구,11,서울특별시,62260,62086,61651,63772,64057,64339,29298,30425,31643,432,427,450,226352,218957,252706
11140520,소공동,11140,중구,1010,1005,1029,1030,1045,1066,593,633,631,53,51,52,159542,185791,221939
11140540,회현동,11140,중구,2914,2881,2762,2409,2415,2428,2232,2172,2025,43,45,60,392834,369703,378616
11140550,명동,11140,중구,1197,1176,1269,1653,1633,1695,940,945,1109,88,86,91,253645,188645,257799
11140570,필동,11140,중구,2075,2115,2072,1937,1927,1947,1386,1421,1480,29,32,31,134650,145000,159193
11140580,장충동,11140,중구,2438,2404,2366,2357,2324,2320,1616,1680,1791,18,17,16,89626,82778,114518
11140590,광희동,11140,중구,2661,2640,2671,2338,2319,2393,1807,1854,2003,46,49,55,182225,194541,203825
11140605,을지로동,11140,중구,1040,1100,1109,599,702,728,926,1057,1081,31,29,34,191859,179209,186177
11140615,신당동,11140,중구,3937,3820,3800,3902,3808,3817,2632,2716,2840,38,34,32,336315,295992,367247
11140625,다산동,11140,중구,7172,7096,7009,7571,7471,7403,2971,3089,3193,16,17,17,108725,124656,121953
11140635,약수동,11140,중구,8504,8289,8147,9420,9305,9144,2760,2815,2914,15,12,12,141717,208637,167356
11140645,청구동,11140,중구,7021,6912,6693,7722,7613,7424,2440,2470,2478,7,6,6,125751,85949,103145
11140650,신당5동,11140,중구,4654,4856,5176,4684,4953,5471,2043,2320,2643,7,9,7,140215,119862,129345
11140665,동화동,11140,중구,5358,5277,5192,5740,5708,5584,1175,1158,1155,13,13,10,130071,105333,118512
11140670,황학동,11140,중구,6069,6129,6054,6245,6480,6619,3356,3624,3787,14,13,13,145735,153197,143028
11140680,중림동,11140,중구,6210,6386,6302,6165,6354,6300,2421,2471,2513,14,14,14,158501,126439,136658
11170,용산구,11,서울특별시,111078,110560,110403,118599,118562,118959,50177,51507,53405,295,289,303,128975,139753,137149
11170510,후암동,11170,용산구,8928,8786,8672,9402,9290,9146,3901,3989,4104,18,17,19,119917,108065,110670
11170520,용산2가동,11170,용산구,5206,5110,4898,5648,5461,5275,2784,2784,2844,17,18,20,114724,89716,104591
11170530,남영동,11170,용산구,4871,4792,4722,3016,3036,2991,4172,4185,4217,32,31,33,88701,106393,120790
11170555,청파동,11170,용산구,9751,9517,9329,10544,10488,10592,5896,6132,6570,28,27,27,114279,125233,133706
11170560,원효로1동,11170,용산구,7367,7591,7770,7786,8097,8356,3238,3520,3791,21,21,19,114736,103644,100664
11170570,원효로2동,11170,용산구,7046,6909,6759,7949,7790,7607,1952,2047,2144,16,15,15,100766,103263,107100
11170580,효창동,11170,용산구,4291,4622,4859,4711,5088,5395,1327,1402,1519,10,10,9,129762,112788,135502
11170590,용문동,11170,용산구,6118,6024,5891,6585,6555,6474,1846,1896,1985,7,7,8,120811,140551,101189
11170625,한강로동,11170,용산구,8478,8618,8929,8939,9203,9570,5214,5374,5719,46,45,47,124010,154658,142638
11170630,이촌1동,11170,용산구,13043,13186,13229,14948,15082,15105,2189,2239,2213,11,13,16,220350,313893,301294
11170640,이촌2동,11170,용산구,4316,4203,4124,4828,4736,4646,1251,1315,1318,5,4,6,100762,92229,70071
11170650,이태원1동,11170,용산구,3352,3272,3275,3704,3672,3650,2249,2162,2237,25,25,26,171669,226931,199088
11170660,이태원2동,11170,용산구,4398,4339,4275,5084,5042,4987,2571,2598,2674,15,14,13,235874,160846,127369
11170685,한남동,11170,용산구,9916,9922,10234,10659,10599,11031,5902,6088,6164,25,23,26,139726,147759,135270
11170690,서빙고동,11170,용산구,6563,6480,6386,7067,6953,6923,1710,1733,1739,8,9,9,78182,144110,62635
11170700,보광동,11170,용산구,7434,7189,7051,7729,7470,7211,3975,4043,4167,11,10,10,92013,86167,111432
11200,성동구,11,서울특별시,151571,149412,144701,156495,155524,151482,53571,55571,56420,325,311,318,126897,125396,121610
11200520,왕십리2동,11200,성동구,8770,8566,8390,9128,9039,8822,2911,2896,2933,10,10,10,135498,118056,113212
11200535,왕십리도선동,11200,성동구,13098,13072,13011,14241,14307,14287,4156,4406,4519,35,32,28,149284,136197,125761
11200540,마장동,11200,성동구,11682,11616,11335,11965,11907,11668,4382,4779,4941,14,15,19,132900,131807,127874
11200550,사근동,11200,성동구,5914,6073,6108,5542,5729,5790,4700,5241,5510,34,34,34,189639,139365,140472
11200560,행당1동,11200,성동구,6858,7904,6887,7148,8283,7415,2718,3036,2767,18,18,17,158169,169283,141291
11200570,행당2동,11200,성동구,11890,11674,11399,13264,13161,12862,2302,2353,2409,8,7,8,134326,191129,129507
11200580,응봉동,11200,성동구,7851,7665,7490,8652,8538,8349,1651,1598,1624,4,3,4,101570,157901,139653
11200590,금호1가동,11200,성동구,7621,7637,7568,8192,8302,8233,1989,2091,2173,11,8,9,149747,0,125042
11200615,금호2.3가동,11200,성동구,11685,11511,11239,12667,12651,12370,3456,3543,3673,13,13,15,121886,147156,126159
11200620,금호4가동,11200,성동구,7308,7268,7095,7922,7924,7743,2162,2163,2208,8,9,7,145070,100600,121639
11200645,옥수동,11200,성동구,12809,12687,12501,14486,14380,14320,3099,3183,3269,17,11,13,179800,184328,164465
11200650,성수1가1동,11200,성동구,8716,8558,8344,8656,8541,8344,3032,3092,3148,21,23,23,94385,104413,120978
11200660,성수1가2동,11200,성동구,7825,7427,6741,7819,7508,6960,3213,3187,3032,29,29,30,120022,128943,124653
11200670,성수2가1동,11200,성동구,9292,9085,8809,8576,8359,8025,4029,4169,4174,26,23,22,98796,79241,93779
11200690,성수2가3동,11200,성동구,6033,5849,5701,5639,5590,5546,2787,2902,3009,53,53,56,110844,119524,108298
11200720,송정동,11200,성동구,6036,5924,5727,5313,5226,5123,2601,2775,2829,6,8,8,95767,86989,82140
11200790,용답동,11200,성동구,8183,6896,6356,7285,6079,5625,4383,4157,4202,18,15,15,105001,124298,125259
11215,광진구,11,서울특별시,173216,171800,168472,182532,182078,180175,69240,72629,76534,409,396,388,107936,119527,118571
11215710,화양동,11215,광진구,10297,10485,10641,11142,11423,11775,11579,12427,13187,63,63,60,147351,167699,157380
11215730,군자동,11215,광진구,9934,9874,9852,10175,10088,10088,5484,5788,6307,28,27,30,107359,101971,110375
11215740,중곡1동,11215,광진구,7878,7920,7687,8087,8136,8035,3524,3854,4105,15,16,15,92260,82569,86663
11215750,중곡2동,11215,광진구,10886,10723,10482,11559,11536,11569,4215,4411,4705,26,24,27,87060,86724,90423
11215760,중곡3동,11215,광진구,8772,8598,8383,8881,8720,8465,3709,3950,4148,20,20,17,91166,98827,94090
11215770,중곡4동,11215,광진구,15387,14983,14580,15760,15419,15176,4682,4887,4991,25,22,20,89814,114231,108720
11215780,능동,11215,광진구,5369,5324,5368,6186,6219,6278,3294,3445,3691,20,17,21,123130,147636,134995
11215810,광장동,11215,광진구,17613,17421,17252,18645,18573,18452,2105,2186,2249,28,25,20,108525,143667,140039
11215820,자양1동,11215,광진구,11357,11205,11029,12076,11970,11853,5344,5555,5895,27,24,22,99587,120657,121920
11215830,자양2동,11215,광진구,13424,13154,12679,13870,13639,13353,3818,3926,4089,21,21,20,101332,93207,85428
11215840,자양3동,11215,광진구,14485,14160,13881,15475,15233,14972,2730,2875,2965,28,27,28,121776,116743,124891
11215847,자양4동,11215,광진구,10062,9516,9008,9920,9431,9041,5228,5065,5088,33,33,30,103327,149053,148193
11215850,구의1동,11215,광진구,10902,10746,10622,11823,11708,11598,5853,6178,6709,28,29,28,110851,103925,108732
11215860,구의2동,11215,광진구,12422,13410,13040,13125,14292,14103,3752,4045,4232,16,18,18,98962,142331,118544
11215870,구의3동,11215,광진구,14428,14281,13968,15808,15691,15417,3923,4037,4173,31,30,32,126248,126403,134399
11230,동대문구,11,서울특별시,174128,172490,170926,174775,174011,173724,71395,74224,78266,394,379,386,118968,113019,114777
11230536,용신동,11230,용신동,15755,15711,15812,14776,14883,15232,9148,9975,10992,61,54,51,120833,102637,103155
11230545,제기동,11230,용신동,12944,12918,12858,12351,12301,12201,6522,6910,7121,27,27,30,124386,111502,137237
11230560,전농1동,11230,용신동,14841,15469,15191,14418,15142,15085,6623,7208,7485,30,29,29,127935,119223,98157
11230570,전농2동,11230,용신동,9637,9497,9321,10363,10277,10016,2028,2180,2278,15,16,16,133717,91775,122622
11230600,답십리1동,11230,용신동,12721,14334,14178,13320,15125,15035,4238,4795,5020,32,30,33,122658,158231,129713
11230610,답십리2동,11230,용신동,14272,14771,14423,14825,15347,15217,3963,4299,4658,16,17,16,94022,91945,98418
11230650,장안1동,11230,용신동,19396,19328,19185,19380,19300,19376,6830,7206,7722,54,56,54,105897,100258,97830
11230660,장안2동,11230,용신동,15561,15749,16590,15388,15768,16505,4148,4446,4778,34,34,38,95242,101187,114050
11230705,청량리동,11230,용신동,11103,10840,10414,10990,10764,10424,4789,4957,5089,17,16,17,123481,93760,88812
11230710,회기동,11230,용신동,4952,4915,4951,5391,5401,5441,3680,3860,4089,25,22,23,172855,138870,135466
11230720,휘경1동,11230,용신동,6560,6748,6662,6471,6762,6983,3793,3912,3867,17,16,18,128554,143601,156739
11230730,휘경2동,11230,용신동,12143,12146,12138,12504,12383,12282,4893,5355,5716,16,17,17,116193,111380,108469
11230740,이문1동,11230,용신동,13585,9887,9200,13547,9854,9324,7985,6397,6452,36,33,31,124405,113825,141471
11230750,이문2동,11230,용신동,10658,10177,10003,11051,10704,10603,2755,2724,2999,14,12,13,68702,197056,86038
11260,중랑구,11,서울특별시,201803,198906,195931,203748,201755,199857,70619,73677,77396,296,302,311,89913,93253,95238
11260520,면목2동,11260,중랑구,13211,13008,12516,13108,12899,12572,5221,5379,5696,21,21,22,88047,74210,89245
11260540,면목4동,11260,중랑구,10291,9972,9554,10441,10094,9557,3945,3942,3919,13,11,14,74020,67706,71150
11260550,면목5동,11260,중랑구,5189,5054,6561,4939,4814,6455,1896,1888,1918,6,6,7,72812,72565,71432
11260565,면목본동,11260,중랑구,17938,17718,17284,17987,17858,17423,7971,8270,8595,29,30,30,88627,93715,95040
11260570,면목7동,11260,중랑구,11052,10838,11235,11125,10911,11151,4147,4244,4454,17,17,18,87874,126737,116040
11260575,면목3.8동,11260,중랑구,13532,13196,12848,13455,13218,12989,5408,5529,5830,20,21,20,87998,93461,95767
11260580,상봉1동,11260,중랑구,12560,12424,12232,13077,13007,12717,2942,3029,3244,15,17,14,92636,114677,96036
11260590,상봉2동,11260,중랑구,9200,9393,9609,9432,9767,10133,5361,6002,6777,35,37,36,103275,91664,109255
11260600,중화1동,11260,중랑구,10318,10227,9982,10559,10548,10402,2970,3173,3343,18,20,18,62236,61484,79493
11260610,중화2동,11260,중랑구,14544,14338,13378,13578,13505,12648,7059,7290,7372,15,15,20,89193,114209,103687
11260620,묵1동,11260,중랑구,17680,17531,17290,18449,18415,18339,4468,4638,5009,23,22,22,105330,100885,119657
11260630,묵2동,11260,중랑구,9997,9822,9598,10236,10083,9891,3658,3852,3998,13,14,17,110387,74118,84731
11260655,망우본동,11260,중랑구,16078,15805,15310,15664,15368,15117,6336,6634,6986,31,29,31,87497,102718,84079
11260660,망우3동,11260,중랑구,9166,8984,8717,9051,8859,8603,3544,3681,3771,11,11,12,67218,66933,68510
